id_t_voyage;id_ligne;sens;t_depart
981;171;a;05:00
982;171;a;14:00
880;172;r;09:00
881;172;r;18:15
983;169;a;05:50
2962;169;a;14:00
987;169;a;06:15
988;169;a;06:50
990;169;a;07:00
991;169;a;07:10
994;169;a;07:15
995;169;a;08:30
996;169;a;09:00
997;169;a;10:00
998;169;a;11:30
999;169;a;12:00
1000;169;a;13:00
1001;319;a;05:50
1002;319;a;10:00
1003;319;a;12:00
1004;319;a;14:00
1005;319;a;17:00
3220;169;a;15:00
3221;169;a;16:00
3222;169;a;16:15
3223;169;a;16:30
3224;169;a;17:00
3225;169;a;17:30
3226;319;a;17:30
3230;169;a;00:00
883;170;r;07:00
925;170;r;16:00
913;170;r;11:00
914;170;r;12:10
931;317;r;12:10
930;317;r;07:00
917;170;r;13:30
918;170;r;13:30
2840;170;r;16:30
923;170;r;15:00
932;317;r;14:00
933;317;r;16:00
934;317;r;18:30
3502;170;r;00:00
3501;170;r;00:00
2956;170;r;17:30
3231;170;r;17:45
3232;170;r;18:00
3233;170;r;18:30
3234;170;r;19:00
3235;317;r;19:00
3404;382;a;06:50
3405;382;a;09:15
3406;382;a;12:20
3407;382;a;14:15
3408;382;a;17:15
3409;382;a;18:20
3410;383;r;07:10
3411;383;r;09:35
3412;383;r;13:10
3413;383;r;14:35
3414;383;r;17:35
3415;383;r;18:40
980;177;a;06:00
953;178;r;12:00
1023;118;a;06:30
1024;118;a;07:00
1027;118;a;08:10
1026;118;a;07:40
1028;118;a;08:40
1029;118;a;09:10
1025;118;a;07:10
1022;118;a;06:00
3030;118;a;17:10
3029;118;a;16:10
1021;118;a;05:40
1031;118;a;09:40
1032;118;a;10:10
1033;118;a;10:40
1034;118;a;11:10
1035;118;a;11:40
1036;118;a;12:10
1037;118;a;12:20
1038;118;a;13:10
1039;118;a;13:50
1040;118;a;14:10
3028;118;a;15:40
3026;118;a;14:40
3027;118;a;15:10
3240;118;a;17:40
3241;118;a;18:10
3242;118;a;18:30
3243;118;a;19:00
954;207;r;06:00
955;207;r;06:20
956;207;r;06:45
957;207;r;07:15
958;207;r;07:30
959;207;r;08:00
960;207;r;08:30
961;207;r;09:00
962;207;r;09:30
963;207;r;10:00
964;207;r;10:30
965;207;r;11:00
966;207;r;11:30
967;207;r;12:30
968;207;r;12:40
969;207;r;13:30
970;207;r;14:15
971;207;r;14:30
972;207;r;15:10
973;207;r;15:30
3031;207;r;16:00
3033;207;r;17:30
3034;207;r;18:30
3032;207;r;16:30
3244;207;r;19:00
3245;207;r;19:20
2483;87;a;07:50
2482;87;a;05:45
2826;87;a;16:00
2827;87;a;13:45
2773;87;a;12:00
2774;87;a;13:45
2484;87;a;10:30
2828;87;a;16:00
3182;87;a;00:00
3183;87;a;00:00
2775;230;r;12:45
2776;230;r;14:25
2404;230;r;07:10
2405;230;r;08:20
2406;230;r;11:10
2829;230;r;17:10
2830;230;r;00:00
3184;230;r;00:00
3185;230;r;00:00
3186;230;r;00:00
2841;331;a;07:30
2842;331;a;08:30
2843;331;a;12:10
3127;20;a;00:00
2770;20;a;15:30
2769;20;a;12:10
1454;20;a;08:30
3041;331;a;17:00
3126;20;a;00:00
2839;20;a;00:00
2844;331;a;15:30
2771;199;r;13:00
2772;199;r;16:00
1401;199;r;07:40
1402;199;r;09:15
2845;199;r;00:00
2846;332;r;00:00
2847;332;r;00:00
2848;332;r;00:00
2849;332;r;00:00
3128;199;r;00:00
3129;199;r;00:00
