OBJECTID_1;OBJECTID;Code_Fiche;nb_annee;Code_Ligne;Pk;libelle;code_famil;code_sous_;Code_immob;Date_Aquis;Date_MS;Amrt_Cumul;Montant_br;Date_affec;Dt_Cession;emplacemen;nat_dos;dossier;Zone;direction;etat_resea;inventoria;PK_PN;Code_PN;Etat;X;Y;Code_Categ;Code_mere;Unite_d_af;Caracteris;Detail_emp
1;708;34949;1;6;12,75;PASSAGE A NIVEAU PK 12+750 SECTION  C043 LIGNE 6 Voie Unique;22251110;22251110;251020068;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;12.75;P 7;Nouveau;10.2123126768;36.6696944429; ; ;0; ;0
2;173;16471;20;5;14,75;PASSAGE A NIVEAU PK 14+750 SECTION  C024 LIGNE 5 triple Voie;22251110;22251110;251020014;1976-01-01T00:00:00.000;1976-01-01T00:00:00.000;49937.616;49937.616;;;C;11;297;2;0;E;1;14.75;P 11;Nouveau;10.3172163432;36.7395743651; ; ;0; ;0
3;1177;16155;1;TA;2,682;PASSAGE A NIVEAU PK 2+682 SECTION  C023 LIGNE TA Voie Unique;22251110;22251110;251020002;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;2.682;P 19;Nouveau;10.1624134396;36.7904853359; ; ;0; ;0
4;394;19709;20;5;49,463;PN PK 49+463 , L 5;22251110;22251110;251800622;2008-01-01T00:00:00.000;2008-01-01T00:00:00.000;3776.344;9440.839;;;C;11;527;2;0;E;1;49.463;P 31;Nouveau;10.5628631484;36.5147803508; ; ;0; ;0
5;526;16880;20;6;11,988;PASSAGE A NIVEAU PK 11+988 SECTION  C043 LIGNE 6 Voie Unique;22251110;22251110;251020067;1977-01-01T00:00:00.000;1977-01-01T00:00:00.000;21396.63;21396.63;;;C;11;297;2;0;E;1;11.988;P 32;Nouveau;10.2164503691;36.6756813372; ; ;0; ;0
6;182;16480;1;5;27,43;PASSAGE A NIVEAU PK 27+430 SECTION  C026 LIGNE 5 Double Voie;22251110;22251110;251020023;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;27.43;P 50;Nouveau;10.4364952924;36.6792852381; ; ;0; ;0
7;515;16823;1;6;30,9;PASSAGE A NIVEAU PK 30+900 SECTION  C043 LIGNE 6 Voie Unique;22251110;22251110;251020088;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;30.9;P 53;Nouveau;10.0675086133;36.560437936; ; ;0; ;0
8;525;16879;1;6;11,871;PASSAGE A NIVEAU PK 11+871 SECTION  C043 LIGNE 6 Voie Unique;22251110;22251110;251020066;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;11.871;P 65;Nouveau;10.2170118784;36.6766340654; ; ;0; ;0
9;1180;16158;20;TA;5,123;PASSAGE A NIVEAU PK 5+123 SECTION  C024 LIGNE TA double voie;22251110;22251110;251020005;1994-01-01T00:00:00.000;1994-01-01T00:00:00.000;7913.812;7913.812;;;C;11;131;2;0;E;1;5.123;P 77;Nouveau;10.1422360362;36.8049760804; ; ;0; ;0
10;540;17091;1;6;83,48;PASSAGE A NIVEAU PK 83+480 SECTION  C049 LIGNE 6 Voie Unique;22251110;22251110;251020397;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;4;0;E;1;83.48;P 80;Nouveau;9.64538630565;36.354730358; ; ;0; ;0
11;615;18000;1;6;54,16;PASSAGE A NIVEAU PK 54+160 SECTION  C048 LIGNE 6 Voie Unique;22251110;22251110;251020377;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;4;0;E;1;54.16;P 85;Nouveau;9.95463690309;36.4019848208; ; ;0; ;0
12;553;17184;1;6;102,05;PASSAGE A NIVEAU PK 102+050 SECTION  C049 LIGNE 6 Voie Unique;22251110;22251110;251020410;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;4;0;E;1;102.05;P 90;Nouveau;9.4437924278;36.3830089108; ; ;0; ;0
13;199;16855;20;5;46,879;PASSAGE A NIVEAU PK 46+879 SECTION  C028 LIGNE 5 Double Voie;22251110;22251110;251020041;1984-02-01T00:00:00.000;1984-02-01T00:00:00.000;49937.616;49937.616;;;C;11;297;2;0;E;1;46.879;P 95;Nouveau;10.5487183179;36.535078454; ; ;0; ;0
14;178;16476;20;5;23,136;PASSAGE A NIVEAU PK 23+136 SECTION  C026 LIGNE 5 quadruple Voie;22251110;22251110;251020019;1986-01-01T00:00:00.000;1986-01-01T00:00:00.000;24968.808;24968.808;;;C;11;297;2;0;E;1;23.136;P 106;Nouveau;10.3987977467;36.7029832129; ; ;0; ;0
15;209;16865;1;5;62,45;PASSAGE A NIVEAU PK 62+450 SECTION  C028 LIGNE 5 Double Voie;22251110;22251110;251020051;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;62.45;P 124;Nouveau;10.5519188721;36.4114571472; ; ;0; ;0
16;1259;17947;20;TA;13,068;PASSAGE A NIVEAU PK 13+068 SECTION  C002 LIGNE TA Double Voie;22251110;22251110;251020797;1983-01-01T00:00:00.000;1983-01-01T00:00:00.000;7913.812;7913.812;;;C;11;131;1;0;E;1;13.068;P 129;Nouveau;10.0563682646;36.8227068296; ; ;0; ;0
17;725;16907;20;7;8,813;PASSAGE A NIVEAU PK 8+813 SECTION  C059 LIGNE 7 Double Voie;22251110;22251110;251020092;1978-11-01T00:00:00.000;1978-11-01T00:00:00.000;29656.746;29656.746;;;C;11;140;2;0;E;1;8.813;P 130;Nouveau;10.2843802883;36.8011947164; ; ;0; ;0
18;176;16474;20;5;20,24;PASSAGE A NIVEAU PK 20+240 SECTION  C024 LIGNE 5 Double Voie;22251110;22251110;251020017;1975-01-01T00:00:00.000;1975-01-01T00:00:00.000;40284.724;40284.724;;;C;11;297;2;0;E;1;20.24;P 133;Nouveau;10.369223241;36.7136659539; ; ;0; ;0
19;720;37970;1;6;78,96;PASSAGE A NIVEAU PK 78+960 SECTION  C049 LIGNE 6 Voie Unique;22251110;22251110;251020393;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;4;0;E;1;78.96;P 144;Nouveau;9.69566546484;36.3560846324; ; ;0; ;0
20;550;17181;1;6;95,79;PASSAGE A NIVEAU PK 95+790 SECTION  C049 LIGNE 6 Voie Unique;22251110;22251110;251020407;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;4;0;E;1;95.79;P 145;Nouveau;9.51279430255;36.3752061111; ; ;0; ;0
21;193;16769;1;5;40,913;PASSAGE A NIVEAU PK 40+913 SECTION  C028 LIGNE 5 Double Voie;22251110;22251110;251020035;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;40.913;P 159;Nouveau;10.5108602673;36.5789846086; ; ;0; ;0
22;520;16874;20;6;5,45;PASSAGE A NIVEAU PK 5+450 SECTION  C042 LIGNE 6 Double Voie;22251110;22251110;251020060;1977-01-01T00:00:00.000;1977-01-01T00:00:00.000;21396.63;21396.63;;;C;11;297;2;0;E;1;5.45;P 162;Nouveau;10.232533106;36.7313255725; ; ;0; ;0
23;657;19704;20;6;14,413;PN PK 14+413 , L 6;22251110;22251110;251800617;2008-01-01T00:00:00.000;2008-01-01T00:00:00.000;3776.348;9440.858;;;C;11;527;2;0;E;1;14.413;P 166;Nouveau;10.2019699223;36.6572337686; ; ;0; ;0
24;1184;16466;20;TA;8,82;PASSAGE A NIVEAU PK 8+820 SECTION  C024 LIGNE TA double voie;22251110;22251110;251020009;1978-01-01T00:00:00.000;1978-01-01T00:00:00.000;7913.812;7913.812;;;C;11;131;2;0;E;1;8.82;P 169;Nouveau;10.1031745237;36.8156884721; ; ;0; ;0
25;534;17085;1;6;74,56;PASSAGE A NIVEAU PK 74+560 SECTION  C049 LIGNE 6 Voie Unique;22251110;22251110;251020390;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;4;0;E;1;74.56;P 173;Nouveau;9.74467263157;36.3556415198; ; ;0; ;0
26;210;16866;1;5;63,303;PASSAGE A NIVEAU PK 63+303 SECTION  C028 LIGNE 5 Double Voie;22251110;22251110;251020052;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;63.303;P 179;Nouveau;10.5435224464;36.4078633627; ; ;0; ;0
27;185;16484;1;5;29,827;PASSAGE A NIVEAU PK 29+827 SECTION  C027 LIGNE 5 Double Voie;22251110;22251110;251020026;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;29.827;P 188;Nouveau;10.4528205769;36.6621511029; ; ;0; ;0
28;510;16818;1;6;24,103;PASSAGE A NIVEAU PK 24+103 SECTION  C043 LIGNE 6 Voie Unique;22251110;22251110;251020083;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;24.103;P 191;Nouveau;10.12030927;36.6044162912; ; ;0; ;0
29;539;17090;1;6;82,97;PASSAGE A NIVEAU PK 82+970 SECTION  C049 LIGNE 6 Voie Unique;22251110;22251110;251020396;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;4;0;E;1;82.97;P 222;Nouveau;9.65105885921;36.3549976815; ; ;0; ;0
30;217;17014;1;5;73,275;PASSAGE A NIVEAU PK 73+275 SECTION  C029 LIGNE 5 Double Voie;22251110;22251110;251020204;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;73.275;P 226;Nouveau;10.4682113955;36.3458287792; ; ;0; ;0
