OBJECTID_1;OBJECTID;Code_Fiche;nb_annee;Code_Ligne;Pk;libelle;code_famil;code_sous_;Code_immob;Date_Aquis;Date_MS;Amrt_Cumul;Montant_br;Date_affec;Dt_Cession;emplacemen;nat_dos;dossier;Zone;direction;etat_resea;inventoria;PK_PN;Code_PN;Etat;X;Y;Code_Categ;Code_mere;Unite_d_af;Caracteris;Detail_emp
1;943;16834;1;13;119,45;PASSAGE A NIVEAU PK 119+450 SECTION  C073 LIGNE 13 Voie Unique;22251110;22251110;251020713;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;5;0;E;1;119.45;P 2;Nouveau;9.03053649064;34.4631555911; ; ;0; ;0
2;1003;17420;1;15;16,125;PASSAGE A NIVEAU PK 16+125 SECTION  C078 LIGNE 15 Voie Unique;22251110;22251110;251020771;1996-11-01T00:00:00.000;1996-11-01T00:00:00.000;1;1;;;C;11;0;6;0;E;1;16.125;P 17;Nouveau;8.34123501915;34.3843525627; ; ;0; ;0
3;991;18717;20;13;226,597;PN AU PK 226+597 , L 13;22251110;22251110;251800460;2007-01-01T00:00:00.000;2007-01-01T00:00:00.000;2542.732;5650.482;;;C;11;527;6;0;E;1;226.597;P 25;Nouveau;8.20761559453;33.982432138; ; ;0; ;0
4;944;16835;20;13;121,475;PASSAGE A NIVEAU PK 121+475 SECTION  C073 LIGNE 13 Voie Unique;22251110;22251110;251020714;1984-06-01T00:00:00.000;1984-06-01T00:00:00.000;6498.377;6498.377;;;C;11;282;5;0;E;1;121.475;P 36;Nouveau;9.00879624256;34.4619081845; ; ;0; ;0
5;1063;16845;1;21;19,19;PASSAGE A NIVEAU PK 19+190 SECTION  C073 LIGNE 21 Voie Unique;22251110;22251110;251020725;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;5;0;E;1;19.19;P 45;Nouveau;8.97431002003;34.3211391069; ; ;0; ;0
6;1006;17846;1;15;27,72;PASSAGE A NIVEAU PK 27+720 SECTION  C078 LIGNE 15 Voie Unique;22251110;22251110;251020774;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;6;0;E;1;27.72;P 57;Nouveau;8.25805612626;34.4427405871; ; ;0; ;0
7;1022;17940;1;15;111,95;PASSAGE A NIVEAU PK 111+950 SECTION  C078 LIGNE 15 Voie Unique;22251110;22251110;251020790;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;6;0;E;1;111.95;P 73;Nouveau;8.63733399289;35.0134723419; ; ;0; ;0
8;977;17332;20;13;226,32;PASSAGE A NIVEAU PK 226+328 SECTION  C074 LIGNE 13 Voie Unique;22251110;22251110;251020759;1990-06-01T00:00:00.000;1990-06-01T00:00:00.000;6498.377;6498.377;;;C;11;282;6;0;E;1;226.32;P 83;Nouveau;8.2098062531;33.9841359308; ; ;0; ;0
9;941;16832;20;13;110,475;PASSAGE A NIVEAU PK 110+475 SECTION  C073 LIGNE 13 Voie Unique;22251110;22251110;251020711;1984-06-01T00:00:00.000;1984-06-01T00:00:00.000;6498.377;6498.377;;;C;11;282;5;0;E;1;110.475;P 94;Nouveau;9.12206747345;34.4900995899; ; ;0; ;0
10;1009;17849;1;15;77,3;PASSAGE A NIVEAU PK 77+300 SECTION  C078 LIGNE 15 Voie Unique;22251110;22251110;251020777;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;6;0;E;1;77.3;P 111;Nouveau;8.52028389844;34.7524342461; ; ;0; ;0
