Localisation;Addresse;Tel;;;;
siège;144 Avenue Habib Thameur 8019 Nabeul ;72287000;;;;
Agence Nabeul ;Avenue Habib Thameur (El ahwach) - Nabeul ;72221119;;;;
Agence Korba;Avenue Habib Bourguiba - Korba;72384453;;;;
Agence Menzel Temime; Avenue Farhat Hachad - ( Rue de Kélibia ) Menzel Temime;72 344 047;;;;
Agence Kélibia ;Avenue Ali Balhouan - Kélibia;72 296 208;;;;
Agence Haouaria;Avenue Habib Bourguiba - Haouaria;72 297 012;;;;
Agence Soliman ;Avenue de la République – Soliman; 72 290 066;;;;
Agence Menzel Bouzelfa;Avenue Habib Bourguiba - Menzel Bouzelfa;72 292 031;;;;
Agence Beni Kalled ;Avenue Habib Bourguiba - Beni Kalled;72 371 087;;;;
Agence Grombalia;Route de Beni Kalled - Grombalia; 72 255 060;;;;
Agence Hammamet;Avenue Mohamed V ( Manaret Hammamet ) - Hammamet;72 227 711;;;;
Agence Zaghouan ;Cité Industrielle - Zaghouan;72 676 376;;;;
Agence El Fahs ;Route kedouat Echayr - El Fahs;72 670 455;;;;
Agence Tunis; Gare Routière du Tunis - sud ( Bab Alioua ) ;71 492 456;;;;
Atelier Grombalia;Route de Beni Kalled - Grombalia;72 255 191;;;;
Atelier Nabeul ;Avenue Habib Thameur - Nabeul ;72 285 808 --    72 287 000;;;;
Atelier Menzel Temime;Avenue Farhat Hachad ( Route de Kélibia ) - Menzel Temime;72 300 103;;;;
Atelier Zaghouan;Cité Industrielle - Zaghouan;72 676 376;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
