Nom_du_Festival,Subvention_ministere,Subvention_commissariat,Conseil_Municipal,Conseil_Regional,Sponsor
مهرجان تبرنق غار دماء,17.000,10.400,1.000,3.000,1.700
مهرجان الجوز بفرنانة,3.300,12.000,1.000,0,0
المهرجان الثقافي ببلطة,3.700,6.600,1.000,0,0
المهرجان الفلاحي و الثقافي ببوسالم,7.250,10.500,0,1.200,2.100
مهرجان السد ببن مطير,6.020,8.200,500,0,0
مهرجان شمتو الصيفي وادي مليز,9.000,8.400,1.000,3.000,0
مهرجان بلاريجيا,11.800,25.700,2.000,0,0
مهرجان طبرقة الدولي,83.000,4.500,0,2.500,1.140
مهرجان سيدي صالح البلطي,0,5.900,1.000,0,0
مهرجان الريحان بعين دراهم,4.100,14.000,2.000,2.000,0
