Beneficiaire (Associations),Montant-2018,Montant-2019,Montant-2020
الجمعية التونسية للثقافة الشعبية,0,2500,0
الجمعية التونسية للثقافة والمواطنة,12000,0,0
الجمعية الثقافية الأمان للانشطة المتعددة,0,4000,0
الجمعية الوطنية لتنمية السياحة الثقافية و الفنون التراثية,14500,0,0
المهرجان الثقافي أولاد حفوز,8000,8000,4000
المهرجان الصيفي سيدي بوزيد,12000,12000,45000
المهرجان الوطني للجواد العربي الأصيل,18000,8000,40000
"جمعية "" صوت حواء """,0,8000,0
جمعية إتحاد الكتاب التونسيين,1000,0,2000
جمعية الإبداع المسرحي,3000,0,0
جمعية الأمل للثقافة والترفيه سيدي بوزيد,1000,0,5000
جمعية التلميذ للتنشيط الثقافي,0,1000,0
جمعية الطموح,2000,2000,7000
جمعية الفروسية الثقافية الشعبية,5000,0,0
جمعية الفعل المسرحي,0,8000,0
جمعية المهرجان الثقافي السوق الجديد,8000,8000,0
جمعية المهرجان الصيفي بئر الحفي,0,8000,1500
جمعية النهوض المسرحي سيدي بوزيد,1000,1000,0
جمعية النهوض بمجلة مرآة الوسط,1500,1500,6000
جمعية أولاد الدار للثقافة و التراث بالرقاب,8000,0,16000
جمعية تطوع للتنمية الريفية,0,7500,0
جمعية تقمودة للمسرح,1000,1500,0
جمعية سيدي خليفة للفروسية,0,0,1500
جمعية شباب الغد للثقافة الرقمية,0,1000,2000
جمعية عصافير السلام لمسرح الطفل,0,1000,0
جمعية فنون للثقافة وأحياء التراث,1500,1500,2000
جمعية مدارات للأدب والفكر والفنون,1500,2000,15000
جمعية مسرح الأمل بالمزونة,1000,1000,0
جمعية مهرجان الثقافي سيدي خليفة بوشاش,0,0,4000
جمعية مهرجان المدينة,7000,5000,0
جمعية مهرجان الولي الصالح سيدي بالطيب,3000,5000,0
جمعية مهرجان الولي الصالح سيدي بوزيد,0,0,0
مهرجان الأغنية البدوية المزونة,8000,8000,0
مهرجان سيدي علي بن عون,17000,12000,12000
جمعية أحباء المكتبة و الكتاب بن عون,1500,0,0
جمعية أحباء المكتبة و الكتاب السبالة,9500,0,0
جمعية أحباء المكتبة و الكتاب منزل بوزيان,1500,0,0
جمعية أحباء المكتبة و الكتاب بئر الحفي,1000,0,0
جمعية أحباء المكتبة و الكتاب إبن خلدون,1000,0,0
جمعية أحباء المكتبة و الكتاب المزونة,1500,0,0
جمعية أحباء المكتبة و الكتاب السوق الجديد,1500,0,2000
جمعية أحباء المكتبة و الكتاب سيدي بوزيد,6000,0,32000
جسور للإبداع,0,0,1500
جمعية اليمام,0,0,1000
جمعية ذكرى,0,0,3000
