Nom_festival,Subvention_M,Subvention_C,Subvention_Conseil Regional,Subvention_Conseil Municipal,Subvention_Publicite,Nbre_Spectacle_Musique_M,Nbre_Spectacle_Musique_C,Nbre_Spectacle_Theatre_M,Nbre_Spectacle_Theatre_C,Nbre_Spectacle Animation_C
مهرجان الساف ,0,0,0,7000,0,0,1,0,0,0
مهرجان سينما تحت النجوم ,0,6000,0,0,0,0,0,0,0,32
مهرجان سليمان ,0,,0,30000,0,0,1,0,1,0
مهرجان الادباء الشبان بقليبية ,5000,5000,0,7000,0,1,0,0,0,0
مهرجان انماء المعمورة ,0,0,0,0,0,0,1,0,1,1
مهرجان أيام نيابوليس للعزف الفردي ,0,2000,0,0,0,0,0,0,0,12
مهرجان قربص للالوان ,0,0,0,0,0,0,2,2,0,0
مهرجان الصيفي بالشريفات ,0,0,0,0,0,0,1,1,2,0
مهرجان عيد البحر بتازركة ,0,1000,0,0,0,1,1,1,0,0
مهرجان الفل بالحمامات ,0,0,0,0,0,0,1,0,0,0
مهرجان الزين الصافي بقليبية ,0,2000,0,0,0,1,0,0,0,0
مهرجان الصيفي قروندا بوشراى,0,0,0,0,0,1,2,2,0,0
مهرجان الصيفي بمنزل بوزلفى,0,2000,2500,3500,600,0,1,1,0,0
مهرجان الصيفي زاوية  الجديدي,0,3000,3000,5000,5150,0,1,0,0,1
مهرجان بوكريم الهوارية ,0,0,0,0,0,0,1,2,0,0
مهرجان نابل الدولي ,80000,15000,5000,25000,0,0,0,0,0,0
مهرجان العنب بقرمبالية,20000,5000,2000,26000,2500,1,0,0,0,0
مهرجان الحوت ببني خيار ,0,0,0,0,5000,1,0,0,0,0
مهرجان الفلفل بمنزل حر ,0,0,0,0,23000,1,0,1,1,1
مهرجان قربة لمسرح الهواة ,40000,0,0,0,0,0,0,8,0,0
مهرجان نسمات الحمامات ,0,0,0,80000,15000,0,0,0,0,0
مهرجان الوديان ,0,2000,3000,0,0,1,0,0,1,0
مهرجان الخروبة ,0,3000,4000,4000,0,1,1,0,0,1
