Non_des_Associations ,subvention _ministère ,subvention _commissariat ,Subvention_régional ,Subvention_conseil_municipal ,Subvention _publicitaire ,Nbr_spectacle_théâtral ,Mnt_spectacle _théâtral ,Nbr_spectacle_musical,Mnt_spectacle_musical ,Nbr_spectacle_animation ,Mnt_spectacle_animation 
الجمعية المتوسطية للصورة و الحركة ,0,3000,0,0,0,0,0,0,0,0,0
جمعية منارة الادب بقليبية ,5000,7000,0,7000,0,0,0,2,9575٫25,0,0
جمعية منتدى هرماية بالهوارية ,0,4000,0,0,0,0,0,1,4000,0,0
جمعية فسيفساء للموسيقى و الفنون ,0,2000,0,0,0,0,0,0,0,0,0
جمعية حس التنشيطية الثقافية الفنية ,0,3000,0,0,0,0,0,1,680,0,0
جمعية التنشيط و المهرجانات بنابل ,8000,15000,5000,25000,8000,0,0,0,0,0,0
جمعية المتوسط للفنون و السياحة الثقافية ,0,6000,3000,0,0,0,0,0,0,0,0
جمعية التنمية و النهوض بشباب الخروبة ,0,3000,4000,4000,0,1,700,1,4000,2,1700
جمعية الارتيست للانتاج المسرحي بمنزل بوزلفى,0,2000,2000,3500,0,1,700,3,13800,0,0
جمعية التنشيط و المهرجانات بزاوية سيدي الجديدي ,0,3000,0,5000,0,0,0,1,4000,1,1000
جمعية تازركة ثقافة فن و تراث ,0,1000,0,0,0,1,2300,2,8738,0,0
جمعية المهرجان الصيفي بالوديان ,0,2000,0,0,0,0,0,0,0,0,0
جمعية مسرح الابتسامة ,0,2000,0,0,0,0,0,0,0,0,0
جمعية اميرا للمسرح بمنزل بوزلفة,0,1000,0,0,0,3,2650,0,0,0,0
جمعية مهرجان العنب بقرمبالية ,0,5000,0,0,0,0,0,1,7187,0,0
ودادية أعوان وزارة الثقافة بنابل ,0,36250,0,0,0,0,0,0,0,0,0
جمعية جبل سيدي عبد الرحمان للبيئة و التنمية المستدامة ,0,0,0,0,0,1,1500,1,1500,0,0
جمعية صيانة دار شعبان الفهري ,0,0,0,0,0,0,0,1,1200,0,0
الجمعية الوطنية برج الجهمي سليمان ,0,0,0,0,0,0,0,1,1000,1,700
الغرفة الفتية الحمامات ,0,0,0,0,0,0,0,1,4000,0,0
الجمعية التونسية للثقافة الشعبية ,0,0,0,0,0,0,0,1,3000,0,0
جمعية معتمدي ولاية نابل ,0,0,0,0,0,0,0,1,700,0,0
الجمعية التونسية للنهوض بالصحة النفسية بنابل ,0,0,0,0,0,0,0,1,1200,0,0
جمعية أحباء لمكتبة و الكتا ب ببني خلادة,0,0,0,0,0,0,0,1,500,0,0
جمعية الجدار الرابع بالشريفات ,0,0,0,0,0,2,7000,0,0,0,0
المنظمة التونسية للتربية و الاسرة بنابل ,0,0,0,0,0,0,0,1,2000,0,0
جمعية الترفيه و التنشيط بسليمان ,0,0,0,0,0,0,0,2,5000,0,0
جمعية رؤى الشهيد بالشريفات ,0,0,0,0,0,1,800,0,0,0,0
جمعية انماء بالمعمورة ,0,0,0,0,0,2,1450,,,,
