Non_de_festivals ,subvention _ministère ,subvention _commissariat ,Subvention_régional ,Subvention_conseil_municipal ,Subvention_publicitaire ,Nbr_spectacle_théâtral ,Mnt_spectacle _théâtral ,Nbr_spectacle_musical,Mnt_spectacle_musical ,Nbr_spectacle_animation ,Mnt_spectacle_animation 
مهرجان بوكريم الهوارية ,0,0,0,0,0,0,0,1,2700,0,0
مهرجان نابل الدولي ,100000,10000,0,110000,9000,0,0,1,9000,0,0
Ciné étoile ,13000,2000,1000,0,3000,0,0,0,0,0,0
نيابوليس للموسيقات و الفنون ,0,2000,0,0,0,0,0,1,4000,0,0
مهرجان البحر تازركة ,0,0,0,0,7000,1,4000,3,16000,0,0
المهرجان الصيفي بالخروبة ,0,2000,3000,0,0,1,2200,2,4700,0,0
قربص الألوان ,0,0,0,0,2000,3,4900,2,6500,0,0
المهرجان الصيفي بالشريفات ,0,0,0,0,0,2,2700,3,16300,0,0
مهرجان العنب قرمبالية ,20000,5000,0,26000,2000,0,0,2,6000,0,0
المهرجان الوطني للأدباء الشبان ,0,1000,0,0,0,1,3200,1,6000,0,0
مهرجان الزين الصافي ,0,2000,0,0,0,0,0,0,0,0,0
المهرجان المتوسطي للثقافات و الفنون حمام الغزاز ,0,0,0,0,0,2,1300,1,4500,2,7000
مهرجان الحوت بني خيار ,17500,0,0,0,2000,2,4200,3,14200,0,0
المهرجان الصيفي منزل بوزلفة ,0,0,0,0,0,0,0,0,0,0,0
مهرجان سيدي على الصمعي ,20000,6000,0,0,0,2,2400,2,11700,0,0
