gov_name_a,gov_id,musee_name_a,Longitude,Laltitude,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre,Total
تونس,11,المتحف  الوطني بباردو,10.134020,36.851066,3872,4658,6139,7526,8627,9049,11587,12516,13727,10332,6747,6787,101567
تونس,11,المواقع الأثرية بقرطاج,10.324120,36.853260,6210,7427,10062,14666,24329,29106,31828,34083,36578,27416,10591,10633,242929
بن عروس,13,موقع أوذنة الأثري,10.169256,36.608675,429,428,729,930,1022,728,697,832,1297,1260,699,1148,10199
نابل,15,برج الحمامات ,10.901014,35.6255322,2633,3637,4398,4948,4449,3191,2813,2990,4375,6121,4696,4781,49032
نابل,15,موقع ومتحف كركوان الأثري,11.097701,36.946997,27,20,19,15,14,7,9,31,23,12,16,17,210
نابل,15,مغاور الهوارية,10.995013,37.0578219,5052,6315,8758,11209,19978,23195,26645,30863,29563,23281,8624,10340,203823
نابل,15,برج قليبية,11.116034,36.837880,190,133,253,328,403,415,671,852,630,484,279,270,4908
نابل,15,متحف نابل,10.734161,36.450708,51,44,112,120,98,122,226,338,199,209,112,121,1752
نابل,15,موقع بوبوت الحمامات,10.562700,36.392605,4,3,15,14,2,18,12,33,40,7,12,15,175
نابل,15,موقع نيابوليس,10.564377,36.397136,904,857,1563,2019,2131,1767,2682,3411,2735,2979,1269,1438,23755
زغوان,16,تبربوماجيس,9.904595,36.399894,727,758,1249,1658,2189,1811,2712,3401,2783,3143,1555,1750,23736
بنزرت,17,  أوتيك ( متحف وموقع),10.058460,37.052150,84,82,141,230,317,202,466,412,390,455,271,231,3281
باجة,21,معلم دقة,9.220249,36.423705,11,24,20,13,9,6,13,14,16,19,22,45,212
جندوبة,22,بلاريجيا (معلم),8.756973,36.558914,1003,1063,1680,2043,2552,2832,4128,5432,4374,4079,1787,2213,33186
الكاف,23,  متحف الكاف ( العادات والتقاليد),8.715253,36.182689,271,294,673,475,240,165,454,826,416,372,379,702,5267
سليانة,24,  مكثر ( معلم ),9.207969,35.853645,19,17,30,60,69,57,102,164,87,81,45,33,764
سوسة,31,المتحف الأثري بسوسة,10.379674,36.135162,8,20,7,0,0,0,0,0,0,0,0,0,35
سوسة,31,رباط سوسة,10.638766,35.82769,389,429,524,992,1090,907,1367,2221,1823,1734,793,820,13089
سوسة,31,جامع سوسة ,10.639763,35.826816,300,511,819,877,760,922,1203,1633,1201,924,1040,1099,11289
سوسة,31,متحف النفيضة,10.379674,36.135162,73,50,210,189,124,110,355,518,274,155,90,139,2287
المنستير,32,رباط المنستير,10.833039,35.776166,647,629,1123,1206,842,761,2063,3755,1705,811,829,1213,15584
المنستير,32,متحف الحبيب بورقيبة-صقانس,10.828369,35.778289,60,73,81,146,123,81,132,279,107,203,94,67,1446
المنستير,32,متحف اللباس التقليدي بالمنستير,10.830743,35.775712,5,23,50,54,55,58,49,58,109,151,75,124,811
المنستير,32,متحف لمطة,10.877476,35.677617,24,15,35,32,11,17,30,95,14,49,29,38,389
المهدية,33,متحف وقصر الجم,10.705518,35.289531,572,678,1022,1015,544,390,288,604,651,1342,758,1237,9101
المهدية,33,برج المهدية,11.076287,35.505173,111,167,225,422,240,151,130,155,242,505,223,378,2949
المهدية,33,متحف المهدية,11.068836,35.503719,337,371,678,878,433,352,272,314,479,742,522,960,6338
المهدية,33,متحف سلقطة,10.706915,35.296401,1833,2135,3358,3951,2136,1287,1167,1261,2026,3452,2654,5199,30459
صفاقس,34,متحف  العادات والتقاليد بصفاقس,10.764076,34.731947,85,129,107,147,72,32,29,56,47,106,121,307,1238
صفاقس,34,متحف قصبة صفاقس,10.758836,34.733525,34,43,59,59,55,13,19,44,41,31,41,87,526
القيروان,41,المعالم التاريخية بالقيروان,10.095583,35.686481,181,179,282,326,176,74,99,221,174,279,182,483,2656
القيروان,41,متحف رقادة,10.053108,35.593139,123,90,138,112,139,85,167,218,214,181,130,135,1732
القصرين,42,موقع ومتحف سبيطلة الأثري,9.119372,35.240552,15,21,12,7,10,9,5,7,22,15,19,12,154
مدنين,52,متحف العادات والتقاليد بجربة,10.865633,33.732481,454,447,744,1281,1306,1195,1401,1653,1938,1619,747,978,13763
مدنين,52,متحف جرجيس,11.115379,33.503603,0,0,0,0,0,76,77,159,250,306,92,114,1074
مدنين,52,برج غازي مصطفى بجربة,10.860527,33.883978,21,20,60,60,37,26,17,7,32,23,73,50,426
مدنين,52,جامع فضلون بجربة,10.959081,33.824657,1,2,7,12,0,4,7,1,2,7,2,16,61
مدنين,52,موقع جكتيس الأثري,10.676938,33.532519,0,0,0,0,0,0,0,0,0,0,0,2,2
قفصة,61,متحف قفصة الأثري, 8.787074,34.415829,136,110,212,133,106,30,87,122,109,202,89,160,1496
قفصة,61,موقع رمادية قفصة,8.796926,34.429592,105,71,99,87,80,23,62,71,93,126,35,88,940
قبلي,63,متحف دوز,9.024755,33.457418,23,57,28,55,33,7,12,7,20,87,59,337,725
