gov_name_f,gov_name_a,gov_id,Patrimoine_immatriel,longitude,laltitude
Tunis,تونس,11,أقفاص سيدي بوسعيد,10.3343581,36.871576
Tunis,تونس,11,صناعة الشاشية,10.1604679,36.7985461
Tunis,تونس,11,صناعة النحاس,10.171454,36.798666
Nabeul,نابل,15,النقش على الخشب بقليبية,11.0613004,36.8401933
Nabeul,نابل,15,فن البيزرة بالهوارية,10.9904863,37.0506098
Nabeul,نابل,15,إعداد هريسة,10.173261,36.7588211
Nabeul,نابل,15,كعك قليبية,11.091859,36.846578
Bizerte,بنزرت,17,فخار نساء سجنان,9.2335153,37.0594917
Le Kef,الكاف,23,زردة سيدي بركات,8.6673015,36.1669253
Le Kef,الكاف,23,حرفة الصدارة,8.697313,36.168257
Le Kef,الكاف,23,ساحة بومخلوف,8.713905,36.181974
Le Kef,الكاف,23,عيد مّيو,8.701465,36.171840
Siliana,سليانة,24,الخزف الريفي بالبرامة,9.3477343,36.0868387
Siliana,سليانة,24,الاغنية الشعبية بكسرى,9.3612635,35.8141328
Monastir,المنستير,32,"التقاليد المطبخيّة المرتبطة بسمك ""الشركاو"" ",10.77542,35.7543364
Monastir,المنستير,32,المهارات المرتبطة باستخدام الألياف النباتية,10.812670,35.751614
Monastir,المنستير,32,النسيج التقليدي,10.810447,35.770422
Monastir,المنستير,32,أكلة البسيسة بلمطة,10.859674,35.673289
Monastir,المنستير,32,دباغة الجلد بالمكنين,10.8819585,35.6328839
Monastir,المنستير,32,التطريز اليدوي ,10.810447,35.770422
Mahdia,المهدية,33,فسيفساء,10.6888388,35.295229
Sfax,صفاقس,34,الحاجوجة بصفاقس,10.6630578,34.7615155
Sfax,صفاقس,34,الطرف القرقني,10.6630578,34.7615155
Sfax,صفاقس,34,المرقة الصفاقسية,10.6630578,34.7615155
Sfax,صفاقس,34,شرمولة,10.6630578,34.7615155
Sfax,صفاقس,34,صناعة السرج,10.762289,34.731076
Sfax,صفاقس,34,تقطير الزهور,10.6630578,34.7615155
Sfax,صفاقس,34,إعداد الملبس ,10.6630578,34.7615155
Sfax,صفاقس,34,صناعة الغربال,10.761473,34.731464
Sfax,صفاقس,34,عصر الزيت,10.755445,34.798049
Sfax,صفاقس,34,مشطية جبنيانة,10.8868287,35.0316195
Sfax,صفاقس,34,صناعة البندير,10.760550,34.745822
Gabès,قابس,51,البوسيقة,9.2986517,33.8027426
Gabès,قابس,51,ضفر القصب بشننّي,10.2603292,32.9102795
Gabès,قابس,51,حرفة السمار بالمطوية,9.9983177,33.9563428
Gabès,قابس,51,مرقوم وذرف,9.7250821,33.9372317
Médenine,مدنين,52,حجّ الغريبة,10.859352,33.814107
Kebili,قبلي,63,البوسيقة,8.2009136,33.1357912
Kebili,قبلي,63,المهرجان الدولي للصحراء,9.0097974,33.4627354
