الرمز,رمز النشر,الإسم,العنوان,ت.ب,الولاية,مجال النشاط,الهاتف,الفاكس,البريد الإلكتروني,موقع الواب,تاريخ التكوين,عدد الرائد الرسمي,تاريخ  الرائد الرسمي,عدد المنخرطين,عدد الموظفين,الأهداف
9325,2000R2863APSB1,جمعية أحباء التنشيط الثقافي والسينمائي والإعلامي بسليانة,دار الجمعيات شارعبنزرت عدد 74 سليانة,6100,سليانة,ثقافية،فنية,98238872,78870662,,,2000-10-12,123,2000-10-12,0,0,نشر ثقافة التغيير بمفهومها الشامل
9326,97R0127APSB1,جمعية صيانة الموقع الأثري بزاما سليانة,سليانة الشمالية,,سليانة,ثقافية،فنية,,,,,1996-09-24,6,1997-01-21,0,0,انجاز الندوات والمعارض والمساعدة في الحفريات الخاصة بالمواقع
9327,99R1662APSB1,جمعية مهرجان الصيفي بسليانة,سليانة,6100,سليانة,ثقافية،فنية,,,,,1999-06-15,64,1999-06-15,0,0,انجاز الدورات السنوية للمهرجان الصيفي بسليانة
9328,95T1230APSB1,جمعية الإبتكار المسرحي قعفور,دار الشباب قعفور,0,سليانة,ثقافية،فنية,97.818.308,,,,1995-04-11,33,1995-04-11,0,0,
9329,N° R-1323/1,جمعية مسرح الشمسي بسليانة,السليانة,6100,سليانة,ثقافية،فنية,,,,,1990-07-14,92,1990-11-23,0,0,انتاج اعمال مسرحية للكهول والأطفال وتوزيعها
9330,,جمعية الفروسية والرماية بمكثر,مكثر,,سليانة,ثقافية،فنية,,,,,1985-09-26,0,1985-09-26,0,0,اقامة العروض الفروسية المشاركة في التظاهرات التراثية
9331,2007T04111APSF1,جمعية أحباء المكتبة والكتاب سيدي بورويس,المكتبة العمومية عدد 16  شارع 7 نوفمبر  سيدي بورويس,6113,سليانة,ثقافية،فنية,96154487,,,,2007-06-28,54,2007-06-28,0,0,"إثراء مخزون المكتبة ودعم الأنشطتها ودعم اشعاعها على محيطها
استغلال كل الوسائل التقنية والرقمية لترسيخ مكانة الكتاب في الحياة"
9343,2008T06332APSF1,جمعية أحباء نادي الأطفال سيدي بورويس,نادي الأطفال سيدي بورويس,6113,سليانة,ثقافية،فنية,,,,,2008-11-10,116,2008-11-10,0,0,تأطير الأطفال تربويا وثقافيا واجتماعيا
9344,2003R2534APSB1,جمعية أحباء الطفل الأمل ببوعرادة,,,,,,,,,,,,,,
9346,2009T07470APSF1,جمعية أحباء الطفل بكسرى,,,,,,,,,,,,,,
9347,2007T01514APSF1,جمعية  تعليم الكبار بالكريب,حي النصر الكريب,6120,سليانة,ثقافية،فنية,,,,,2007-03-13,21,2007-03-13,0,0,السهر على تنفيذ برنامج تعليم الكبار وإنجاحه وتطويره
9348,2008L00001APSF1,جمعية الأمل لتعليم الكبار بقعفور,الوحدة المحلية للنهوض الإجتماعي قعفور,6110,سليانة,ثقافية،فنية,,,,,2008-01-11,4,2008-01-11,0,0,القضاء على الأمية
9349,2001R0854APSB1,جمعية النور لتعليم الكبار بالروحية,شارع 7 نوفمبر الروحية,6150,سليانة,ثقافية،فنية,,,directeurafdpr@afdpr.org.tn,,2001-05-21,97,2001-05-21,0,0,إنجاح برنامج تعليم الكبار ومحو الأمية
9350,2005R4209APSB1,جمعية  تعليم الكبار ببرقو,الوحدة المحلية للعمل الإجتماعي ببرقو,,سليانة,ثقافية،فنية,,,,,2005-12-06,184,2005-12-06,0,0,معاضدة مجهود الدولة لإنجاح برنامج تعليم الكبار
9351,,جمعية المستقبل لتعليم الكبار بسليانة الجنوبية,المدرسة الإبتدائية الجمهورية سليانة,6100,سليانة,ثقافية،فنية,,,,,2004-12-14,0,2004-12-14,0,0,معاضدة مجهود الدولة لإنجاح برنامج تعليم الكبار
9352,,جمعية المستقبل لتعليم الكبار بسليانة الشمالية,شارع 18 جانفي سليانة,6100,سليانة,ثقافية،فنية,,,,,2009-10-13,,2009-10-13,0,0,معاضدة مجهود الدولة لإنجاح برنامج تعليم الكبار
9353,2001R2748APSB1,الجمعية الجهوية لتعليم الكبار بسليانة,الإدارة الجهوية للشؤون الإجتماعية سليانة,6100,سليانة,ثقافية،فنية,,,,,2001-08-29,175,2001-08-29,0,0,معاضدة مجهود الدولة لإنجاح برنامج تعليم الكبار
9354,,جمعية تعليم الكبار بمدنين,الوحدة المحلية للنهوض الإجتماعي بمدنين,0,سليانة,ثقافية،فنية,,,,,2001-06-01,107,2001-06-01,0,0,معاضدة مجهود الدولة لإنجاح برنامج تعليم الكبار
9356,,جمعية تعليم الكبار بمكثر,المدرسة الإبتدائية بمكثر,,سليانة,ثقافية،فنية,,,,,2001-02-19,0,2001-06-10,0,0,معاضدة مجهود الدولة لإنجاح برنامج تعليم الكبار
