Association,Manifestation- subventionnee,Subvention-attribuee,Annee
جمعية إفريقيا و المتوسط للثقافة,سينما المتحف ,15000000,2015
جمعية مخرجي الأفلام التونسية,الملتقى الرابع للمخرجين ,10000000,2015
جمعية كتابة الجنوب,ورشة كتابة الجنوب,12000000,2015
جمعية مسار للتنمية و الثقافة,برنامج خوذ و هات الموسم الثاني ,20000000,2015
الجامعة التونسية لنوادي السينما,تظاهرة سينما السلام,15000000,2015
الجامعة التونسية للسينمائيين الهواة,المهرجان الدولي لفيلم الهواة,35000000,2015
جمعية إفريقيا و المتوسط للثقافة,سينما المتحف ,20000000,2016
جمعية مخرجي الأفلام التونسية,الملتقى الرابع للمخرجين ,10000000,2016
جمعية كتابة الجنوب,ورشة كتابة الجنوب,12000000,2016
جمعية مسار للتنمية و الثقافة,برنامج دقيقة سيت إين ,10000000,2016
الجامعة التونسية لنوادي السينما,تظاهرة سينما السلام,15000000,2016
الجامعة التونسية للسينمائيين الهواة,المهرجان الدولي لفيلم الهواة,35000000,2016
جمعية ملتقى سينما الجنوب,ملتقى سينما الجنوب,6000000,2016
الجمعية التونسية لتكنولوجيا الإبداع,مهرجان سينما تحريك,6000000,2016
جمعية جسور,المهرجان الدولي للفيلم العربي بقابس,25000000,2016
الجمعية الثقافية التونسية للإدماج و التكوين,مهرجان فيلم حقوق الانسان,5000000,2016
جمعية محمود المسعدي,تظاهرة خيمة الصورة,8000000,2016
جمعية صوتكم,مهرجان سينما تروقلوديت,10000000,2016
نادي اليونسكو و الالكسو بمدنين,المهرجان المغاربي للفيلم الوثائقي و العلمي,6000000,2016
جمعية الشارع فن ,Drean city,20000000,2016
جمعية إفريقيا و المتوسط للثقافة,سينما المتحف ,20000000,2017
نادي اليونسكو و الالكسو بمدنين,المهرجان المغاربي للفيلم الوثائقي و العلمي,8000000,2017
جمعية فنون للسينما و المسرح,مهرجان الفيلم القصير بالكاف,20000000,2017
جمعية حلقة احباء الصورة,تظاهرة خيمة الصورة 2 ,8000000,2017
جمعية افق للشباب و الثقافة,ملتقى توزروس لسينما الشباب,6000000,2017
الجامعة التونسية للسينمائيين الهواة,المهرجان الدولي لفيلم الهواة,50000000,2017
جمعية ملتقى هرمايا,مهرجان حكايات البحر,5000000,2017
جمعية ملتقى سينما الجنوب,ملتقى سينما الجنوب,6000000,2017
جمعية مخرجي الأفلام التونسية,الملتقى الخامس للمخرجين ,10000000,2017
جمعية مسار للتنمية و الثقافة,برنامج دقيقة سيت إين ,10000000,2017
جمعية مسار للتنمية و الثقافة,برنامج خوذ وهات الموسم الثالث ,15000000,2017
الجامعة التونسية للسينمائيين الهواة,المهرجان الدولي لفيلم الهواة  بقليبية,60000,2018
جمعية ناس الفن,تظاهرة  Doc à Tunis,25000,2018
الجمعية التونسية لمخرجي الأفلام,مهرجان السينما التونسية,25000,2018
جمعية جسور,المهرجان الدولي للفيلم العربي بقابس,50000,2018
الجمعية التونسية أفق للشباب و الرياضة,ملتقى توزوروس الدولي لسينما الشباب,20000,2018
الجمعية التونسية لمدرسي الفرنسية,تظاهرة من تصميم إلى إخراج الفيلم القصير,2700,2018
جمعية مسارب,ورشة الرديف لشهر أفريل,4000,2018
الجمعية التونسية لألعاب الفيديو,المشاركة في المسابقة العالمية لألعاب الفيديو في كل من كوريا الجنوبية و فينلندا,8244,2018
جمعية كتابة الجنوب,ورشة كتابة الجنوب,12000,2018
جمعية ملتقى الجنوب,ملتقى سينما الجنوب,9000,2018
جمعية لوطوس,ملتقى أفلام مدارس السينما,4000,2018
جمعية السينما الوثائقية,تظاهرة نظارات,1500,2018
الجمعية التونسية أفاق للشباب و الرياضة,الممثل أمام الكاميرا,20000,2018
جمعية القيروان للسينما والسمعي البصري,أيام القيروان السينمائية,15000,2018
جمعية حلقة أحباء الصورة,خيمة الصورة بتازركة,11000,2018
جمعية فن المكناسي,سينما الريف بالمكناسي,4000,2018
جمعية فنون السينما والمسرح بالكاف,مهرجان الفيلم القصير بالكاف,25000,2018
جمعية افريقيا والمتوسط للثقافة,سينما المتحف بسوسة,20000,2018
