Liste- des- associations- subventionnees- pour- l-annee -2022;;
Nom-de-l-association;Manifestation-subventionee;Montant-de-la-subvention
جمعية رؤى للثقافة والتنمية بمدنين;مهرجان الفيلم الوثائقي;10.000
جمعية فوكيس قابس;قابس سينما فن;90.000
جمعية أكتيف;مهرجان فيلم حقوق الإنسان;15. 000
الجامعة التونسية لسينمائيين الهواة;مهرجان قليبية الدولي لفيلم الهواة;160. 000
جمعية فنون السينما والمسرح;مهرجان الفيلم القصير بالكاف;12. 000
جمعية شكري بالعيد للإبداع;مهرجان 06 فيفري لسنة 2022;5. 000
جمعية المتوسط للفنون والسياحة الثقافية;مهرجان سينما تحت النجوم ;6. 000
جمعية القيروان للسينما;أيام القيروان السينمائية;4. 000
الجمعية التونسية لنوادي السينما;مهرجان سينما السلام ;15.000
جمعية أشكال وألوان واحية;مهرجان الأيام السينمائية المتوسطية بشنني;8.000 
جمعية كيف;تظاهرة الصورة شاهدة ;12.000
جمعية أولياء وأصدقاء المعوقين;مهرجان بانورما للفيلم القصير ;7.000 
جمعية التبادل الثقافي التونسي;EDUCTOUR;15.000
جمعية التبادل الثقافي التونسي;مهرجان فيلمي الوثائقي الأول;15.000
