gov_id,gov_name_f,gov_name_a,Nom-Bibliotheque,Adresse,Code-postal,Directeur,Telephone,E-mail,Longitude,Latitude
11,Tunis,تونس,المكتبة الجهويّة قرطاج بيرصا,المكتبة العمومية قرطاج بيرصا,2016,عفوى الانقليز,71720500,Lengliz.afoua@gmail.com,10.320883,36.845935
12,Ariana,أريانة,المكتبة الجهويّة باريانة,23 شارع الاستقلال برج البكوش 2080,2080,سنية الحنشي,71709699,media.culture@email.ati.tn,10.199415,36.85924
42,Kassérine,القصرين,المكتبة الجهوبة بالقصرين,طريق فريانة,1200,فتحية بناني,77476450,fathiabennani94@gmail .com,8.838593,35.153929
41,Kairouan,القيروان,المكتبة الجهوية بالقيروان,شارع بيت الحكمة القيروان,3100,سعيد القليعي,77234265,b.kairouan@yahoo.com,10.0948961,35.6660978
23,Le Kef,الكاف,المكتبة الجهوبة بالكاف,نهج أحمد عمارة الكاف,7100,زينب المزي,78227636,bibliokef@gmail.com,8.706208,36.176177
32,Monastir,المنستير,المكتبة الجهوية المنستير,شارع الطيب المهيري,5000,نعيمة خليفة,73461693,Khalifanaima18@gmail.com,10.826023,35.765343
21,Béja,باجة,المكتبة الجهوية باجة,نهج عقبة بن نافع باجة,9000,جليلة البوزيدي,78456713,bouzidijalilepkorbi@yahoo.fr,9.1865943,36.721166
13,Ben Arous,بن عروس,المكتبة الجهوية بن عروس,شارع الهادي جنان بن عروس,2013,فتحية شعبان,71389710,Fathia_chaabane@yahoo.fr,10.219845,36.751739
17,Bizerte,بنزرت,المكتبة الجهوية ببنزرت,شارع الحبيب بورقيبة - بنزرت,7000,صبيحة بن جمعة,72431299,bibregbizerte@gmail.com,9.872112,37.279146
62,Tozeur,توزر,المكتبة الجهوية توزر,حي الرمال توزر,2200,معالي الشتوي,76452157,tozeurbib@gmail.com,8.131222,33.933349
33,Mahdia,المهدية,المكتبة الجهوية بالمهدية,شارع علي البلهوان,5100,هالة الغراد,73695752,hala_gharred@yahoo.com,11.064751,35.501561
22,Jendouba,جندوبة,المكتبة الجهوية بجندوبة,شارع الحبيب بورقيبة جندوبة,8100,هاجر بلدي,78606833,beldihajer1980@gmail.com,8.782874,36.498183
16,Zaghouan,زغوان,المكتبة الجهوية بزغوان,شارع الاستقلال- زغوان  ص/ب 34,1100,فاطمة الصخري,72680909,sakhrisakhri@gmail.com,10.150231,36.398444
24,Siliana,سليانة,المكتبة الجهوية بسليانة,حي النور سليانة,6100,هيام الدنداني,78871841,dhouyem@gmail.com,9.374948,36.088553
43,Sidi Bou Zid,سيدي بوزيد,المكتبة الجهوية بسيدي بوزيد,شارع محمد الخامس,9100,سامي ابراهمي,76634657,bib.reg.sbz1@gmail.com,9.4838392,35.0353425
34,Sfax,صفاقس,المكتبة الجهوية بصفاقس,نهج الحبيب عاشور صفاقس,3000,مليكة شعبان,74228712,bib.sfax@gmail.com,10.7603177,34.7306353
51,Gabès,قابس,المكتبة الجهوية بقابس,فضاء الفرجاني منجة,6001,موسى الجمني,75275420,bibrgab@gmail.com,10.102197,33.881321
63,Kebili,قبلي,المكتبة الجهوية بقبلي,طريق توزر قبلي,4200,مختار بن محمد,75493315,brkebili@mac.gov.tn,8.57364,33.42212
61,Gafsa,قفصة,المكتبة الجهوية قفصة,شارع القاهرة قفصة,2100,حياة حيدر,76221677,brgafsa@gmail.com,8.782956,34.422460
14,Manubah,منوبة,المكتبة الجهوية منوبة,14 نهج خير الدين باشا,2010,ايناس الحكيمي,,hkimi-ines@yahoo.fr,10.091308,36.810393
15,Nabeul,نابل,المكتبة الجهوية بنابل,شارع 18 جانفي  1938  نابل,8000,محمد بن سالم,72271113,bib.reg.nabeul@gmail.com,10.737977,36.4495416
31,Sousse,سوسة,المكتبة الجهوية سوسة,شارع الطاهر صفر سوسة,4000,نعيمة رحموني,73220666,bib.r.sousse@gmail.com,10.635231,35.826691
52,Médenine,مدنين,المكتبة الجهوية بمدنين,نهج الرازي,4100,يامنة الدخلي,75601774,dakhli.yamna@gmail.com,10.490212,33.338053
53,Tataouine,تطاوين,المكتبة الجهوية تطاوين,شارع الهادي شاكر تطاوين,3200,إيمان زنزانة,75862288,Zanzanaimen1989@gmail.com,10.445708,32.926831
