الإدارة;الهاتف;"البريد الإلكتروني"
"مكتب العلاقات مع المواطن";"1874أو  71.802.508";brc@mehat.gov.tn
"الإدارة العامة للتخطيط والتعاون وتكوين الإطارات";71.846.489;dgpcfc@mehat.gov.tn
"الإدارة العامة للمصالح الجوية والبحرية";71.792.115;dgsam@mehat.gov.tn
"إدارة التعمير";71.843.452;du@mehat.gov.tn
"مكتب الضبط المركزي";71.842.244;boc@mehat.gov.tn
"إدارة البحث والتنظيم والإعلامية";71.802.603;droi@mehat.gov.tn
"الإدارة العامة للبنايات المدنية";71.843.956;dgbc@mehat.gov.tn
"الإدارة العامة للإسكان";71.840.036;dgh@mehat.gov.tn
"المكتب الصحفي";71.791.244;presse@mehat.gov.tn
"الإدارة العامة للتنسيق بين الإدارات الجهوية";71.798.139;dgcar@mehat.gov.tn
"الإدارة العامة للشؤون العقارية والقانونية والنزاعات";71.784.880;dgafjc@mehat.gov.tn
"الإدارة العامة للجسور والطرقات";71.802.481;dgpc@mehat.gov.tn
"الإدارة العامة للتهيئة الترابية";71.892.002;dgat@mehat.gov.tn
"التفقدية العامة";71.802.775;ig@mehat.gov.tn
"الإدارة العامة للمصالح المشتركة";71.801.795;dgsc@mehat.gov.tn
"إدارة المياه العمرانية";71.840.075;dhu@mehat.gov.tn
