التاريخ ,الفضاء,الدورة,المهرجان 
من 13 إلى 21 أوت 2023,المعهد الثانوي 2 مارس 1934 بسليانة ,46,المهرجان الدولي بسليانة
من 20 إلى 28 أوت 2023,الموقع الأثري بمكثر,51,المهرجان الدولي بمكتريس
من 16 إلى 26 أوت 2023,مسرح الهواء الطلق ببرقو,27,المهرجان الصيفي ببرقو
من 29 جويلية إلى 11 أوت 2023,المدرسة الإعدادية بالكريب,35,مهرجان السنابل الذهبية بالكريب
من 11 إلى 17 أوت 2023,فضاء دار الثقافة الروحية,29,المهرجان الصيفي بالروحية 
من 15 إلى 22 أوت 2023,المدرسة الابتدائية 2 مارس 1934 بسيدي بورويس,46,المهرجان الصيفي بسيدي بورويس
من 27 إلى 31 جويلية 2023,ساحة عامة بسيدي حمادة ,35,المهرجان الصيفي بسيدي حمادة 
من   27 جويلية إلى 2 أوت 2023,المعهد الثانوي ببوعرادة ,31,المهرجان الصيفي ببوعرادة
من 13 إلى 18 أوت 2023,معهد ابن سينا بالعروسة,24,المهرجان الصيفي بالعروسة
من 7 إلى 10 أوت 2023,ساحة الفنون كسرى ,,الأيام الثقافية بكسرى
من 20 إلى 23 أوت 2023,مسرح الهواء الطلق,,نسمات صيفية بقعفور
