Nom-du-film,Type-du film,Production,Date-de-la-convention,Subvention
On est bien comme ça,روائي قصير,Cinetelefilm,21/01/2016,6000000
Bolbol ,روائي قصير,Cercina Film,09/02/2016,8000000
Black Mamba,روائي قصير,Atlas Vision,29/02/2016,7000000
Hair sa vie,روائي  طويل,Cinetelefilm,02/03/2016,50000000
صاحب الحمار,روائي  طويل,الفيلم الجديد,16/03/2016,40000000
Les Occupants ,روائي قصير,بابريكا فيلم,21/03/2016,8000000
Mustapha Z,روائي  طويل,SSW,07/04/2016,40000000
ولد الحرام,"مساعدة  على اعادةكتابة روائي
 طويل",Justina Films,12/04/2016,4000000
Nous l'avons tant aimé,مساعدة على انهاء رواىي طويل,Perspectives,15/04/2016,6000000
شط السالم,مساعدة  على انهاءرواىي طويل,سينارجي للإنتاج,18/04/2016,10000000
Apnée ,روائي قصير,Clandestino,25/04/2016,6000000
L'amour des hommes,روائي  طويل,Cinetelefilm,27/04/2016,50000000
استغراب,روائي قصير,Key Production ,04/05/2016,5000000
رعب,روائي قصير,ستراتوس فيلم,09/05/2016,5000000
Fares il est ou ton cheval,روائي قصير,Audimage ,20/05/2016,5200000
Le livre magique ,روائي قصير,Carapace,06/03/2016,7000000
ياالله ,مساعدة  على اعادةكتابة روائي  طويل,Les films de la mouette ,07/06/2016,4000000
Astra,روائي قصير,نوماديس,08/06/2016,7000000
Noce des cendres ,روائي قصير,CTV,08/06/2016,7000000
أربعون يوما من الحب,مساعدة  على اعادةكتابة روائي  طويل,أيا كان,28/06/2016,"3000000
"
La rumeur de l'eau,روائي  طويل,Tanit production,29/06/2016,50000000
Aux bras des ombres,روائي قصير,Street Production,01/08/2016,"6000000
"
الجايدة,روائي  طويل,InterMedia Produ,30/08/2016,54000000
Briska,روائي قصير,Propaganda,01/09/2016,8000000
Jadis Kerkeouene,روائي قصير,Mandarine,22/09/2016,800000
Vent du Nord,روائي  طويل,Propaganda,03/10/2016,50000000
Deux mariages et une révolution,روائي  طويل,Long et court,05/10/2016,50000000
Sur la transversale,وثائقي طويل ,نوماديس ,14/11/2016,14000000
Le premier pêché,مساعدة  على اعادةكتابة ,Play production ,28/04/2017,2000000
العلويون قرن وثلاثون ,وثائقي طويل ,العقاد للإنتاج ,28/04/2017,10000000
ذاكرة تشكيلية ,وثائقي طويل,قنطاوي فيلم ,10/05/2017,3500000
منامة عتارس,مساعدة  على اعادةكتابة ,ديونيزوس ,15/05/2017,1500000
قدحة ببي بلوز ,روائي  طويل,لوميار فيلم ,18/05/2017,48000000
 ﻛﺴﺎر الحجارة ,وثائقي طويل,اميلكار فيلم ,20/06/2017,6000000
نوار عشية ,روائي  طويل,  سرسينا فيلم,28/06/2017,40000000
Le trésor  argentique ,وثائقي طويل,Objectif,17/07/2017,12000000
Il était une fois,روائي قصير,"A,Z,A",03/08/2017,8500000
Le cadeau ,روائي قصير,مشموم للنشر ,03/08/2017,6000000
جنازات جنازات ,روائي قصير,No Pasaran ,03/08/2017,5500000
مفرد في صيغة الجمع ,وثائقي طويل,ارتوس للإنتاج,03/08/2017,6000000
اسرار عائلة السلطاني ,روائي  طويل,بوليموفي ,07/08/2017,40000000
Weldi,روائي  طويل,Nomadis ,10/08/2017,40000000
فوزي والمسطاوي ,روائي  طويل,ديجيرو,21/08/2017,47000000
Retina ,روائي  طويل,Propaganda,22/08/2017,50000000
بوراشكة ,روائي  طويل,Cinetelefilm,22/08/2017,50000000
خالتي بهيجة ,روائي قصير,MadBox,22/08/2017,5500000
سوبيا ,وثائقي طويل,ديونيزوس,22/08/2017,7000000
فتوى,روائي  طويل,فنون التوزيع,07/09/2017,50000000
رحلة الوجدان,روائي  طويل,West Side Movies,18/01/2018,20000000
المشهور الدغباجي,روائي  طويل,Tunisia Films,09/03/2018,40000000
J'ai vu qq au cinéma,روائي قصير,Intage Production,14/03/2018,5000000
Une femme ,مساعدة  على اعادةكتابة,Polimovie,15/03/2018,3000000
La zone ,مساعدة  على اعادةكتابة,Zone Art Films,15/03/2018,3000000
Le Jallaz,وثائقي قصير ,Audimage ,22/03/2018,8000000
Le Mirage,روائي قصير,Audimag,22/03/2018,8000000
تموت عليه,روائي قصير,Godolphin Films,04/04/2018,8000000
El Medestansi ,وثائقي طويل,Hania Production,19/04/2018,10000000
Terra Natale ,مساعدة  على اعادةكتابة,ستراتوس فيلم ,03/05/2018,3000000
جبل الجلود,وثائقي قصير , Ulysson,03/05/2018,5000000
181 Degrés,مساعدة  على اعادةكتابة,SSW,09/05/2018,3000000
المجيرة والري,روائي قصير,Folk Stories,11/06/2018,6000000
طلامس,روائي  طويل,Exit Production,11/06/2018,45000000
شجرة المساء ,روائي  طويل,ضفاف للإنتاج,16/07/2018,55000000
Un fils,روائي  طويل,Cinetelefilm,19/07/2018,45000000
Noura,روائي  طويل,Propaganda,11/10/2018,40000000
