Année,Titre du film,Genre du film,Socieeté de production,Realisateur,Montant de la subvention,Nombre des tranches,Montant total des tranches
2020,Insurrection,long métrage de fiction,jsp + Madbox,Jilani Saadi ," 400,000.00 ", tranche 1+2+3," 360,000.00 "
2020,Entre 2,long métrage de fiction,Leyth prod,Nada Mezni Hafaiedh," 400,000.00 ", tranche 1+2+3," 360,000.00 "
2020,أحلام الجبل,long métrage documentaire,Siqa ,Abdallah Yahya ," 110,000.00 ",tranche 1+2," 55,000.00 "
2020,La guêpe et l'orchidée,long métrage documentaire,Madbox,Saber Zamouri.," 110,000.00 ",tranche1+2+3,"99,000.000"
2020,أعطيني حقي ,long métrage documentaire,Final Cut Production,Hedia Ben Aicha," 80,000.00 ",tranche1+2+3,"64,000.000"
2020,13,court métrage de fiction,propaganda,Kays Mejri," 60,000.00 ",tranche 1+2+3," 60,000.00 "
2020,Comme les garçons,court métrage de fiction,Atlas Vision,Amel kalati," 70,000.00 ",tranche 1+2+3," 70,000.00 "
2020,Matrice,court métrage de fiction,Audimage,Faten Jaziri," 70,000.00 ",tranche 1+2+3," 70,000.00 "
2020,Les yeux du cœur,court métrage de fiction,Clandestino,Insaf Aara," 60,000.00 ",tranche1+2+3," 60,000.00 "
2020,Avion en papier,court métrage de fiction,Ennour ciné tv,Mourad Kalai," 60,000.00 ",tranche 1+2+3," 60,000.00 "
2020,ADN,court métrage de fiction,Stratus Films,Naoufel Saheb Ettabaa," 70,000.00 ",tranche1,"35,000.000"
2020,Success Story,court métrage de fiction,Instinct Bleu,Rami Jarboui ," 50,000.00 ",Tranche 1+2," 50,000.00 "
2020,ثلاثة حكايات ونصف,court métrage de fiction,2MT,Mustapha Taieb," 70,000.00 ",tranche 1+2,"63,000.000"
2020,المحاكمة,court métrage de fiction,Kantaoui Films,Kamel Ben Ouanès," 70,000.00 ",tranche1,"35,000.000"
2020,حدود,aide à l'écriture, Inside production,Alaa Eddine Bentaleb," 15,000.00 ",tranche 1+2+3," 15,000.00 "
2020,خمسة وخميس,aide à l'écriture,Amilccar ,Sonia Chamkhi," 30,000.00 ",tranche 1+2+3,"30,000.000"
2020,حرة / باب الخضرا,aide à l'écriture,Play prod,Tarek Khalladi," 30,000.00 ",Tranche1+2+3,"30,000.000"
