Annee 2021,Titre du film,Genre du filmlm,Societe de production,Realisateur,Montant de la subvention,Nombre des tranches,Montant total des tranches
2021,La Zone,long métrage de fiction,Zone art, Lassaad Dkhili ," 400,000.00 ",tranche 1+2+3,"200,000.000"
2021,Je m'appelle Clara,long métrage de fiction,Synergy,Sarra Abidi," 400,000.00 ",tranche1," 400,000.00 "
2021,Dans le vide je flotte,long métrage de fiction,Nomadis,Mohamed Ben Attia," 400,000.00 ",tranche1+2,"200,000.000"
2021,فولاذ,long métrage documentaire,YOL HOUSE,Abdallah Chamekh ," 110,000.00 ",tranche1,"11,000.000"
2021,les filles d'Olfa,long métrage documentaire,Cinétéléfilms,Kaouther Ben Hania," 180,000.00 ",tranche1+2,"162,000.000"
2021,Les Filles fortes,court métrage de fiction,YOL HOUSE,Inès Arsi," 60,000.00 ",tranche1+2,"54,000.000"
2021,Aucun numéro,court métrage de fiction,Leyth prod,Hiba dhaouadi," 60,000.00 ",tranche1+2,"30,000.000"
2021,Frida,court métrage de fiction,Amilcar ,Mohamed Bouhjar," 75,000.00 ",tranche 1+2+3,"75,000.000"
2021,حطام,court métrage de fiction,تاكفاريناس,Wassim Korbi," 45,000.00 ",tranche1,"22,500.000"
2021,Connexion,court métrage de fiction,Synergy,karim yaakoubi," 45,000.00 ",tranche 1+2+3,"45,000.000"
2021,Loading,court métrage de fiction,Lumières Films,Anis Lassoued," 60,000.00 ",tranche 1,"30,000.000"
2021,Kendila,court métrage de fiction,Key prod,Nadia Raies," 80,000.00 ",tranche 1+2,"40,000.000"
2021,الخروبة,court métrage de fiction,klil production,Imed Methnani ," 50,000.00 ",tranche1,"25,000.000"
2021,Dans le silence,court métrage de fiction,Absolute Dream,Karim Hammouda ," 70,000.00 ",tranche1,"35,000.000"
2021,les tournesols de la lune,Aide à l'écriture,Utopia Film,Mohamed Ismail Laouti," 25,000.00 ",tranche1,"17,500.000"
2021,Hannibal vue par les Carthaginois,Aide à l'écriture,CTV,Mohamed Damak,30000.000,tranche1,"9,000.000"
