Numéro;COD_GOUV;LIB_GOUV;cod_hc;lib_hop;adresse;tel;fax
5;32;JENDOUBA;"hc_AIN DRAHAM";"HOPITAL DE AIN DRAHAM";"AIN DRAHAM";":(216.8) 655 047";":(216.8) 655 148"
9;23;BIZERTE;hc_s;"HOPITAL DE SEJNANE";"Route de Mateur";"(216) (72) 469 107";"(216) (72)"
26;32;JENDOUBA;hc_FERNANA;"HOPITAL DE FERNANA";Fernana.;"(216.08) 641 012";(216.08)
30;31;BEJA;hc_GUEBELLAT;"HOPITAL DE GUEBELLAT";Guebellat.;"(216.08) 457 635";(216.08)
35;21;NABEUL;hc_HAOUARIA;"HOPITAL DE HAOUARIA";"Rue du Festival - El HAOUARIA - 8045";"(216.72) 297 054";(216.72)
39;21;NABEUL;hc_SOLIMAN;"HOPITAL DE SOLIMAN";"Avenue de la République - SOLIMAN - 8020";"(216.72) 290 255";"(216.72) 290 795"
43;33;KEF;"hc_SAKIET SIDI YOUSSEF";"HOPITAL DE SAKIET SIDI YOUSSEF";"SAKIET SIDI YOUSSEF";":(216.78) 288 250";"(216.78) 280 211"
44;33;KEF;hc_TAJEROUINE;"HOPITAL DE TAJEROUINE";"Avenue Habib BOURGUIBA - TAJEROUINE - 7150";":(216.78) 287 260";"(216.78) 287 260"
48;34;SELIANA;hc_GAAFOUR;"HOPITAL DE GAAFOUR";GAAFOUR;"(216.78) 897 010";"(216.78)897 358"
52;34;SELIANA;hc_ROUHIA;"HOPITAL DE ROUHIA";"ROUHIA - 6150";"(216.78) 871 069";(216.78)
57;41;KARAOUAN;"hc_HAJEB EL AYOUN";"HOPITAL DE HAJEB EL AYOUN";"HAJEB EL AYOUN";"(216.77) 257 004";"(216.77) 257 004"
61;42;KASSERINE;hc_FERIANA;"HOPITAL DE FERIANA";"Avenue Habib BOURGUIBA - FERIANA";"(216.77) 485 335";"(216.77) 485 011"
66;51;SOUSSE;"hc_ENFIDHA VILLE";"HOPITAL D'ENFIDHA VILLE";"Route de Zaghouan  - ENFIDHA - 4030";"(216.73) 250 113";"(216.73) 250 407"
70;51;SOUSSE;hc_BOUFICHA;"HOPITAL DE BOUFICHA";;(216.73);(216.73)
75;52;MONASTIR;hc_OUERDANINE;"HOPITAL DE OUARDANINE";"Avenue Hassen Abdelaziz - OUARDANINE - 5010";"(2167.73) 465455";(216.73)465455
79;53;MAHDIA;hc_CHEBBA;"HOPITAL DE CHEBBA";"Avenue Hedi CHAKER - CHEBBA - 5170";"(216.73) 683 522";"(216.73) 683 522"
83;53;MAHDIA;"hc_KSOUR ESSAF";"HOPITAL DE KSOUR ESSAF";"Route Salakta - KSOUR ESSEF";"(216.73) 684 520";"(216.73) 684 520"
84;53;MAHDIA;hc_MELLOULECH;"HOPITAL DE MELLOULECH";"MELLOULECH - 5114";"(216.73) 683 522";"(216.73) 683 522"
88;53;MAHDIA;hc_BOUMERDES;"HOPITAL DE BOUMERDES";;(216.73);(216.73)
95;61;SFAX;hc_SKHIRA;"HOPITAL DE SKHIRA";;;
100;71;GAFSA;hc_MDHILLA;"HOPITAL DE M’DHILLA";"M'dhilla 2170";"(216 76) 266 250";"(216 76) 266 326"
104;72;TOZEUR;hc_DEGACHE;"HOPITAL DE DEGACHE";Degache;"(216 76)  420 029";"(216 76)  420 226"
109;43;"SIDI BOUZID";hc_regueb;"HOPITAL DE REGUEB";"Regueb 9170";"(216 76) 640 008";"(216 76) 668 079"
113;43;"SIDI BOUZID";hc_mazzouna;"HOPITAL DE MAZZOUNA";"Route Reguen Mazzouna";"(216 76) 668 433";"(216 76) 668 079"
119;73;KEBILI;"hc_souk el ahad";"HOPITAL DE SOUK EL AHAD";;;
123;82;MEDENINE;"hc_sidi makhlouf";"HOPITAL DE SIDI MAKHLOUF";;;
3;14;MANOUBA;hc_t;"HOPITAL TEBOURBA";"Rue Habib THAMEUR 1130 TEBOURBA";"(216) (71) 530 066";"(216) (71) 530 066"
8;23;BIZERTE;hc_rj;"HOPITAL HASSEN BELKHOUJA DE RAS JEBEL";"RAS JEBEL";"216) (72) 449 299";"(216) (72)447 121"
25;32;JENDOUBA;"hc_BOU SALEM";"HOPITAL  DE BOU SALEM";"Rue Ibn SINA - BOU SALEM";"(216.08) 639 109";(216.08)
29;31;BEJA;hc_AMDOUNE;"HOPITAL DE AMDOUNE";Amdoune.;"(216.08) 469 012";(216.08)
33;31;BEJA;hc_TESTOUR;"HOPITAL DE TESTOUR";"Place de l'hôpital, TESTOUR";"(216.8) 468 010";(216.08)
34;21;NABEUL;hc_GROMBALIA;"HOPITAL DE GROMBALIA";"Avenue Farhat HACHED - GROMBALIA";"(216.72) 255 212";(216.72)
38;21;NABEUL;hc_KORBA;"HOPITAL DE KORBA";"Rue CHEBBI - KORBA - 8070";"(216.72) 384 275";"(216.72) 384 275"
42;33;KEF;hc_KSOUR;"HOPITAL D'EL KSOUR";"Rue du Président - El KSOUR - 7160";":(216.78) 285 100";"(216.78) 285 362"
47;34;SELIANA;"hc_SIDI BOUROUIS";"HOPITAL DE SIDI BOUROUIS";"Rue 7 Novembre 1987 - SIDI BOUROUIS - 611";"(216.78) 898 153";(216.78)
51;34;SELIANA;hc_MAKTHAR;"HOPITAL DE MAKTHAR";"MAKTHAR - 6140";"(216.78) 876 150";"(216.78)876 150"
56;41;KARAOUAN;hc_HAFFOUZ;"HOPITAL DE HAFFOUZ";"10, rue de la république - HAFFOUZ - 3130";"(216.77) 260 024";"(216.77) 260 024"
60;41;KARAOUAN;hc_SBIKHA;"HOPITAL DE SBIKHA";SBIKHA;"(216.77) 252 014";(216.77)
65;42;KASSERINE;hc_FOUSSANA;"HOPITAL DE FOUSSANA";;(216.77);(216.77)
69;51;SOUSSE;"hc_SIDI BOUALI";"HOPITAL DE SIDI BOUALI";"Avenue de la République - SIDI BOUALI - 4040";"(216.73) 247 130";"(216.73) 247 411"
73;52;MONASTIR;hc_JEMMAL;"HOPITAL DE JEMMAL";"Route de Zeramdine - JEMMAL - 5020";"(2167.73) 486 066";"(216.73) 486 016"
74;52;MONASTIR;"hc_KSIBET EL MEDIOUNI";"HOPITAL DE KSIBET EL MEDIOUNI";"KSIBET EL MEDIOUNI";"(2167.73) 469 568";(216.73)
78;52;MONASTIR;hc_ZERAMDINE;"HOPITAL DE ZERAMDINE";"Route de Jemmal - ZERAMDINE - 5040";"(2167.73) 486 066";"(216.73)486 016"
82;53;MAHDIA;hc_HBIRA;"HOPITAL DE HBIRA";"HBIRA - 5113";"(216.73) 609 016";(216.73)
87;53;MAHDIA;hc_SOUASSI;"HOPITAL DE SOUASSI";"Rue Ibn El JAZZAR - SOUASSI - 5140";"(216.73) 697 015";"(216.73) 697 205"
91;52;MONASTIR;hc_BEMBLA;"HOPITAL DE BEMBLA";"Route de jammel 5021 bembla";"(216.73) 478 284";(216.73)
99;71;GAFSA;"hc_EL GUETAR";"HOPITAL DE EL GUETAR";"Avenu de L'environnement El Guetar 2180";"(216 76) 285 013";"(216 76) 286 292"
103;72;TOZEUR;hc_NEFTA;"HOPITAL DE NEFTA";"Place de l'independance Nafta";"(216 76) 430 193";"(216 76)  430 270"
108;43;"SIDI BOUZID";hc_jelma;"HOPITAL DE JELMA";"Jelma 9110";"(216 76) 657 070";"(216 76) 657 356"
112;43;"SIDI BOUZID";hc_meknassy;"HOPITAL DE MEKNASSY";"Rue  Med Ali Aloui Maknassy";"(216 76) 645 230";"(216 76) 645 013"
116;81;GABES;hc_mareth;"HOPITAL DE MARETH";"Av, 27 octobre Mareth";"(216 75) 321 160";"(216 75) 321 192"
118;73;KEBILI;hc_douz;"HOPITAL DE DOUZ";;;
122;82;MEDENINE;"hc_beni khedache";"HOPITAL DE BENI KHEDECHE";;;
126;51;SOUSSE;"hc_kalaa sghira";"HOPITAL DE KALAA SGHIRA";"RUE IBN AL JAZZAR  KALAA SGHIRA";"73 249 411";"73 249 830"
128;81;GABES;hc_ELHAMMA;"HOPITAL EL HAMMA";"Route de Gabes El Hamma";"(216 75) 331 140";"(216 75) 330 233"
2;12;ARIANA;hc_dh;"HOPITAL  ETTADHAMEN";"Daouar Hicher";"(216) (71)  520 880";"(216) (71)"
7;23;BIZERTE;hc_m;"HOPITAL DE MATEUR";"Route de Tabarka - MATEUR";"216) (72) 465 277";"(216) (72)465 277"
11;22;ZAGHOUAN;hc_FAHS;"HOPITAL DU FAHS";"10, rue de Tunis - FAHS - 1140";"(216.72) 670 480";"(216.72) 670 302"
12;22;ZAGHOUAN;hc_ENNADHOUR;"HOPITAL ENNADHOUR";"Circonscription Ennadhour, ZAGHOUAN";"(216.72) 678 513";"(216.72) 678 513"
28;32;JENDOUBA;hc_TABARKA;"HOPITAL DE TABARKA";"TABARKA - 8110 
- 8160";"(216.08) 643 653";"(216.08)671  865"
32;31;BEJA;hc_TEBOURSOUK;"HOPITAL DE TEBOURSOUK";Teboursouk.;"(216.08) 465 355";(216.08)
37;21;NABEUL;"hc_MENZEL BOUZELFA";"HOPITAL FATTOUMA LIMAM MENZEL BOUZELFA";"Rue Mongi Slim - MENZEL BOUZELFA - 8010";"(216.72) 292 091";"(216.72) 292 593"
41;33;KEF;hc_DAHMANI;"HOPITAL DE DAHMANI";"Rue Sidi Mansour - DAHMANI - 7170";":(216.78) 280 211";"(216.78) 280 211"
46;34;SELIANA;hc_BOUARADA;"HOPITAL DE BOUARADA";BOUARADA;"(216.78) 897 010";"(216.78)897 358"
50;34;SELIANA;hc_KESRA;"HOPITAL DE KESRA";"KESRA - 6114";"(216.78) 871 396";(216.78)
55;41;KARAOUAN;"hc_EL ALA";"HOPITAL D'EL ALA";"Rue 7 Novembre 1987 - EL ALA";"(216.77) 255 145";"(216.77) 255 145"
59;41;KARAOUAN;hc_OUESLATIA;"HOPITAL DE OUESLATIA";"Rue 3 Aout Oueslatia";"(216.77) 255 145";"(216.77) 255 145"
63;42;KASSERINE;hc_SBIBA;"HOPITAL DE SBIBA";SBIBA.;"(216.77) 488 009";(216.77)
64;42;KASSERINE;hc_THALA;"HOPITAL DE THALA";"Avenue Habib BOURGUIBA - THALA";"(216.77) 480 022";"(216.77) 480 363"
68;51;SOUSSE;"hc_KALAA KEBIRA";"HOPITAL KALAA KEBIRA";"Kalaa Kébira, Sousse.";"(216.73) 236 133";(216.73)
72;52;MONASTIR;hc_BOUHJAR;"HOPITAL DE BOUHJAR";BOUHJAR;"(2167.73) 472 892";"(216.73)472 892"
77;52;MONASTIR;hc_TEBOULBA;"HOPITAL TEBOULBA";"Avenue Farhat HACHED -  TEBOULBA - 5080";"(2167.73) 479444";(216.73)
81;53;MAHDIA;"hc_EL JEM";"HOPITAL DE D'EL JEM";"EL JEM - 5160";"(216.73) 690 156";"(216.73) 690 156"
86;53;MAHDIA;"hc_SIDI ALOUANE";"HOPITAL DE SIDI ALOUANE";"Avenue  Habib BOURGUIBA - SIDI ALOUANE";"(216.73) 684 520";"(216.73) 684 520"
90;42;KASSERINE;"hc_MAJEL BELABBES";"HOPITAL DE MAJEL BELABBES";;(216.77);(216.77)
98;71;GAFSA;hc_SENED;"HOPITAL DE SENED";SNED;"(216 76) 290 044";"(216 76) 290 131"
102;71;GAFSA;hc_REDEYFE;"HOPITAL DE REDEYFE";Redeyfe;"(216 76)  260 801 250 011";"(216 76)  252 110"
106;72;TOZEUR;hc_TAMEGHZA;"HOPITAL DE TAMEGHZA";Tameghza;"(216 76)  485 376";"(216 76) 485 376"
107;43;"SIDI BOUZID";"hc_OULED HAFFOUZ";"HOPITAL DE OULED HAFFOUZ";"OULED HAFFOUZ";"(216 76) 678 119";"(216 76) 678 210"
111;43;"SIDI BOUZID";"hc_menzel bouzaiene";"HOPITAL DE  MENZEL BOUZAIENE";"Cité Houcine Bouraienne Menzel bouzaienne";"(216 76) 672 054";"(216 76)"
115;81;GABES;hc_ouedhref;"HOPITAL DE OUEDHREF";"Cité Ezdihar 6052";"(216 75) 365 388";"(216 75) 365 388"
117;81;GABES;hc_matmata;"HOPITAL DE MATMATA";"Av,habib Bourguiba route beni zolten Matmata nouvelle";"(216 75) 230 503";"(216 75) 230 866"
121;82;MEDENINE;hc_midoun;"HOPITAL DE MIDOUN";;;
125;83;TATAOUINE;hc_remada;"HOPITAL  DE REMADA";;;
6;23;BIZERTE;hc_e;"HOPITAL  EL ALIA";"Rue Docteur MATRI - 7016 EL ALIA";"(216) (72) 442 788";"(216) (72) 442 788"
10;21;NABEUL;"hc_BENI KHALLED";"HOPITAL DE BENI KHALLED";"Avenue 7 Novembre - BENI KHALLED - 8023";"(216.72) 251 804";(216.72)
27;32;JENDOUBA;hc_GHARDIMAOU;"HOPITAL DE GHARDIMAOU";"Rue Habib THAMEUR - GHARDIMAOU - 8160";"(216.08) 660 013";(216.08)
31;31;BEJA;hc_NEFZA;"HOPITAL DE NEFZA";"Avenue Habib BOURGUIBA NEFZA";"(216.08) 470 259";"(216.08) 470 259"
36;21;NABEUL;hc_KELIBIA;"HOPITAL DE KELIBIA";"Avenue Ali BELHAOUENE - KELIBIA - 8059";"216.72) 296 190";"(216.72) 296 268"
40;21;NABEUL;hc_HAMMAMET;"HOPITAL HAMMAMET";"Hôpital Mohamed Tahar Maamouri - Nabeul- 8000";"(216.72) 287 972";"(216.72) 286 180"
45;34;SELIANA;hc_BARGOU;"HOPITAL DE BARGOU";"Route de Tunis -BARGOU";"(216.78) 870 372";(216.78)
49;34;SELIANA;hc_KRIB;"HOPITAL DE KRIB";"Rue de l'Environnement - Le KRIB - 6120";"(216.78)  891 225";"(216.78)891 225"
53;41;KARAOUAN;hc_BOUHAJLA;"HOPITAL DE BOUHAJLA";BOUHAJLA;"(216.77) 260 024";"(216.77) 260 024"
54;41;KARAOUAN;hc_CHEBIKA;"HOPITAL DE CHEBIKA";CHEBIKA;"(216.77) 257 004";"(216.77) 257 004"
58;41;KARAOUAN;hc_NASRALLAH;"HOPITAL DE NASRALLAH";"NASRALLAH - 3170";"(216.77) 260 024";"(216.77) 260 024"
62;42;KASSERINE;hc_SBEITLA;"HOPITAL DE SBEITLA";"SBEITLA - 1250";"(216.77) 465 088";"(216.77) 465 711"
