gov_name_f,gov_name_a,gov_id,name_institut_a,name_institut_f,adresse_a,adresse_f,longitude,lattitude
Tunis,تونس,11,المعهد الوطني للموسيقى و الفنون الشعبية ,,9نهج سيدي صابر، 1000 تونس,,10.172459,36.799038
Tunis,تونس,11,المعهد الوطني للموسيقى تونس,,20شارع باريس، 1000 تونس,,10.180915,36.801531
Ariana,أريانة,12,المركز الوطني للرقص أريانة,,2نهج برج البكوش أريانة,,10.194380,36.857391
Ben Arous,بن عروس,13,رواق الفنون ببن عروس,,ساحة زهير اليحياوي التونسي ببن عروس 2013,,10.219647,36.753880
Ben Arous,بن عروس,13,المعهد الجهوي للموسيقى بن عروس,,نهج أم كلثوم - حمام الأنف -  2050,,10.336577,36.726133
Béja,باجة,21,المعهد الجهوي للموسيقى باجة,,شارع الحبيب بورقيبة – باجة 9000  ,,9.187175,36.725337
Jendouba,جندوبة,22,المعهد الجهوي للموسيقى جندوبة,,8100	 شارع الحبيب بورقيبة جندوبة,,8.786811,36.503237
Sousse,سوسة,31,المركز الثقافي بسوسة,,شارع محمد معروف 4000 سوسة,,10.634284,35.82892
Sousse,سوسة,31,المعهد الجهوي للموسيقى سوسة,,نهج قصر هلال 4002 سوسة,,10.638938,35.832484
Monastir,المنستير,32,المعهد الجهوي للموسيقى المنستير,,شارع الجمهورية 5000,,10.824665,35.773213
Mahdia,المهدية,33,معهد الموسيقى والرقص المهدية,,معهد الموسيقى والرقص المهدية,,11.055527 ,35.507105
Sfax,صفاقس,34,مركز الفنون الدرامية و الركحية,,طريق قرمدة كم 0.5  صفاقس 3000,,10.753247,34.746092
Sfax,صفاقس,34,المعهد الجهوي للموسيقى صفاقس,,شارع محمد الجموسي، 3000 صفاقس,,10.754628,34.729655
Kassérine,القصرين,42,المعهد الجهوي للموسيقى بالقصرين,,شارع 9 أفريل 1200 القصرين ,,8.834334,35.169938
Médenine,مدنين,52,مركز الفون الدرامية والركحية بمدنين,,طريق بنقردان كلم1.5 مدنين4100,,10.503033,33.343819
Tataouine,تطاوين,54,المعهد الجهوي للموسيقى تطاوين,, نهج 2 مارس 1934 تطاوين 3200,,10.447124,32.927744
Tataouine,تطاوين,54,مسرح الهواء الطلق بذهيبة,,مسرح الهواء الطلق بذهيبة-3253,,10.700877,32.010689
Tataouine,تطاوين,54,مركز الفنون الدرامية بتطاوين,,المركب الثقافي بتطاوين شارع احمد التليلي 3200,,10.443664,32.927206
Tataouine,تطاوين,54,رواق الفنون الخاص بشنني ,,رواق الفنون بشنني-3222,,10.262073,32.911457
Gafsa,قفصة,61,مركز الفنون الدرامية و الركحية ,,مركز الفنون الدرامية و الركحية ,,8.794386,34.422367
Gafsa,قفصة,61,المعهد الجهوي للموسيقى قفصة,,المعهد الجهوي للموسيقى قفصة,,8.748102,34.434356
Tozeur,توزر,62,المعهد الجهوي للموسيقى توزر,,شارع أبو القاسم الشابي - أمام قسم الإستعجالي,,8.129500,33.915329
Tozeur,توزر,62,روضة أبو القاسم الشابي توزر,,شارع أبو القاسم الشابي,,8.128748,33.914180
Tozeur,توزر,62,روضة مصطفى خريف نفطة,,البيـّـاضة – نفطـة,,7.876238,33.872956
Kebili,قبلي,63,المركز الجهوي للفنون الدرامية و الركحية بقبلي,,بجانب جامع النور 4200 قبلي,,8.58004,33.425633
Kebili,قبلي,63,المعهد الجهوي للموسيقى بقبلي,,طريق قابس 4200 قبلي,,8.582301,33.424460
