Date_transfert,Transfere_de,Transfere_ a,Nombre_oeuvres,Evenement
05/09/2017,مخازن الرصيد الوطني بقصر السعيد,دار الكتب الوطنية,50,إنقاذ الرصيد
05/02/2018,مخازن الرصيد الوطني  بقصر السعيد,دار الكتب الوطنية,1005,إنقاذ الرصيد
14/03/2018,مخازن الرصيد الوطني بقصر السعيد,المتحف الوطني للفن الحديث والمعاصر,5,تأثيث معرض حداثة تونسية
14/03/2018,مخازن الرصيد الوطني بقصر السعيد,المتحف الوطني للفن الحديث والمعاصر,70,تأثيث معرض نحتي و منحوت
16/03/2018,مخازن الرصيد الوطني بقصر السعيد,المتحف الوطني للفن الحديث والمعاصر,4,ملحق لمعرض نحتي و منحوت
16/03/2018,مخازن الرصيد الوطني بقصر السعيد,مدينة الثقافة,10,تزويق الجناح الرئاسي للمدينة
11/06/2018,مخازن الرصيد الوطني بقصر السعيد,دار الكتب الوطنية,196,الاعداد للافتتاح المتحف(اللجنة المختصة في فرز الأعمال لسامي بنعامر)
14/09/2018,مخازن الرصيد الوطني بقصر السعيد,المتحف الوطني للفن الحديث والمعاصر,20,تأثيث جناح رواد الثمانينات في إطارأيام قرطاج للفن الحديث و المعاصر 
14/09/2018,مخازن الرصيد الوطني بقصر السعيد,مدينة الثقافة,28,تأثيث جناح الوزارة في إطار أيام قرطاج للفن الحديث و المعاصر
18/03/2019,مخازن الرصيد الوطني بقصر السعيد,المتحف الوطني للفن الحديث والمعاصر,272,المشاركة في أشغال القمة العربية
27/05/2019,مخازن الرصيد الوطني بقصر السعيد,دار الكتب الوطنية,521,إنقاذ الرصيد
01/07/2019,مخازن الرصيد الوطني بقصر السعيد,المتحف الوطني للفن الحديث والمعاصر,246,إنقاذ الرصيد+ الإعداد لإفتتاح المتحف
15/07/2019,مخازن الرصيد الوطني بقصر السعيد,المتحف الوطني للفن الحديث والمعاصر,302,إنقاذ الرصيد+ الإعداد لإفتتاح المتحف
26/07/2019,مخازن الرصيد الوطني بقصر السعيد,المتحف الوطني للفن الحديث والمعاصر,338,إنقاذ الرصيد+ الإعداد لإفتتاح المتحف
07/08/2019,مخازن الرصيد الوطني بقصر السعيد,المتحف الوطني للفن الحديث والمعاصر,264,إنقاذ الرصيد+ الإعداد لإفتتاح المتحف
22/08/2019,مخازن الرصيد الوطني بقصر السعيد,المتحف الوطني للفن الحديث والمعاصر,289,إنقاذ الرصيد+ الإعداد لإفتتاح المتحف
29/09/2019,مخازن الرصيد الوطني بقصر السعيد,المتحف الوطني للفن الحديث والمعاصر,234,إنقاذ الرصيد+ الإعداد لإفتتاح المتحف
08/11/2019,مخازن الرصيد الوطني بقصر السعيد,المتحف الوطني للفن الحديث والمعاصر,47,إنقاذ الرصيد+ الإعداد لإفتتاح المتحف
07/01/2020,مخازن الرصيد الوطني بقصر السعيد,المتحف الوطني للفن الحديث والمعاصر,17,إنقاذ الرصيد + تأثيث معرض أربعينية علي عيسى
08/05/2020,مخازن الرصيد الوطني بقصر السعيد,المتحف الوطني للفن الحديث والمعاصر,93,إنقاذ الرصيد+ الإعداد للإفتتاح المتحف
10/06/2020,مخازن الرصيد الوطني بقصر السعيد,المتحف الوطني للفن الحديث والمعاصر,44, إنقاذ الرصيد(44 عمل فني) 
