gov_name_f,gov_name_a,gov_id, Projet,Nom-de-l-artiste ,Age-moins-30-ans,Age-plus-que-30-ans,Subvention
Tunis,تونس,11,إنجاز جداريات فسيفسائية مع إقامة ورشة للأطفال و معرض فردي,منى النوري,,1,10000
Tunis,تونس,11,حب,هالة العموص,,1,8000
Tunis,تونس,11,الرسام لسان المدينة,شهلة سومر,,1,5000
Tunis,تونس,11,365,سناء بن براهيم الصنهاجي,,1,7000
Tunis,تونس,11,خوضة على الطريق يوميا,منى الجمل سيالة ,,1,15000
Tunis,تونس,11,تونس حضارة 300 سنة (3D),سمير الفيتوري,,1,7000
Tunis,تونس,11,معرض فني و إصدار كتاب فني ,حبيب بيدة,,1,20000
Tunis,تونس,11,إنجاز معرض الفنون التشكيلية و كتالوغ,محمد الرقيق,,1,4000
Tunis,تونس,11,ذاكرة الحياة,ماهر الطرابلسي,,1,8000
Tunis,تونس,11,"معرض شخصي متنقل ""تملّك""",محمد النعمان قمش,,1,8000
Tunis,تونس,11,"معرض يعنوان"" برّي""",صابر الصحراوي,,1,5000
Manubah,منوبة,14,إنجاز كتاب عن تجربة الفنان محمد الأمين ساسي,محمد الأمين ساسي فنان تشكيلي,,1,20000
Nabeul,نابل,15,"معرض ""إرتحالات""",رياض بن الحاج,,1,7000
Nabeul,نابل,15,"معرض شخصي  ""instalove",درصاف بن شعبان,,1,4000
Nabeul,نابل,15,المعرض المتنقل ( الرسم المنبثق),خالد عبيدة,,1,10000
Bizerte,بنزرت,17,الخيتمين نحو الأفضل,عبير بوغزو,1,,7000
Bizerte,بنزرت,17,la ceramique comme voie d'evolution et d'unité pour la personne en diffuculté : main dans la main,لندة بن الحاج (بنزرت),,1,18000
Le Kef,الكاف,23,تصميم و تنفيذ معلم فني ثقافي بولاية الكاف,عمار بلغيث,,1,20000
Sousse,سوسة,31,معرض للفن التشكيليالحديث photos réalisme,عجمي توتو فنان تشكيلي,1,,3000
Sousse,سوسة,31,"معرض متنقل للفن التشكيلي ""سوسة بين الخيال و المخيال""",الزين الحرباوي فنان تشكيلي (سوسة),,1,10000
Sousse,سوسة,31,"ورشة للنسيج الفني المعاصر "" الثقافة للجميع""",فاطمة بلغيث معتوق,,1,10000
Monastir,المنستير,32,"تزويق قرية ""س و س "" أكودة",رباب الشعيبي,,1,7000
Monastir,المنستير,32,Les Quarante est un regards dans l'Art et passion,محمد سامي بشير ,,1,8000
Sfax,صفاقس,34,"معرض فقردي ""بيترو دينار""",وسام العابد,,1,18000
Sfax,صفاقس,34,المرأة  بين الحاضر و الغائب,فتحي بو زيدة,,1,5000
Sfax,صفاقس,34,البارا - تجسيدية,كمال عبد الله,,1,20000
Kairouan,القيروان,41,معرض شخصي أول,آمنة القهواجي,1,,5000
Kairouan,القيروان,41,جمالية البناءات القديمة و الحديثة من خلال الضوء,شكري الفاسي,,1,1200
Kassérine,القصرين,42,فزاعات وحكايات,زينب الهلالي,,1,15000
Sidi Bou Zid,سيدي بوزيد,43,جسر الصورة,عبد الغني سليمي,,1,8000
Médenine,مدنين,52,"""حكايات صغيرة"" معرض فني متنقل مع ورشة و انتاج شريط صور متحركة",عبد الله أبو العباس,,1,8000
Gafsa,قفصة,61,الحوض المنجمي في قرن من الفوتوغرافيا,محمد علائمي,,1,7500
