Nom-de-projet,Proprietaire-de-projet,Subvention
طبع كتاب حول مسيرة الفنان المنجي معتوق,المنجي  معتوق,16500
"معرض شخصي ""هلال و خطوط""",منير بن موسى,10000
"معرض صور فوتوغرافية ""حرفة و كلمة""",زكرياء الشائبي,25000
جدارية خزفية فسيفسائية,غازي زليلة,10000
L4hyperréalisme,حمدي المزهودي,15000
رحلة فنان 32/20,نبيل بن محمد العابد,10000
"Du village du nord, du village du sud",مروان الطرابلسي,15000
معرض مراد الزارعي للبحث,مراد الزارعي,15000
ورشة في الخط العربي و جداريات,علي لمجد النوري,20000
معرض فنون تشكيلية,رضا غانمي/عمار الطيب/الأخضر بن الطيب,20000
Matière temps,نهلة الوسلاتي,15000
"""الخطيب المحتج""",فاتن الرويسي,20000
"Fantasme ,Art pour tous",نجلاء مطاوع,12000
معرض استيعادي و كاتالوغ,حياة المؤدب القاسمي,15000
معرض Exotification,ليلى الركباني,17000
