Nom-projet,Proprietaire-de-projet,Subvention
منصة الابداع والابتكار في فنون الفرجة,يونس الغول,15000
اhandi capable,حسام الدين الزريبي,10000
قرية مربي الجعل,محرز المشري,10000
قرطاج في القلب,نادر  بلعيد,40000
المهرجون في عالم سبونج بوب,عائدة جابلي,10000
حكاية وقت,رفقة بن محمود,10000
منطق الطر,نوفل العزارة,30000
أسرار,صالح بن حمودة,30000
المندرة,الصحبي عمر,25000
دياقو-لم,سهام مصدق,25000
غول الطريق,أنور العياشي,30000
تاج الملوك والمهرجون,انتصار العيساوي,20000
الرقصة الأخيرة,نجوى ميلاد,30000
مملكة الذهب,محمد حسين المحنوش,30000
سكيزو,محمد رشاد بلحم,13000
دخول الحمام,توفيق البحري,25000
غضب الطبيعة ,جلال الدين الرمضاني,12000
ذكرى زمان,كمال الهلالي,10000
