,,,,,,
إسم المؤسّسة,المعتمديّة,المقرّ الإجتماعي,وكيل المؤسّسة,الهاتف,مجال النشاط,العنوان الإلكتروني
شركة تونس ستيديو,منوبة,منّوبة الوسطى – 2010,محمّد صالح العرقي,,الإنتاج السمعي البصري,tunistudio@gmail.com
"مجلّة الأطفال ""فهيم""",منوبة,المركّب الجامعي منّوبة 2010,هناء الكثيري,,دار نشر كتاب,
Bound B Production,منوبة,عمارة 1 – 30 شارع الحبيب بورقيبة منّوبة,سالم بنعمر,,الإنتاج السمعي البصري,
First  Production,منوبة,مقسم محمودي المنطقة الصناعيّة قصر السعيد – منّوبة,لسعد خضر,,الإنتاج السمعي البصري,
Time Code Prod,منوبة,2 نهج العندليب منّوبة 2010,شهاب عون,,الإنتاج السمعي البصري,
Nouvelle Vision,منوبة,4 نهج  أولاد حفوز منّوبة 2010,,71262707,الإنتاج السمعي البصري,
Salambo Films,منوبة,6 مكرر نهج بن الجزارمنّوبة 2010,,70615023 فاكس 70615924 ,الإنتاج السمعي البصري,
Outside Production Service,منوبة,المنطقة الصناعيّة قصر السعيد منّوبة 2010,,,الإنتاج السمعي البصري,
Carapace Prod,الدندان منوبة,9 نهج تازركةالدندان 2011,ماهر مطير,71609702,الإنتاج السمعي البصري,carapaceprod@gmail.com
شركة الدار الفريدة,الدندان منوبة,7 نهج الإستقلال الدندان– 2011,حنان الجلّولي,,دار نشر كتاب,inedit.house18@gmail.com
مؤسّسة القناع النجم,الدندان منوبة,نهج البساتين الدندان 2011,لمياء الحسني فيصل بالزين ,,مركز ثقافي خاصّ,lemasquestar@yahoo.fr
المركز الثقافي الخاصّ المرناقيّة,المرناقيّة,نهج البيئة المرناقيّة,مهدي المديوني,,مركز ثقافي خاصّ,
دار ميم للنشر والإتّصال,منوبة,32 نهج الزمخشري منّوبة الوسطى – 2010,الصحراوي قمعون,,دار نشر كتاب,gamaoun.sahraoui@gmail.com
المركز الثقافي الخاصّ فنّ كوتش,منوبة,منّوبة الوسطى – 2010,رامي الزناقي,,مركز ثقافي خاصّ,
دار يس للنشر,وادي الليل,3 نهج الجيرانيوم حي العنبر وادي الليل – 2021,أميمة الخديري,,دار نشر كتاب,Contact@DarYassine.tn
شركة بتوا برود,منّوبة,18مكرّر نهج الكفاح – منّوبة 2010,أحلام العرفاوي,,الإنتاج السمعي البصري,
شركة نيولابز,منّوبة,2شارع المغرب العربي الكبير – منّوبة 2010,وسيم الجرايدي,,الإنتاج السمعي البصري,jraidiwassim@gmail.com
شركة الإستحقاقmériteللإنتاج,منّوبة,17نهج سيدي بوزيد – منّوبة 2010,سناء البصلي,,الإنتاج السمعي البصري,
المركز الثقافي الخاصّ fa mi d’art,الجديّدة,03 حيّ الرياض الجديّدة القديمة – 1124,خالد الجويني,,مركز ثقافي خاصّ,yarikh@gmail.com
شركة زاداكس للإنتاج Zxproduction,الدندان منوبة ,14نهج اشبيلية الدندان– 2011,زكريّاء بن ابراهيم,,الإنتاج السمعي البصري,
المؤسسة المغاربيّة للطباعة والمثاقفة والتوثيق,برج العامري,10 نهج مصر حي النزهة برج العامري–1142,فتحي القاسمي,,دار نشر كتاب,kitfmiad@gmail.com
شركة سارة برود  Sarrah Prod,منوبة,عدد 18 مكرّر نهج الكفاح – منّوبة 2010,سارّة مديوني,,الإنتاج السمعي البصري,Mediouni.mac2@gmail.com
المركز الثقافي الخاصّ موسيقار,منوبة,52 شارع ابن أبي الضياف منّوبة الوسطى – منّوبة 2010,وائل البوبكري,,مركز ثقافي خاصّ,Musiquart.ste@gmail.com
