Non_ de _ festivals ,Budget ,Subvention_ ministère ,Subvention _ commissariat ,Subvention _régional ,Subvention _ conseil _ municipal,Subvention _ publicitaire ,Nbr _spectacle _ théâtral ,Mnt _ spectacle _ théâtral ,Nbr_ spectacle _ musicale ,Mnt_spectacle _musicale 
مهرجان نابل الدولي ,324700,80000,25000,8000,25000,18000,2,4700,1,*
مهرجان العنب بقرمبالية ,,20000,12000,0,29000,18000,0,0,1,11500
مهرجان انماء بالمعمورة ,41421,0,0,0,0,5000,1,700,2,15721
مهرجان ليالي سليمان ,80000,0,0,0,25000,15000,0,0,1,10510
المهرجان المغاربي بالوديان ,24000,0,0,0,6000,8000,0,0,1,5000
مهرجان قربص الألوان ,16000,0,0,0,0,3300,0,0,2,8061
مهرجان الشاطئ بقربة ,21000,0,0,0,0,600,0,0,2,7561
مهرجان زاوية الجديدي ,30000,0,3000,0,5000,2900,0,0,1,10000
مهرجان سينما تحت النجوم ,37000,0,6000,0,3000,0,0,0,2,5600
مهرجان الفلفل بمنزل حر ,22500,0,0,0,0,9000,0,0,1,3500
مهرجان أوسو بوكريم بالهوارية ,13550,0,0,0,0,1000,0,0,1,9000
مهرجان الخروبة ,30000,0,0,0,0,500,2,2050,5,27689٫25
مهرجان أدباء الشبان بقليبية ,25000,0,2000,0,10000,0,0,0,0,0
مهرجان الزين الصافي للأغنية الملتزمة ,3500,0,0,0,0,0,0,0,0,0
مهرجان العزف الفردي ,10000,0,0,0,0,0,0,0,0,0
مهرجان الفل و الياسمين بالحمامات ,120000,0,0,0,0,65000,0,0,1,8000
مهرجان صيف المدينة ,80000,0,0,0,0,80000,1,2100,1,6200
مهرجان أحمد بن بوكر للشعر الشعبي و الفروسية بأم ذويل ,16000,0,3000,0,0,8480,1,2200,3,10749
مهرجان الساف بالهوارية ,23500,0,0,0,0,1100,0,0,3,10500
الأيام الثقافية الصيفية بمنزل تميم ,,0,0,0,0,0,0,0,3,9000
