Nom,Montant,Parties-participantes
 المكتبة العمومية  المؤانسة ,59.006, البرنامج الجهيوي للتنمية 
المكتبة العمومية ميدون ,38.802,الوازرة 
ادار الثقافة ميدو ن ,43.25, البرنامج الجهيوي للتنمية  والوازرة 
المكتبة العمومية الرياض ,8.25, البرنامج الجهيوي للتنمية 
المكتبة العمومية قلالة ,14.166, البرنامج الجهيوي للتنمية 
المكتبة العمومبة سدويكش ,14.5, البرنامج الجهيوي للتنمية 
المكتبة عمومية بني خداس ,26.5, البرنامج الجهيوي للتنمية 
المكتبة العمومية سيدي مخلوف ,35.26, البرنامج الجهيوي للتنمية  والوازرة 
دار الثقافة سيدي مخلوف ,14.5, البرنامج الجهيوي للتنمية 
المركب الثقافي مدنين ,36.5, البرنامج الجهيوي للتنمية  والوازرة 
دار الثقافة اجيم ,12.095, البرنامج الجهيوي للتنمية 
المكتبة العمومية الشمالية,8.925, البرنامج الجهيوي للتنمية 
