Gouvernorat;"Centres de Formation pour les Jeunes Footballeurs";"Centres d'Athlétisme";"Centres de Formation Spécialisés ou Multidisciplinaires";"Centres de Formation"
Tunis;3;-;1;-
District-Tunis;3;1;0;1
Nord-Est;1;0;0;0
Béja;1;-;-;-
Nord-Ouest;2;0;0;1
Sfax;2;-;1;-
Centre-Ouest;0;2;0;0
Sud-Est;0;1;0;0
Total;10;6;10;2
Ariana;-;-;1;-
Nabeul;-;-;1;-
Siliana;-;-;-;-
Mahdia;-;-;1;-
"Sidi Bouzid";-;1;1;-
Tataouine;-;-;-;-
Sud-Ouest;0;2;0;0
"Ben Arous";-;1;-;1
Zaghouan;-;-;-;-
"Le Kef";1;-;-;-
Monastir;-;-;-;-
Kasserine;-;-;-;-
Médnine;-;-;-;-
Tozeur;-;-;-;-
Kébili;-;1;1;-
Manouba;-;-;-;-
Bizerte;1;-;-;-
Jendouba;-;-;-;1
Sousse;2;-;-;-
Centre-Est;4;0;0;0
Kairouan;-;1;1;-
Gabès;-;1;1;-
Gafsa;-;1;1;-
