الولاية;"كرة القدم";"كرة اليد";"كرة السلة";"الكرة الطائرة";الرقبي;"كرة المضرب";"كرة الطاولة";"ألعاب القوى";الملاكمة;المصارعة;الجودو;"رفع الأثقال";السباحة;الجمباز;المبارزة;الكاراتي;التايكواندو;"الكيك بوكسينغ";الأشرعة;التجذيف;الرماية;"الكونغ فو";القولف;الشطرنج;"الكرة الحديدية";الكاياك;الجملة
منوبة;57;0;0;0;0;0;0;15;0;32;34;0;0;0;0;50;24;0;0;0;0;0;0;0;0;0;212
جندوبة;53;23;25;80;0;0;0;40;0;0;25;0;0;0;0;10;21;0;0;10;0;0;0;0;22;0;309
قفصة;183;105;0;0;0;0;0;460;0;0;0;0;0;0;0;0;85;0;0;0;0;0;0;0;0;0;833
مدنين;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
المنستير;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
تونس;181;212;245;460;94;19;0;35;62;31;102;34;55;25;35;49;0;0;0;1;0;0;0;0;0;0;1640
زغوان;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
سليانة;0;0;0;0;0;0;6;0;0;0;0;0;0;26;0;10;0;0;0;0;0;0;0;0;0;0;42
"سيدي بوزيد";180;190;0;0;0;52;0;376;0;0;62;0;0;0;0;0;57;0;0;0;0;0;0;0;0;0;917
تطاوين;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
القيروان;126;98;120;18;20;17;0;232;0;0;233;0;28;10;0;0;0;0;0;0;0;0;0;0;0;0;902
الجملة;1643;1389;614;1378;288;184;80;1882;197;209;1177;182;123;211;44;224;187;0;90;20;26;30;0;0;34;3;10215
اريانة;83;45;57;15;0;0;0;62;14;26;42;90;0;16;0;16;0;0;0;0;0;0;0;0;0;0;466
بنزرت;48;0;0;0;0;13;41;20;0;0;0;0;30;0;9;0;0;0;0;0;0;0;0;0;0;0;161
القصرين;46;45;0;0;0;0;0;18;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;149
قبلي;16;0;0;0;0;0;0;63;11;17;8;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;141
صفاقس;32;42;15;100;0;12;0;60;43;0;414;19;10;92;0;0;0;0;0;9;0;30;0;0;0;3;881
المهدية;353;388;45;0;0;22;0;162;0;0;108;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1098
نابل;67;105;15;136;108;22;33;91;0;0;0;15;0;0;0;0;0;0;90;0;0;0;0;0;0;0;682
"بن عروس";83;31;9;498;0;0;0;59;;71;0;0;0;10;0;18;0;0;0;0;0;0;0;0;12;0;791
باجة;19;9;5;9;36;0;0;24;8;0;25;4;0;30;0;0;0;0;0;0;0;0;0;0;0;0;169
الكاف;22;0;2;6;0;1;0;2;0;0;25;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;60
توزر;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
قابس;1;0;0;0;0;0;0;7;0;0;6;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;30
سوسة;89;96;76;56;30;26;0;156;59;32;93;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;728
