ID_NATIONAL,MONTH,ANDEB,ANFIN,TMM,TNM,TXM,UNM,UXM,RRTM,PSTAM,FXIM,EVPTM
11414111,1,1981,2010,11.2,7,15.6,62,95,88.8,1019.5,12.6,2.3
11414111,2,1981,2010,11.3,6.9,16,57,95,73.9,1018.1,13.2,2.5
11414111,3,1981,2010,12.8,8.1,18,60,95,57.6,1016.6,12.9,2.7
11414111,4,1981,2010,15.1,10.1,20.4,60,95,50.6,1013.9,12.8,3.1
11414111,5,1981,2010,19,13.5,25,57,94,23.2,1014.7,12.2,4.1
11414111,6,1981,2010,23.1,17.2,29.1,59,92,10.6,1015.4,12.1,5.5
11414111,7,1981,2010,26,20.1,32.3,59,90,2.2,1015.1,12.1,6.5
11414111,8,1981,2010,26.6,21,32.8,57,91,6.8,1014.6,11.4,5.9
11414111,9,1981,2010,23.9,19,29.6,55,92,44.3,1015.6,11.7,4.7
11414111,10,1981,2010,20.4,15.8,25.8,56,95,61.3,1016.5,11.3,3.5
11414111,11,1981,2010,15.7,11.4,20.5,46,95,93.4,1016.6,11.8,2.8
11414111,12,1981,2010,12.5,8.4,16.8,54,95,115.2,1017.6,12,2.3
11515111,1,1981,2010,11.6,7.6,16.1,58,93,63.1,1019.3,11.6,2.3
11515111,2,1981,2010,11.9,7.7,16.8,45,93,49.2,1017.9,12.4,2.7
11515111,3,1981,2010,13.8,9.2,19,44,92,39.2,1016.3,12.7,3.4
11515111,4,1981,2010,16.2,11.4,21.7,47,92,38.5,1013.8,12.9,4
11515111,5,1981,2010,20.2,14.8,26.1,42,90,23.6,1014.4,12.5,5
11515111,6,1981,2010,24.3,18.6,30.6,44,87,12.9,1015.1,12.2,6.4
11515111,7,1981,2010,27.2,21.3,33.8,52,86,4,1014.8,11.9,7.4
11515111,8,1981,2010,27.7,22.2,34.1,37,88,7.1,1014.3,11.5,6.5
11515111,9,1981,2010,24.7,20.1,30.4,37,89,56.3,1015.4,11.8,4.9
11515111,10,1981,2010,21.1,16.8,26.5,43,93,47.7,1016.4,10.7,3.5
11515111,11,1981,2010,16.3,12.2,21.2,44,92,54.8,1016.4,10.9,3
11515111,12,1981,2010,12.8,8.9,17.3,57,93,75.2,1017.5,11.4,2.5
12827211,1,1981,2010,11.9,8.8,15.6,43,91,83.3,1015.9,10.7,2.2
12827211,2,1981,2010,11.9,8.6,15.7,46,91,62.6,1014.6,11,2.4
12827211,3,1981,2010,13.1,9.9,17.3,59,92,50.1,1013.2,11.1,2.6
12827211,4,1981,2010,15.2,11.8,19.3,53,92,36.3,1010.8,10.8,2.7
12827211,5,1981,2010,18.6,15,22.8,58,92,22,1011.7,10.3,3.2
12827211,6,1981,2010,22.4,18.5,27,58,92,6.7,1012.4,9.6,4.2
12827211,7,1981,2010,25.4,21.4,30.1,53,91,5.1,1012.1,9.5,4.8
12827211,8,1981,2010,26.2,22.4,31,54,91,3.8,1011.6,9.1,4.5
12827211,9,1981,2010,23.9,20.6,28.2,54,91,45.4,1012.5,9.2,3.6
12827211,10,1981,2010,20.9,17.8,24.8,56,92,79.9,1013.5,8.9,2.8
12827211,11,1981,2010,16.5,13.4,20.4,49,91,74.8,1013.3,10,2.6
12827211,12,1981,2010,13.2,10,16.9,51,91,90,1014.1,10.3,2.4
12828111,1,1981,2010,12.1,8.8,15.9,41,92,62.7,1016.9,12.1,2.6
12828111,2,1981,2010,12.3,8.9,16.3,51,92,34.2,1015.7,12.8,2.9
