CRE;N;Etablissement;Foyer;Restaurant;Capacité foyer;Capacité restaurant
أريانة;1;بالمعهد النموذجي محمد فرج الشاذلي;oui;oui;52;200
أريانة;2;المدرسة الإعدادية النموذجية المنزه 5 ;non;oui;0;300
أريانة;3;المدرسة الإعدادية ابن خلدون;non;oui;0;0
أريانة;4;المعهد النموذجي بيرم 5 المنزه 8;non;oui;0;200
جندوبة;5;المدرسة الاعدادية سوق الجمعة;oui;oui;120;200
جندوبة;6;معهد محمد علي اللقطي;non;oui;0;180
جندوبة;7;معهد مصطفي الفارسي;oui;oui;80;210
جندوبة;8;المدرسة الاعدادية النموذجية;oui;oui;60;200
جندوبة;9;المعهد النموذجي بجندوبة;oui;oui;66;200
جندوبة;10;معهد خير الدين باشا بوسالم;oui;oui;180;180
جندوبة;11;المدرسة الاعدادية بوسالم;oui;oui;380;380
جندوبة;12;المدرسة الاعدادية بلطة;oui;oui;240;256
جندوبة;13;معهد شارع البيئة بوسالم;oui;oui;120;240
جندوبة;14;المدرسة الاعدادية 4 افريل وادي مليز;oui;oui;80;260
جندوبة;15;معهد وادي مليز;oui;oui;80;170
جندوبة;16;المدرسة الاعدادية سيدي بلقاسم;oui;oui;140;200
جندوبة;17;معهد غار الدماء;oui;oui;250;250
جندوبة;18;المدرسة الاعدادية غار الدماء;oui;oui;180;200
جندوبة;19;المدرسة الاعدادية عين سلطان غار الدماء;oui;oui;220;250
جندوبة;20;المدسة الاعدادية الجليل غار الدماء;oui;oui;160;160
جندوبة;21;معهد فرحات حشاد غار الدماء;oui;oui;180;200
جندوبة;22;معهد 2 مارس 1932 طبرقة;oui;oui;140;240
جندوبة;23;معهد طبرقة;oui;oui;45;160
جندوبة;24;المدرسة الاعدادية عين الصبح طبرقة;oui;oui;100;220
جندوبة;25;المدرسةالاعدادية المرجان طبرقة;oui;oui;130;224
جندوبة;26;معهد عين دراهم;oui;oui;250;250
جندوبة;27;المدرسة الاعدادية ببوش عين دراهم;oui;oui;180;100
جندوبة;28;المدرسة الاعدادية حمام بورقيبة;oui;oui;150;150
جندوبة;29;معهد خمير عين دراهم;non;oui;0;150
جندوبة;30;معهد عبد الحميد الغزواني فرنانة;oui;oui;400;400
جندوبة;31;المدرسة الاعدادية الفجوج فرنانة;oui;oui;180;180
جندوبة;32;المدرسة الاعدادية الفجري بوسعيدي فرنانة;oui;oui;240;240
جندوبة;33;معهد ابن خلدون فرنانة;oui;oui;200;200
جندوبة;34;المدرسة الاعدادية بني مطير فرنانة;oui;oui;140;140
جندوبة;35;المدرسة الاعدادية عين البية فرنانة;oui;oui;400;400
جندوبة;36;معهد شارع الحرية جندوبة ;non;non;0;0
جندوبة;37;معهد بوسالم;non;non;0;0
جندوبة;38;اع بلاريجيا ;non;oui;0;260
القيروان;39;المعهد النموذجي;oui;oui;96;150
القيروان;40;معهد دار الامان;oui;oui;180;200
القيروان;41;معهد الشراردة;oui;oui;50;170
القيروان;42;اعدادية الشراردة;oui;oui;100;200
القيروان;43;اع بئر الوصفان;oui;oui;100;200
القيروان;44;الاعدادية النموجية;oui;oui;100;140
القيروان;45;معهد نصرالله;oui;oui;400;200
القيروان;46;اع منزل المهيري;oui;oui;200;150
القيروان;47;معهد بوحجلة;non;non;0;0
القيروان;48;اعدادية الامام سحنون;oui;oui;350;400
القيروان;49;اع جهينة;oui;oui;200;220
القيروان;50;اعدادية العلا;oui;oui;160;170
القيروان;51;اعدادية المساعيد;oui;oui;160;120
القيروان;52;معهد العلا;oui;oui;230;150
القيروان;53;معهد حفوز;oui;oui;260;132
القيروان;54;اع حفوز;oui;oui;28;260
القيروان;55;اع الزملة;non;oui;0;180
القيروان;56;اعدادية الشبيكة;oui;oui;100;400
القيروان;57;اعدادية الوسلاتية;oui;oui;140;160
القيروان;58;اعدادية  جلولة;oui;oui;132;100
القيروان;59;معهد ابن خلدون الوسلاتية;oui;oui;200;130
القيروان;60;معهد الوسلاتية;oui;oui;140;100
القيروان;61;معهد علي الزواوي;oui;oui;180;150
القيروان;62;اع بن ابي الضياف;oui;oui;120;150
القيروان;63;اعدادية السبيخة;non;oui;0;150
القيروان;64;اعدادية دار الجمعية;oui;oui;140;160
القيروان;65;معهد السبيخة;oui;oui;130;170
القيروان;66;معهد رقادة;non;oui;0;300
القيروان;67;إعدادية الباطن;non;oui;0;100
القصرين;68;معهد القصرين;oui;oui;180;280
القصرين;69;الاعدادية النموذجية ابن رشد القصرين;oui;oui;160;400
القصرين;70;المعهد النموذجي بالقصرين;oui;oui;240;330
القصرين;71;اعدادية بوزقام/ القصرين;oui;oui;100;308
القصرين;72;اعدادية الدغرة;oui;oui;200;310
القصرين;73;معهد ابن سينا بوزقام;oui;oui;68;228
القصرين;74;اعدادية حاسي الفريد;oui;oui;150;210
القصرين;75;معهد حاسي الفريد;oui;oui;150;200
القصرين;76;معهد سبيطلة 2;oui;oui;174;274
القصرين;77;معهد سبيطلة;oui;oui;206;286
القصرين;78;اعدادية الخضراء سبيطلة;oui;oui;240;305
القصرين;79;اعدادية الشرايع سبيطلة;oui;oui;240;325
القصرين;80;اعدادية الرخمات سبيطلة;oui;oui;160;260
القصرين;81;اعدادية ابن عرفة سبيطلة;oui;oui;230;340
القصرين;82;معهد فرحات حشاد الرخمات سبيطلة;oui;oui;180;255
القصرين;83;اعدادية سبيبة;oui;oui;200;290
القصرين;84;معهد سبيبة;oui;oui;235;315
القصرين;85;اعدادية عين الخمايسية سبيبة;oui;oui;172;302
القصرين;86;اعدادية العيون;oui;oui;320;660
القصرين;87;معهد العيون;oui;oui;250;450
القصرين;88;معهد جدليان;oui;oui;150;220
القصرين;89;اعدادية جدليان;oui;oui;160;230
القصرين;90;معهد تالة;oui;oui;160;205
القصرين;91;معهد ابن شرف تالة;oui;oui;130;210
القصرين;92;اعدادية 25 جويلية تالة;oui;oui;180;390
القصرين;93;اعدادية سيدي سهيل تالة;oui;oui;160;210
القصرين;94;معهد حيدرة;oui;oui;160;375
القصرين;95;اعدادية تلابت /فريانة;oui;oui;240;320
القصرين;96;معهد تلابت فريانة;oui;oui;160;220
القصرين;97;معهد فوسانة;oui;oui;200;580
القصرين;98;اعدادية فوسانة 2;oui;oui;190;558
