Date_du_spectale,Lieu_du_presentation,Beneficiaire,Titre_du_spectacle,Montant_net
2017-04-08,قصر المؤتمرات,روضة عبد لله,ڤطایتي,9500
2017-04-09,شارع الحبیب بورقیبة,ناردستان,ناردستان,8750
2017-04-09,قصر المؤتمرات,محمود التركي,دیسلاكسي,2850
2017-04-09,قصر المؤتمرات,نور حركاتي,ھلواس,2375
2017-04-10,شارع الحبیب بورقیبة,نضال الیحیاوي,حلفاوین شعبیة,4750
2017-04-10,ساحة الفنون قبلي,علي مرابط,دي جي سات,3040
2017-04-10,قصر المؤتمرات,وجدي الریاحي,شمال افریقیا,3325
2017-04-10,قصر المؤتمرات,صبري العوني,حجر الواد,5700
2017-04-11,شارع الحبیب بورقیبة,فیروز كراویة,قلبك زحام,9320
2017-04-11,الجامعة الشعبیة سیدي حسین,بلقاسم بوقنة,موسیقى شعبیة,3800
2017-04-11,المركب الثقافي المنستیر,عمر الواعر,Another perspectives,6080
2017-04-11,قصر المؤتمرات,عادل اسماعلي,حوریة,0
2017-04-11,قصر المؤتمرات,ھشام بن عمارة,wasted years,2850
2017-04-12,شارع الحبیب بورقیبة,محمد صدیق الككلي,الباندا,3325
2017-04-12,سیني فوق صالامبو,أیمن بوجلیدة,The legacy of Carthage,4750
2017-04-12,المركب الثقافي نیابولیس نابل,محمد زیاد الزواري,الكترو بطایحي,6270
2017-04-12,قصر المؤتمرات,أحمد یحیى قلاش,ھوس,0
2017-04-12,قصر المؤتمرات,الطاھر قیزاني ومرتضى فتیتي,صنعة یدین,4275
2017-04-13,شارع الحبیب بورقیبة,جوكو,جوكو,11250
2017-04-13,المركب الثقافي محمود المسعدي,فرقة الطفل المبدع,الطفل المبدع غناء,2850
2017-04-13,دار الثقافة دوار ھیشر,Sona Djobarteh,سونا دیاباتیه,7500
2017-04-13,المركب الثقافي سلیانة,وائل جغام,حلیب الغولة,8265
2017-04-13,قصر المؤتمرات,رامي الزغلامي وصابرین الجنحاني,شورا، غبار نجوم,1140
2017-04-13,قصر المؤتمرات,Emma Lamadji,Free River,0
2017-04-14,فضاء كارمن,محمد بوسلامة,Quatuor Cadences,2375
2017-04-14,فضاء كارمن,فرقة الجاز المعھد العالي للموسیقى صفاقس,جاز,0
2017-04-14,المركب الثقافي الكاف,Punic Lions et Ayman Baccar,الأسود البونیة,5320
2017-04-14,مسرح قرطاج الأثري,زاھر الزرقاطي,میراث,25000
2017-04-14,قصر المؤتمرات,ھشام التلمودي,آجي نوریك بلادي,0
2017-04-14,قصر المؤتمرات,بدر الدین الدریدي,عروق,3610
2017-04-15,قصر المؤتمرات,أمین وحمزة المرایحي,Fertiles Paradoxes,11250
