Categorie,Prix,Film,Directeur,Pays
Longs métrages (Fiction),Tanit d’Or,Les Enfants Rouges,Lotfi Achour,Tunisie
Longs métrages (Fiction),Tanit d’Argent,To a Land Unknown,Mahdi Fleifel,Palestine
Longs métrages (Fiction),Tanit de Bronze,Demba,Mamadou Dia,Sénégal
Courts métrages (Fiction),Tanit d’Or,Nothing Happens After That,Ibrahim Omar,Soudan
Courts métrages (Fiction),Tanit d’Argent,Better Than Earth,Sherif Elbendary,Égypte
Courts métrages (Fiction),Tanit de Bronze,Bord à Bord,Sahar El Euchi,Tunisie
Longs métrages (Documentaire),Tanit d’Or,A Fidai Film,Kamal Aljafari,Palestine
Longs métrages (Documentaire),Tanit d’Argent,Tongo SAA / Rising Up at Night,Nelson Makengo,RD Congo
Longs métrages (Documentaire),Tanit de Bronze,Matula,Abdallah Yahia,Tunisie
Courts métrages (Documentaire),Tanit d’Or,Les Derniers Jours avec Eliane,Mehdi Hajri,Tunisie
Courts métrages (Documentaire),Tanit d’Argent,Fariha,Badr Yousef,Yémen
Courts métrages (Documentaire),Tanit de Bronze,Unyagoni Bahati’s Sex Education Journey,Saitabao Kaiyare,Kenya
