Societe;agence;Nom de la station;station commune;Proprietaire de la station;lon;lat;joindre des photos;Type de la station;Type de mobilier;Existence de bancs;Existence eclairage;Existence poubelle;Existence acces PMR;Type TNRP;Commune;Delegation;Gouvernorat
SRT_SFAX;Beb jebli;20-mars;;Soretras;10.185414142907;36.816928771443;http://mdc.giscloud.com/rest/1/layers/3330123/features/5/joindre_des_photos/mdc_photo_mdc_585918_1597655661980_1597657104206.jpg?reqlogin, http://mdc.giscloud.com/rest/1/layers/3330123/features/5/joindre_des_photos/mdc_photo_mdc_37f143_1597655673495_1597657104206.jpg?reqlogin;Arret_Bus;Abri;no;yes;yes;no;;Gremda;Rr;Sfax
SRT_SFAX;;Polyclinique miniye;;Soretras;10.7664642;34.7483156;http://mdc.giscloud.com/rest/1/layers/3330123/features/171/joindre_des_photos/mdc_photo_mdc_6ae03f_1598864019806_1598864084255.jpg?reqlogin, http://mdc.giscloud.com/rest/1/layers/3330123/features/171/joindre_des_photos/mdc_photo_mdc_6f3c4e_1598864036224_1598864084255.jpg?reqlogin;Arret_Bus;Autre;no;no;no;no;;Sidi mansour;Sfax sud;Sfax
SRT_SFAX;;Hay;;Soretras;10.7465806;34.7437475;http://mdc.giscloud.com/rest/1/layers/3330123/features/90/joindre_des_photos/mdc_photo_mdc_8bde40_1598518992773_1598519134704.jpg?reqlogin, http://mdc.giscloud.com/rest/1/layers/3330123/features/90/joindre_des_photos/mdc_photo_mdc_cfa8a0_1598519013712_1598519134704.jpg?reqlogin;Arret_Bus;Batiment;yes;no;no;no;;Ain;Ain;Sfax
SRT_SFAX;;Kriaa;;Soretras;10.7426971;34.7458332;http://mdc.giscloud.com/rest/1/layers/3330123/features/91/joindre_des_photos/mdc_photo_mdc_51a797_1598519539847_1598519686081.jpg?reqlogin, http://mdc.giscloud.com/rest/1/layers/3330123/features/91/joindre_des_photos/mdc_photo_mdc_25b744_1598519554108_1598519686081.jpg?reqlogin;Arret_Bus;Autre;no;no;no;no;;Ain;Sfax sud;Sfax
SRT_SFAX;;Numero2;;Soretras;10.7394636;34.747218;http://mdc.giscloud.com/rest/1/layers/3330123/features/92/joindre_des_photos/mdc_photo_mdc_9da507_1598519908952_1598519954766.jpg?reqlogin, http://mdc.giscloud.com/rest/1/layers/3330123/features/92/joindre_des_photos/mdc_photo_mdc_9a1f19_1598519923513_1598519954767.jpg?reqlogin;Arret_Bus;Abri;yes;no;no;no;;Ain;Sfax sud;Sfax
SRT_SFAX;;Ghorbel;;Soretras;10.7369419;34.7484219;http://mdc.giscloud.com/rest/1/layers/3330123/features/93/joindre_des_photos/mdc_photo_mdc_399cb9_1598520171278_1598520236465.jpg?reqlogin, http://mdc.giscloud.com/rest/1/layers/3330123/features/93/joindre_des_photos/mdc_photo_mdc_c94f83_1598520182143_1598520236466.jpg?reqlogin;Arret_Bus;Autre;no;no;no;no;;Ain;Sfax sud ;Sfax
SRT_SFAX;;Aalya;;Soretras;10.7344348;34.7492905;http://mdc.giscloud.com/rest/1/layers/3330123/features/94/joindre_des_photos/mdc_photo_mdc_90a5ea_1598520430031_1598520521398.jpg?reqlogin, http://mdc.giscloud.com/rest/1/layers/3330123/features/94/joindre_des_photos/mdc_photo_mdc_c4df4c_1598520465250_1598520521399.jpg?reqlogin;Arret_Bus;Abri;yes;no;no;no;;Ain;Sfax sud;Sfax 
SRT_SFAX;;Beb nouri;;Soretras;10.7317762;34.7506282;http://mdc.giscloud.com/rest/1/layers/3330123/features/95/joindre_des_photos/mdc_photo_mdc_31914b_1598520670551_1598520766570.jpg?reqlogin, http://mdc.giscloud.com/rest/1/layers/3330123/features/95/joindre_des_photos/mdc_photo_mdc_ba5d0d_1598520708768_1598520766570.jpg?reqlogin;Arret_Bus;Abri;yes;no;no;no;;Ain;Sfax sud;Sfax
SRT_SFAX;;Hsayri;;Soretras;10.7293225;34.7520379;http://mdc.giscloud.com/rest/1/layers/3330123/features/96/joindre_des_photos/mdc_photo_mdc_d79f0f_1598520985060_1598521051086.jpg?reqlogin, http://mdc.giscloud.com/rest/1/layers/3330123/features/96/joindre_des_photos/mdc_photo_mdc_5396e3_1598520997485_1598521051086.jpg?reqlogin;Arret_Bus;Autre;no;no;no;no;;Ain;Sfax sud;Sfax
SRT_SFAX;;Chaker;;Soretras;10.7265056;34.7538054;http://mdc.giscloud.com/rest/1/layers/3330123/features/97/joindre_des_photos/mdc_photo_mdc_91d27b_1598521285540_1598521346392.jpg?reqlogin, http://mdc.giscloud.com/rest/1/layers/3330123/features/97/joindre_des_photos/mdc_photo_mdc_246293_1598521303470_1598521346392.jpg?reqlogin;Arret_Bus;Batiment;yes;no;no;no;;Ain;Sfax sud;Sfax
SRT_SFAX;;Taieb mhiri;;Soretras;10.7238011;34.7552503;http://mdc.giscloud.com/rest/1/layers/3330123/features/98/joindre_des_photos/mdc_photo_mdc_ed09be_1598521459749_1598521535758.jpg?reqlogin, http://mdc.giscloud.com/rest/1/layers/3330123/features/98/joindre_des_photos/mdc_photo_mdc_47b8e5_1598521486471_1598521535758.jpg?reqlogin;Arret_Bus;Abri;yes;no;no;no;;Ain;Sfax sud;Sfax
SRT_SFAX;;Markez hamed;;Soretras;10.7210799;34.7576015;http://mdc.giscloud.com/rest/1/layers/3330123/features/99/joindre_des_photos/mdc_photo_mdc_6a1617_1598521736278_1598521800142.jpg?reqlogin, http://mdc.giscloud.com/rest/1/layers/3330123/features/99/joindre_des_photos/mdc_photo_mdc_b2d973_1598521769188_1598521800142.jpg?reqlogin;Arret_Bus;Abri;yes;no;no;no;;Ain;Sfax sud;Sfax
SRT_SFAX;;Mawajen 7;;Soretras;10.7204541;34.7586708;http://mdc.giscloud.com/rest/1/layers/3330123/features/100/joindre_des_photos/mdc_photo_mdc_0b3ef9_1598521975738_1598522056148.jpg?reqlogin, http://mdc.giscloud.com/rest/1/layers/3330123/features/100/joindre_des_photos/mdc_photo_mdc_fa9a06_1598522025944_1598522056148.jpg?reqlogin;Arret_Bus;Autre;no;no;no;no;;Ain;Sfax sud ;Sfax
SRT_SFAX;;Kasas ain;;Soretras;10.7185985;34.7609483;http://mdc.giscloud.com/rest/1/layers/3330123/features/101/joindre_des_photos/mdc_photo_mdc_621bfa_1598522222020_1598522309270.jpg?reqlogin, http://mdc.giscloud.com/rest/1/layers/3330123/features/101/joindre_des_photos/mdc_photo_mdc_7f47e9_1598522271758_1598522309270.jpg?reqlogin;Arret_Bus;Abri;yes;no;no;no;;Ain;Sfax sud;Sfax
SRT_SFAX;;Kouchat ben amer;;Soretras;10.715714;34.7631636;http://mdc.giscloud.com/rest/1/layers/3330123/features/102/joindre_des_photos/mdc_photo_mdc_cb09e5_1598522468989_1598522576999.jpg?reqlogin, http://mdc.giscloud.com/rest/1/layers/3330123/features/102/joindre_des_photos/mdc_photo_mdc_0fa5fe_1598522515690_1598522576999.jpg?reqlogin;Arret_Bus;Autre;no;no;no;no;;Ain;Sfax sud;Sfax
SRT_SFAX;;Baladia ain;;Soretras;10.7122087;34.7653075;http://mdc.giscloud.com/rest/1/layers/3330123/features/103/joindre_des_photos/mdc_photo_mdc_49f989_1598522742793_1598522858608.jpg?reqlogin, http://mdc.giscloud.com/rest/1/layers/3330123/features/103/joindre_des_photos/mdc_photo_mdc_2a2a85_1598522792598_1598522858608.jpg?reqlogin;Arret_Bus;Abri;yes;no;no;no;;Ain;Sfax sud;Sfax
SRT_SFAX;;El nadi ain;;Soretras;10.7100987;34.7663895;http://mdc.giscloud.com/rest/1/layers/3330123/features/104/joindre_des_photos/mdc_photo_mdc_e25dc3_1598523016618_1598523070400.jpg?reqlogin, http://mdc.giscloud.com/rest/1/layers/3330123/features/104/joindre_des_photos/mdc_photo_mdc_3c7e98_1598523030795_1598523070400.jpg?reqlogin;Arret_Bus;Abri;yes;no;no;no;;Ain;Sfax sud;Sfax
SRT_SFAX;;Naji;;Soretras;10.7084583;34.7675751;http://mdc.giscloud.com/rest/1/layers/3330123/features/105/joindre_des_photos/mdc_photo_mdc_5aa682_1598523407485_1598523459273.jpg?reqlogin, http://mdc.giscloud.com/rest/1/layers/3330123/features/105/joindre_des_photos/mdc_photo_mdc_0ab9ca_1598523431584_1598523459273.jpg?reqlogin;Arret_Bus;Batiment;yes;no;no;no;;Ain;Sfax sud;Sfax
SRT_SFAX;;Belhaj;;Sfax;10.7042782;34.7723259;http://mdc.giscloud.com/rest/1/layers/3330123/features/106/joindre_des_photos/mdc_photo_mdc_eabe22_1598523673858_1598523734590.jpg?reqlogin, http://mdc.giscloud.com/rest/1/layers/3330123/features/106/joindre_des_photos/mdc_photo_mdc_cf975b_1598523702602_1598523734590.jpg?reqlogin;Arret_Bus;Abri;yes;no;no;no;;Ain;Sfax sud;Sfax
SRT_SFAX;;Maala;;Soretras;10.7020672;34.7749046;http://mdc.giscloud.com/rest/1/layers/3330123/features/107/joindre_des_photos/mdc_photo_mdc_51464b_1598523920122_1598523981057.jpg?reqlogin, http://mdc.giscloud.com/rest/1/layers/3330123/features/107/joindre_des_photos/mdc_photo_mdc_5a2f72_1598523935163_1598523981057.jpg?reqlogin;Arret_Bus;Abri;yes;no;no;no;;Ain;Sfax sud;Sfax
SRT_SFAX;;El jdida;;Soretras;10.7013416;34.7757403;http://mdc.giscloud.com/rest/1/layers/3330123/features/108/joindre_des_photos/mdc_photo_mdc_0198c5_1598524230153_1598524270452.jpg?reqlogin, http://mdc.giscloud.com/rest/1/layers/3330123/features/108/joindre_des_photos/mdc_photo_mdc_71dcfd_1598524245441_1598524270452.jpg?reqlogin;Arret_Bus;Abri;yes;no;no;no;;Ain;Sfax sud;Sfax
SRT_SFAX;;Damak;;Soretras;10.6998059;34.7775889;http://mdc.giscloud.com/rest/1/layers/3330123/features/109/joindre_des_photos/mdc_photo_mdc_b029f6_1598524483684_1598524536482.jpg?reqlogin, http://mdc.giscloud.com/rest/1/layers/3330123/features/109/joindre_des_photos/mdc_photo_mdc_de07d8_1598524497827_1598524536482.jpg?reqlogin;Arret_Bus;Abri;yes;no;no;no;;Ain;Sfax sud;Sfax
SRT_SFAX;;Smawi;;Soretras;10.6992318;34.7782054;http://mdc.giscloud.com/rest/1/layers/3330123/features/110/joindre_des_photos/mdc_photo_mdc_230309_1598524750650_1598524796089.jpg?reqlogin, http://mdc.giscloud.com/rest/1/layers/3330123/features/110/joindre_des_photos/mdc_photo_mdc_cdb37e_1598524762151_1598524796089.jpg?reqlogin;Arret_Bus;Autre;no;no;no;no;;Ain;Sfax sud;Sfax
