Date;Production STEG, en GWh;Production IPP en GWh;Production Auto-producteurs, en GWh;Production totale 
2005;9162.13;2904.98;938.8;13005.91
2006;9631.55;2864.04;925.1;13420.69
2007;10036;3054;877.6;13967.6
2008;10250.34;3440.04;894.5;14584.88
2009;10813.48;3268.96;871.9;14954.34
2010;11569;3226;1023.9;15818.9
2011;11902;3318;693.9;15913.9
2012;13680.66;3100.12;631.17;17411.95
2013;13946.55;3048.54;732.72;17727.81
2014;14116.63;3488.78;921.23;18526.64
2015;14850.59;3314.49;929.94;19095.02
2016;14805.9;3336.58;1110.69;19253.17
2017;15430.69;3543.18;1171.65;20145.52
2018;15715.5;3374;1292.32;20381.82
2019;17007.27;3071.23;1345.78;21424.28
2020;16162.434;3415.39;1261.37;20839.194
2021;16785.1;3138.3;;19923.4
