Year;Zarzaitine (kt);Ashtart (kt) ;TOTAL (kt)
1990;3033.633;1477.309;4510.942
1991;2742.734;2446.408;5189.142
1992;3261.423;1927,00;5188.423
1993;3022.526;1618.647;4641.173
1994;2822.262;1541.939;4364.201
1995;2746.949;1484.22;4231.169
1996;2704.257;1466.233;4170.49
1997;2433.274;1353.797;3787.071
1998;2397.34;1494.998;3892.338
1999;2480.928;1460.323;3941.251
2000;2264.355;1397.357;3661.712
2001;2031.8;1375.9;3407.7
2002;1789.1;1696.7;3485.8
2003;1691.74;1474.03;3165.77
2004;1957,00;1385.029;3342.029
2005;2172.22;1231.99;3404.21
2006;2205.5;1054.9;3260.4
2007;2991.4642463354;1554.64170327963;4546.10594961503
2008;2662.526;1480.255;4142.781
2009;2658.74;1225.465;3884.205
2010;2802.921;860.112;3663.033
2011;2564.695;642.344;3207.039
2012;2544.797;621.616;3166.413
2013;2273.22735923424;575.862639816091;2849.08999905033
2014;2043.841;499.229;2543.07
2015;1820.00986048715;490.052386040762;2310.06224652792
2016;1617.644;550.542;2168.186
2017;1338.128;492.664;1830.792
2018;1334.133;461.609;1795.742
2019;1237.35527320452;426.464717519967;1663.81999072449
2020;1093.034;436.996;1530.03
2021;1170.272;735.208;1905.48
