Date;Essences (kt);pétrole lampant (kt);fuel (kt);Gasoil ordinaire (kt);GPL (kt);White spirit (kt);Virgin Naphte (kt);Total (kt)
1990;241;142;580;542;154;4,6;70;1734
1991;228;150;527;522;143;6;98;1673
1992;269;153;422;499;159;6;100;1607
1993;238;147;450;493;136;6;141;1611
1994;280;137;581;539;133;6;49;1723
1995;302;134;645;576;130;5;63;1856
1996;325;131;643;571;136;6;59;1871
1997;339;107;646;594;117;6;234;2043
1998;347;127;631;560;127;6;58;1856
1999;363;155;625;511;111;6;141;1912
2000;249;168;653;537;110;7;80;1804
2001;251;203;596;467;110;8;80;1714
2002;251;207;604;469;112;2;104;1749
2003;263;165;609;506;103;8;112;1766
2004;226;169;595;432;108;8;46;1585
2005;216;229;609;482;109;9;130;1784
2006;180;136;604;506;110;10;135;1680
2007;145;130;676;555;102;12;213;1831
2008;128;120;695;551;124;13;184;1815
2009;125;85;633;576;138;11;182;1750
2010;19;16;99;83;106;3;32;358
2011;0;40;251;254;93;6;149;793
2012;0;37;612;661;110;15;372;1807
2013;0;52;590;646;110;15;346;1758
2014;0;53;563;633;105;18;346;1719
2015;0;55;430;492;90;12;292;1370
2016;22;53;409;439;98;10;230;1261
2017;79;59;327;314;81;11;93;964
2018;3;34;338;407;84;13;241;1120
2019;0;11;53;41;63;1,6;33;202
2020;49,008;20;394;421;67;6,4;191;1149
2021;77,91;18;537;657;65;7,3;260;1623
2022;109,53;16;448;592;42;6,2;219;1431
2023;33,389;28;321;402;66;8,1;214;1072
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
