Date;Franig ( kt);Baguel/Tarfa ( kt);Gherib;Hasdrubal ( kt);Maamoura  ( kt);Barka;Nawara;Total ( kt)
1990;0,00;0,00;;0,00;0,00;0,00;;0,00
1991;0,00;0,00;;0,00;0,00;0,00;;0,00
1992;0,00;0,00;;0,00;0,00;0,00;;0,00
1993;0,00;0,00;;0,00;0,00;0,00;;0,00
1994;0,00;0,00;;0,00;0,00;0,00;;0,00
1995;0,00;0,00;;0,00;0,00;0,00;;0,00
1996;0,00;0,00;;0,00;0,00;0,00;;0,00
1997;0,00;0,00;;0,00;0,00;0,00;;0,00
1998;0,00;0,00;;0,00;0,00;0,00;;0,00
1999;0,00;0,00;;0,00;0,00;0,00;;0,00
2000;0,00;0,00;;0,00;0,00;0,00;;0,00
2001;0,00;0,00;;0,00;0,00;0,00;;0,00
2002;0,00;0,00;;0,00;0,00;0,00;;0,00
2003;0,00;0,00;;0,00;0,00;0,00;;0,00
2004;0,00;0,00;;0,00;0,00;0,00;;0,00
2005;0,00;0,00;;0,00;0,00;0,00;;0,00
2006;0,00;0,00;;0,00;0,00;0,00;;0,00
2007;0,00;0,00;;0,00;0,00;0,00;;0,00
2008;7.656;3.493;;0,00;0,00;0,00;;11.149
2009;26.915;2.045;;0,00;0,00;0,00;;28.96
2010;28.313;0.81;;42.718;0.29;1.678;;73.809
2011;18.506;0.297;;84.242;5.186;5.619;;113.85
2012;17.843;0.308;;122.926;3.811;3.098;;0,00
2013;13.787847;1.312403;;167.4781;3.56973703703704;2.56079661016949;;0,00
2014;12.1;3.08327757884174;;137.761;3.95548436747491;5.82939352697213;;0,00
2015;8.889226;8.28083187569367;;121.112;6.70425277516135;1.88537710085049;;0,00
2016;15.259;9.866;;123.698;3.765;2.218;;0,00
2017;9.377;5.763;;117.722;5.247;1.938;;0,00
2018;8.544;5.284;;99.949;2.873;5.453;;0,00
2019;7.461;5.26;;76.625;1.454;4.881;;0,00
2020;5.29297;6.82556;3.10943;57.94052;1.43516;4.5098;7.10098;0,00
2021;5.19416;5.25898;1.58104;43.81575;1.15087;6.92533;36.9441;0,00
