Year;TV(GWh);TG(GWh);CC(GWh);Hyd.(GWh);Eolienne(GWh);Solaire(GWh); Total STEG(GWh);IPP (CC)(GWh);Autoproducteurs(GWh);Total(GWh);;
1990;3587;1267;;45;0;;4899;0;637;5536;;
1991;2037;2955;;103.603603603604;0;;5095.6036036036;0;648;5743.6036036036;;
1992;4818.5;595.5;0;65.1;0;;5479.1;0;702.3;6181.4;;
1993;4947.1;693.8;0;64;0;;5704.9;0;607.5;6312.4;;
1994;4380.3;644.7;966.3;39.9;0;;6031.2;0;682.9;6714.1;; 
1995;4102.9;635.1;1848;39.2;0;;6625.2;0;680.3;7305.5;;
1996;3926.8;843.8;2014;67.3;0;;6851.9;0;701.1;7553;;
1997;4332.7;872.2;2137.8;44.3;0;;7387;0;694.6;8081.6;;
1998;3946;1430.2;2488.2;72.4;0;;7936.8;0;719.5;8656.3;;
1999;5225.4;1138;2186.1;89.6;0;;8639.1;0;885.5;9524.6;;
2000;5343.6;1195.1;2595.7;64.4;23.1;;9221.9;0;873.7;10095.6;;
2001;5688.4;1909.4;2111.2;54.4;23.6;;9787;160.8;906.1;10853.9;;
2002;4291.8;1678.2;2206.1;64.2;30.1;;8270.4;2070.1;940.8;11281.3;;
2003;4659.1;1525;1918.6;166;33.4;;8302.1;2459.7;928.8;11690.6;;
2004;4625.796;1244.121;2597.052;153.521;43.62;;8664.11;2843.58;946.5;12454.19;;
2005;5343.806;1208.475;2422.301;145.157;42.395;;9162.134;2904.975;938.8;13005.909;;
2006;5173.66;1505.32;2823.18;91.74;37.65;;9631.55;2864.04;925.1;13420.69;;
2007;5926;1807;2211;49;43;;10036;3054;877.6;13967.6;;
2008;6410.56;2120.77;1641.64;37.95;39.42;;10250.34;3440.04;894.5;14584.88;;
2009;6017.3;2390.894;2228.924;78.894;97.47;;10813.482;3268.96;871.9;14954.342;;
2010;5799;2795;2786;50;139;;11569;3226;1023;15818;;
2011;5544;1851;4344;54;109;;11902;3318;693.9;15913.9;;
2012;5442.5;2369.83;5562.45;109.58;196.3;;13680.66;3100.12;631.171422;17411.951422;;
2013;5435.86;2870.18;5222.63;60.08;357.8;;13946.55;3048.54;732.717069;17727.807069;;
2014;5242.238;3269.457152;5042.00191;55.91121;507.028779;;14116.637051;3488.77564133333;921.213674418604;18526.6263667519;;
2015;4449.75;2852.07;7030.9;69.46;448.4;;14850.58;3314.49;943.434604651163;19108.5046046512;;
2016;3659.54;2231.29;8396.11;44.66;474.3;;14805.9;3336.58;943.434604651163;19085.9146046512;;
2017;2347.94;2890.47;9726.22;17.46;448.6;;15430.69;3543.18;943.434604651163;19917.3046046512;;
2018;2770;2812;9664;16.5;453;;15715.5;3373;943.434604651163;20031.9346046512;;
2019;2819.5;3362.2;10260.1;65.9;499.6;0.1;17007.4;3071.2;1288.905;21367.505;;
2020;2183.4;3954.5;9513.3;46;465.2;0.2;16162.6;3415.4;1261.37256353488;20839.3725635349;;
2021;1680.9;4350.4;10289.3;28.2;425.1;11.2;16785.1;3138.3;1200;21123.4;;
;;;;;;;;;;;;
;;;;;;;;;provisoire;;;
