Date;Maamoura (kt);Baraka ;Total(kt);Year;Month
2010-01;0,0;0,0;0,000;2010;janv
2010-02;0,0;0,0;0,000;2010;fev
2010-03;0,0;0,0;0,000;2010;mars
2010-04;0,0;0,0;0,000;2010;avril
2010-05;0,0;0,0;0,000;2010;mai
2010-06;0,0;0,0;0,000;2010;juin
2010-07;0,0;0,0;0,000;2010;juill
2010-08;0,0;0,0;0,000;2010;aout
2010-09;0,0;0,0;0,000;2010;sept
2010-10;0,0;0,1;0,114;2010;oct
2010-11;0,0;0,8;0,760;2010;nov
2010-12;0,3;0,8;1,094;2010;dec
2011-01;0,2;0,3;0,512;2011;janv
2011-02;0,2;0,2;0,376;2011;fev
2011-03;0,4;0,6;0,986;2011;mars
2011-04;0,5;1,1;1,593;2011;avril
2011-05;0,5;0,7;1,170;2011;mai
2011-06;0,6;0,5;1,067;2011;juin
2011-07;0,7;0,3;1,019;2011;juill
2011-08;0,4;0,4;0,767;2011;aout
2011-09;0,6;0,4;0,902;2011;sept
2011-10;0,4;0,3;0,631;2011;oct
2011-11;0,4;0,4;0,800;2011;nov
2011-12;0,4;0,6;0,982;2011;dec
2012-01;0,4;0,4;0,745;2012;janv
2012-02;0,3;0,2;0,484;2012;fev
2012-03;0,2;0,0;0,228;2012;mars
2012-04;0,3;0,3;0,513;2012;avril
2012-05;0,2;0,2;0,420;2012;mai
2012-06;0,3;0,2;0,496;2012;juin
2012-07;0,3;0,1;0,387;2012;juill
2012-08;0,3;0,0;0,345;2012;aout
2012-09;0,3;0,3;0,645;2012;sept
2012-10;0,5;0,5;0,971;2012;oct
2012-11;0,5;0,5;0,942;2012;nov
2012-12;0,3;0,4;0,733;2012;dec
2013-01;0,3;0,2;0,550;2013;janv
2013-02;0,3;0,2;0,439;2013;fev
2013-03;0,4;0,3;0,641;2013;mars
2013-04;0,3;0,2;0,539;2013;avril
2013-05;0,3;0,2;0,567;2013;mai
2013-06;0,3;0,2;0,532;2013;juin
2013-07;0,3;0,2;0,550;2013;juill
2013-08;0,2;0,3;0,462;2013;aout
2013-09;0,4;0,4;0,733;2013;sept
2013-10;0,3;0,2;0,501;2013;oct
2013-11;0,3;0,2;0,486;2013;nov
2013-12;0,1;0,0;0,103;2013;dec
2014-01;0,250;0,087;0,337;2014;janv
2014-02;0,221;0,223;0,444;2014;fev
2014-03;0,261;0,536;0,797;2014;mars
2014-04;0,249;0,528;0,777;2014;avril
2014-05;0,330;0,407;0,737;2014;mai
2014-06;0,338;0,551;0,889;2014;juin
2014-07;0,316;0,726;1,041;2014;juill
2014-08;0,307;0,800;1,108;2014;aout
2014-09;0,305;0,689;0,994;2014;sept
2014-10;0,403;0,526;0,929;2014;oct
2014-11;0,448;0,429;0,878;2014;nov
2014-12;0,528;0,327;0,854;2014;dec
2015-01;0,570;0,237;0,807;2015;janv
2015-02;0,525;0,165;0,690;2015;fev
2015-03;0,664;0,150;0,814;2015;mars
2015-04;0,729;0,211;0,940;2015;avril
2015-05;0,717;0,209;0,926;2015;mai
2015-06;0,709;0,175;0,884;2015;juin
2015-07;0,631;0,103;0,734;2015;juill
2015-08;0,382;0,033;0,415;2015;aout
2015-09;0,430;0,114;0,544;2015;sept
2015-10;0,388;0,191;0,579;2015;oct
2015-11;0,482;0,152;0,634;2015;nov
2015-12;0,477;0,146;0,623;2015;dec
2016-01;0,46;0,16;0,626;2016;janv
2016-02;0,43;0,18;0,609;2016;fev
2016-03;0,44;0,17;0,611;2016;mars
2016-04;0,45;0,24;0,694;2016;avril
2016-05;0,20;0,37;0,566;2016;mai
2016-06;0,20;0,21;0,405;2016;juin
2016-07;0,20;0,13;0,334;2016;juill
2016-08;0,13;0,16;0,287;2016;aout
2016-09;0,09;0,08;0,163;2016;sept
2016-10;0,12;0,02;0,148;2016;oct
2016-11;0,18;0,15;0,327;2016;nov
2016-12;0,87;0,34;1,212;2016;dec
2017-01;0,63;0,30;0,925;2017;janv
2017-02;0,56;0,25;0,804;2017;fev
2017-03;0,59;0,19;0,780;2017;mars
2017-04;0,61;0,14;0,749;2017;avril
2017-05;0,48;0,12;0,602;2017;mai
2017-06;0,50;0,00;0,498;2017;juin
2017-07;0,38;0,00;0,380;2017;juill
2017-08;0,36;0,01;0,370;2017;aout
2017-09;0,28;0,02;0,298;2017;sept
2017-10;0,27;0,02;0,289;2017;oct
2017-11;0,298;0,452;0,750;2017;nov
2017-12;0,326;0,406;0,732;2017;dec
2018-01;0,28;0,01;0,287;2018;janv
2018-02;0,30;0,25;0,554;2018;fev
2018-03;0,35;0,53;0,876;2018;mars
2018-04;0,32;0,59;0,906;2018;avril
2018-05;0,31;0,57;0,881;2018;mai
2018-06;0,27;0,61;0,883;2018;juin
2018-07;0,22;0,61;0,827;2018;juill
2018-08;0,19;0,00;0,190;2018;aout
2018-09;0,15;0,00;0,154;2018;sept
2018-10;0,16;0,00;0,159;2018;oct
2018-11;0,17;0,00;0,171;2018;nov
2018-12;0,17;0,00;0,173;2018;dec
2019-01;0,16;0,02;0,175;2019;janv
2019-02;0,12;0,48;0,593;2019;févr
2019-03;0,06;0,53;0,583;2019;mars
2019-04;0,10;0,40;0,505;2019;avril
2019-05;0,14;0,40;0,533;2019;mai
2019-06;0,11;0,41;0,523;2019;juin
2019-07;0,13;0,27;0,401;2019;juill
2019-08;0,10;0,01;0,116;2019;aout
2019-09;0,11;0,00;0,107;2019;sept
2019-10;0,08;0,00;0,080;2019;oct
2019-11;0,15;0,00;0,153;2019;nov
2019-12;0,20;0,09;0,292;2019;dec
