Date;Hasdrubal(kt);Total(kt);Year;Month
2010-01;0,0;0;2010;janv
2010-02;0,3;0,278;2010;fev
2010-03;3,7;3,652;2010;mars
2010-04;0,0;0;2010;avril
2010-05;9,4;9,43184935;2010;mai
2010-06;6,3;6,26615065;2010;juin
2010-07;8,3;8,299;2010;juill
2010-08;8,7;8,722;2010;aout
2010-09;6,1;6,069;2010;sept
2010-10;0,0;0;2010;oct
2010-11;0,0;0;2010;nov
2010-12;0,0;0;2010;dec
2011-01;0,0;0;2011;janv
2011-02;0,0;0;2011;fev
2011-03;2,0;2,033;2011;mars
2011-04;10,4;10,41;2011;avril
2011-05;13,2;13,171;2011;mai
2011-06;12,3;12,312;2011;juin
2011-07;7,7;7,745;2011;juill
2011-08;14,4;14,352;2011;aout
2011-09;11,6;11,621;2011;sept
2011-10;11,3;11,307;2011;oct
2011-11;1,3;1,291;2011;nov
2011-12;0,0;0;2011;dec
2012-01;0,0;0;2012;janv
2012-02;11,0;11,001;2012;fev
2012-03;9,2;9,186;2012;mars
2012-04;13,2;13,205;2012;avril
2012-05;14,0;13,971;2012;mai
2012-06;14,3;14,313;2012;juin
2012-07;15,2;15,189;2012;juill
2012-08;6,2;6,241;2012;aout
2012-09;3,6;3,623;2012;sept
2012-10;8,7;8,687;2012;oct
2012-11;12,7;12,74;2012;nov
2012-12;14,8;14,77;2012;dec
2013-01;13,6;13,642;2013;janv
2013-02;13,5;13,468;2013;fev
2013-03;16,0;15,993;2013;mars
2013-04;14,8;14,7624;2013;avril
2013-05;15,5;15,5294;2013;mai
2013-06;14,5;14,4904;2013;juin
2013-07;12,6;12,5664;2013;juill
2013-08;15,0;14,9914;2013;aout
2013-09;13,3;13,315;2013;sept
2013-10;14,3;14,296;2013;oct
2013-11;9,1;9,114;2013;nov
2013-12;15,3;15,319;2013;dec
2014-01;14,445;14,445;2014;janv
2014-02;13,563;13,563;2014;fev
2014-03;14,466;14,466;2014;mars
2014-04;14,333;14,333;2014;avril
2014-05;1,073;1,073;2014;mai
2014-06;10,042;10,042;2014;juin
2014-07;13,387;13,387;2014;juill
2014-08;13,274;13,274;2014;aout
2014-09;6,584;6,584;2014;sept
2014-10;13,676;13,676;2014;oct
2014-11;12,428;12,428;2014;nov
2014-12;10,490;10,490;2014;dec
2015-01;11,144;11,144;2015;janv
2015-02;9,124;9,124;2015;fev
2015-03;9,925;9,925;2015;mars
2015-04;8,587;8,587;2015;avril
2015-05;10,951;10,951;2015;mai
2015-06;11,432;11,432;2015;juin
2015-07;11,544;11,544;2015;juill
2015-08;11,578;11,578;2015;aout
2015-09;10,179;10,179;2015;sept
2015-10;6,393;6,393;2015;oct
2015-11;9,487;9,487;2015;nov
2015-12;10,768;10,768;2015;dec
2016-01; 11,4   ;11,4;2016;janv
2016-02; 7,3   ;7,3;2016;fev
2016-03; 2,0   ;2,0;2016;mars
2016-04; 12,1   ;12,1;2016;avril
2016-05; 12,7   ;12,7;2016;mai
2016-06; 11,6   ;11,6;2016;juin
2016-07; 12,1   ;12,1;2016;juill
2016-08; 11,8   ;11,8;2016;aout
2016-09; 11,0   ;11,0;2016;sept
2016-10; 10,4   ;10,4;2016;oct
2016-11; 11,2   ;11,2;2016;nov
2016-12; 10,1   ;10,1;2016;dec
2017-01; 11,6   ;11,6;2017;janv
2017-02; 10,3   ;10,3;2017;fev
2017-03; 8,9   ;8,9;2017;mars
2017-04; 9,7   ;9,7;2017;avril
2017-05; 10,7   ;10,7;2017;mai
2017-06; 10,3   ;10,3;2017;juin
2017-07; 10,8   ;10,8;2017;juill
2017-08; 9,4   ;9,4;2017;aout
2017-09; 9,9   ;9,9;2017;sept
2017-10; 7,1   ;7,1;2017;oct
2017-11; 9,4   ;9,4;2017;nov
2017-12; 9,6   ;9,6;2017;dec
2018-01;10,183;10,2;2018;janv
2018-02;8,561;8,6;2018;fev
2018-03;8,522;8,5;2018;mars
2018-04;8,234;8,2;2018;avril
2018-05;8,278;8,3;2018;mai
2018-06;7,954;8,0;2018;juin
2018-07;8,009;8,0;2018;juill
2018-08;8,335;8,3;2018;aout
2018-09;8,161;8,2;2018;sept
2018-10;7,596;7,6;2018;oct
2018-11;7,829;7,8;2018;nov
2018-12;8,287;8,3;2018;dec
2019-01;7,979;8,0;2019;janv
2019-02;6,456;6,5;2019;févr
2019-03;7,857;7,9;2019;mars
2019-04;7,675;7,7;2019;avril
2019-05;7,602;7,6;2019;mai
2019-06;6,876;6,9;2019;juin
2019-07;6,931;6,9;2019;juill
2019-08;6,904;6,9;2019;aout
2019-09;6,445;6,4;2019;sept
2019-10;5,147;5,1;2019;oct
2019-11;0,676;0,7;2019;nov
2019-12;6,077;6,1;2019;dec
