Date;Franig (kt);Baguel/Tarfa(kt);Gherib;Total(kt);Year;Month
2010-01;2,1;0,1;;2,262;2010;janv
2010-02;1,9;0,2;;2,117;2010;fev
2010-03;2,1;0,2;;2,235;2010;mars
2010-04;2,1;0,1;;2,259;2010;avril
2010-05;3,0;0,0;;3,030;2010;mai
2010-06;2,6;0,0;;2,663;2010;juin
2010-07;2,7;0,0;;2,764;2010;juill
2010-08;2,6;0,0;;2,604;2010;aout
2010-09;2,4;0,0;;2,381;2010;sept
2010-10;2,4;0,0;;2,455;2010;oct
2010-11;2,3;0,0;;2,320;2010;nov
2010-12;2,1;0,0;;2,089;2010;dec
2011-01;2,2;0,0;;2,284;2011;janv
2011-02;2,2;0,0;;2,284;2011;fev
2011-03;1,9;0,0;;1,965;2011;mars
2011-04;0,6;0,0;;0,641;2011;avril
2011-05;0,1;0,0;;0,133;2011;mai
2011-06;0,5;0,0;;0,489;2011;juin
2011-07;2,0;0,0;;2,002;2011;juill
2011-08;2,2;0,0;;2,206;2011;aout
2011-09;1,1;0,0;;1,127;2011;sept
2011-10;1,7;0,0;;1,689;2011;oct
2011-11;2,0;0,0;;1,981;2011;nov
2011-12;2,0;0,0;;2,002;2011;dec
2012-01;1,8;0,0;;1,874;2012;janv
2012-02;1,6;0,0;;1,645;2012;fev
2012-03;1,7;0,0;;1,751;2012;mars
2012-04;1,6;0,0;;1,625;2012;avril
2012-05;0,8;0,0;;0,846;2012;mai
2012-06;1,6;0,0;;1,635;2012;juin
2012-07;1,5;0,0;;1,496;2012;juill
2012-08;1,5;0,0;;1,561;2012;aout
2012-09;1,5;0,0;;1,505;2012;sept
2012-10;1,3;0,0;;1,345;2012;oct
2012-11;1,4;0,0;;1,483;2012;nov
2012-12;1,4;0,0;;1,385;2012;dec
2013-01;1,2;0,0;;1,206;2013;janv
2013-02;1,1;0,0;;1,099;2013;fev
2013-03;1,2;0,0;;1,264;2013;mars
2013-04;1,2;0,0;;1,222;2013;avril
2013-05;1,1;0,0;;1,131;2013;mai
2013-06;1,2;0,0;;1,244;2013;juin
2013-07;1,3;0,0;;1,315;2013;juill
2013-08;1,4;0,0;;1,456;2013;aout
2013-09;1,3;0,1;;1,374;2013;sept
2013-10;1,0;0,4;;1,345;2013;oct
2013-11;1,2;0,2;;1,445;2013;nov
2013-12;1,0;0,3;;1,297;2013;dec
2014-01;1,000;0,256;;1,256;2014;janv
2014-02;0,975;0,203;;1,178;2014;fev
2014-03;1,101;0,203;;1,304;2014;mars
2014-04;1,081;0,251;;1,332;2014;avril
2014-05;1,108;0,238;;1,346;2014;mai
2014-06;1,017;0,202;;1,219;2014;juin
2014-07;1,135;0,237;;1,372;2014;juill
2014-08;1,120;0,197;;1,318;2014;aout
2014-09;0,988;0,191;;1,179;2014;sept
2014-10;0,986;0,184;;1,170;2014;oct
2014-11;0,861;0,393;;1,254;2014;nov
2014-12;0,726;0,523;;1,249;2014;dec
2015-01;0,743;0,447;;1,190;2015;janv
2015-02;0,220;0,162;;0,382;2015;fev
2015-03;0,458;0,305;;0,763;2015;mars
2015-04;0,688;0,585;;1,272;2015;avril
2015-05;0,515;0,864;;1,379;2015;mai
2015-06;0,000;0,752;;0,751;2015;juin
2015-07;0,409;0,761;;1,171;2015;juill
2015-08;1,416;1,378;;2,794;2015;aout
2015-09;1,608;1,256;;2,864;2015;sept
2015-10;0,663;0,528;;1,190;2015;oct
2015-11;0,608;0,312;;0,920;2015;nov
2015-12;1,562;0,932;;2,494;2015;dec
2016-01;1,352;1,059;;2,411;2016;janv
2016-02;1,375;0,769;;2,144;2016;fev
2016-03;1,485;0,866;;2,351;2016;mars
2016-04;1,303;0,778;;2,081;2016;avril
2016-05;1,293;0,797;;2,090;2016;mai
2016-06;1,243;0,800;;2,043;2016;juin
2016-07;1,233;0,716;;1,949;2016;juill
2016-08;1,294;0,778;;2,072;2016;aout
2016-09;1,239;0,908;;2,147;2016;sept
2016-10;1,205;0,874;;2,079;2016;oct
2016-11;1,102;0,868;;1,970;2016;nov
2016-12;1,026;0,633;;1,659;2016;dec
2017-01;1,060;0,726;;1,786;2017;janv
2017-02;1,035;0,619;;1,654;2017;fev
2017-03;1,112;0,673;;1,785;2017;mars
2017-04;1,161;0,621;;1,782;2017;avril
2017-05;0,494;0,281;;0,775;2017;mai
2017-06;0;0;;0,000;2017;juin
2017-07;0;0;;0,000;2017;juill
2017-08;0,09;0,042;;0,132;2017;aout
2017-09;1,085;0,662;;1,747;2017;sept
2017-10;1,338;0,782;;2,120;2017;oct
2017-11;1,167;0,74;;1,907;2017;nov
2017-12;0,92;0,572;;1,492;2017;dec
2018-01;0,987;0,629;0,492;1,616;2018;janv
2018-02;0,815;0,553;;1,368;2018;fev
2018-03;0,866;0,585;;1,451;2018;mars
2018-04;0,839;0,499;;1,338;2018;avril
2018-05;0,855;0,511;;1,366;2018;mai
2018-06;0,857;0,530;;1,387;2018;juin
2018-07;0,862;0,535;;1,397;2018;juill
2018-08;0,812;0,488;0,606;1,299;2018;aout
2018-09;0,690;0,435;0,560;1,126;2018;sept
2018-10;0,000;0,000;0,000;0,000;2018;oct
2018-11;0,195;0,104;0,008;0,299;2018;nov
2018-12;0,766;0,415;0,599;1,181;2018;dec
2019-01;0,720;0,411;0,563;1,131;2019;janv
2019-02;0,644;0,322;0,466;0,966;2019;févr
2019-03;0,781;0,370;0,530;1,151;2019;mars
