Engrais ternaires NPK  (Tonne);Hyper Phosphate granulé (G 27) (Tonne);Tripolyphosphate de Sodium (STPP) (Tonne);SSP (Tonne);Nitrate Poreux (NP) (Tonne);Nitrate Agricole (NA) (Tonne);Dicalcium Phosphate (DCP) (Tonne);Triple super phosphate (TSP) (Tonne);Diammonium phosphate(DAP) (Tonne);Acide Phosphorique 54 % P2O5 (AP 54 %) (Tonne);Year;;;
2 052;46;12 520;;2 808;23 658;6 040;68 049;130 200;108 861;31-01-2010;;;
3 970;1 170;11 155;;2 326;21 461;7 450;62 260;98 200;100 901;28-02-2010;;;
5 200;1 513;12 185;;2 939;22 676;7 390;68 848;104 500;98 851;31-03-2010;;;
4 560;2 639;11 830;;707;5 453;3 570;47 769;70 500;92 700;30/04/2010;;;
4 040;3 127;12 360;;0;0;8 670;62 869;50 700;73 514;31/05/2010;;;
2 420;4 260;11 770;;1 487;10 354;8 400;66 563;87 700;85 058;30/06/2010;;;
6 910;1 271;12 350;;1 197;8 835;4 800;66 707;122 900;112 161;31/07/2010;;;
7 070;23;12 460;;3 025;19 525;6 060;66 065;115 900;109 739;31/08/2010;;;
7 040;112;11 800;;807;5 702;3 710;61 563;127 900;102 290;30/09/2010;;;
3 290;2 799;10 930;;0;0;6 560;66 041;117 400;106 505;31/10/2010;;;
4 780;1 855;11 945;;2 615;18 257;8 260;62 497;130 600;108 625;30/11/2010;;;
1 470;4 690;12 145;;2 888;19 229;5 520;63 491;120 160;113 428;31/12/2010;;;
2 300;1 950;12 240;;182;2 212;8 230;52 433;67 800;82 010;31/01/2011;;;
2 820;2 405;2 570;;182;2 212;2 930;13 153;0;26 949;28/02/2011;;;
2 780;220;4 690;;1 182;21 332;1 970;2 389;0;8 448;31/03/2011;;;
2 450;3 557;7 815;;384;3 116;3 700;26 175;64 850;57 498;30/04/2011;;;
980;4 606;12 045;;1 540;17 114;8 460;52 021;51 500;84 835;31/05/2011;;;
6 550;100;11 770;;0;0;6 800;33 632;37 200;40 835;30/06/2011;;;
7 840;0;3 570;;0;0;3 890;46 421;11 650;8 490;31/07/2011;;;
8 030;29;350;;0;0;2 100;37 985;17 350;18 199;31/08/2011;;;
6 220;590;7 675;;1 395;12 185;6 420;50 993;65 400;66 026;30/09/2011;;;
3 560;2 690;10 135;;2 008;13 425;7 000;62 015;71 000;75 110;31/10/2011;;;
1 740;1 004;6 305;;1 181;8 243;2 630;29 873;41 670;48 127;30/11/2011;;;
0;0;5 495;;0;0;550;1 838;0;1 692;31/12/2011;;;
0;0;11 980;;899;20 460;5 310;1 838;40 600;47 458;31/01/2012;;;
100;26;11 220;;629;23 678;7 300;14 842;86 200;83 452;29/02/2012;;;
3 200;1 420;11 610;;1 352;21 871;6 780;32 147;67 400;76 731;31/03/2012;;;
1 000;3 050;11 270;;1 147;19 735;3 430;50 124;36 800;47 589;30/04/2012;;;
1 150;4 090;11 015;;697;23 095;1 790;28 243;5 568;8 615;31/05/2012;;;
2 750;2 450;6 870;;14;2 236;3 940;42 341;32 860;39 491;30/06/2012;;;
7 100;244;10 005;;1 042;12 079;6 460;56 034;66 200;70 355;31/07/2012;;;
6 900;220;7 210;;1 576;13 250;2 900;58 401;105 700;80 338;31/08/2012;;;
3 240;2 160;10 605;;1 214;8 712;5 070;60 044;64 950;93 738;30/09/2012;;;
1 270;0;5 240;;196;2 941;2 010;62 174;32 260;62 038;31/10/2012;;;
2 400;0;8 275;;1 560;15 603;4 660;43 373;52 271;68 997;30/11/2012;;;
2 760;778;11 395;;696;8 077;7 830;44 750;75 216;98 210;31/12/2012;;;
0;48;7 345;;0;12 145;2 400;17 845;19 426;35 596;31/01/2013;;;
480;1 300;6 259;;0;1 586;4 940;9 993;51 600;37 318;28/02/2013;;;
1 850;3 150;12 310;;727;22 248;3 990;52 381;97 950;82 383;31/03/2013;;;
1 090;5 510;11 570;;567;15 062;4 390;58 827;82 500;71 103;30/04/2013;;;
1 620;4 580;10 795;;688;6 277;2 990;48 698;71 450;70 953;31/05/2013;;;
0;1 380;10 585;;1 091;9 175;3 400;53 293;63 150;48 767;30/06/2013;;;
0;0;11 825;;2 462;18 719;4 470;54 907;62 800;62 989;31/07/2013;;;
2 720;61;11 840;;1 028;16 503;2 640;54 837;65 500;67 055;31/08/2013;;;
1 000;0;11 525;;0;0;2 870;45 069;74 300;67 489;30/09/2013;;;
1 000;0;12 310;;0;0;7 300;51 660;103 361;86 157;31/10/2013;;;
1 500;0;10 060;;838;12 441;3 890;44 749;72 500;59 020;30/11/2013;;;
0;1 591;11 025;;1 726;17 090;2 890;25 784;59 000;58 963;31/12/2013;;;
0;120;10 540;;871;19 857;5 810;49 205;51 650;51 006;31/01/2014;;;
1 970;691;10 545;;1 747;17 741;3 010;46 924;36 000;44 981;28/02/2014;;;
3 450;720;10 340;;1 211;17 085;5 850;42 873;49 700;61 742;31/03/2014;;;
50;2 455;11 770;;1 182;16 618;6 780;32 438;43 350;57 393;30/04/2014;;;
0;1 700;12 240;;1 766;19 048;6 920;23 157;42 454;63 492;31/05/2014;;;
600;150;10 920;;662;14 794;5 100;43 975;31 700;51 398;30/06/2014;;;
3 600;0;12 230;;818;8 557;4 480;44 726;53 200;50 660;31/07/2014;;;
950;20;11 470;;396;4 054;0;51 654;62 400;47 105;31/08/2014;;;
3 300;0;9 405;;906;7 942;2 420;44 849;61 800;53 255;30/09/2014;;;
2 600;460;8 805;;81;2 048;6 690;35 702;53 112;56 916;31/10/2014;;;
2 200;1 211;8 840;;1 513;15 108;8 410;39 262;61 490;51 342;30/11/2014;;;
3 200;0;7 280;;1 213;15 260;5 000;27 549;40 672;43 737;31/12/2014;;;
0;2 003;5 590;;0;17 145;3 220;28 306;26 829;21 592;31/01/2015;;;
1 100;900;3 620;;931;10 933;3 800;23 677;34 351;23 038;28/02/2015;;;
0;1 800;9 260;;1 104;10 518;6 640;23 795;21 040;39 726;31/03/2015;;;
0;1 100;10 840;;0;19 841;7 650;17 467;3 075;48 378;30/04/2015;;;
0;25;4 680;;0;14 586;8 420;0;0;8 259;31/05/2015;;;
2 400;0;750;;0;1 715;5 170;0;0;7 646;30/06/2015;;;
0;0;750;;0;0;2 980;14 820;9 789;23 400;31/07/2015;;;
