Date;El bibane;Miskar;Zinnia;Mazarine;nawara;Chergui;Hasdrubal;Maamoura et Baraka;Franig B.T. et Sabria et Gherib et Sidi marzoug;Gaz sud;Total ( ktep-pci)
2010-01;;127.62;0,00;;;19.98;25.02;0,00;24.57;28.98;226.17
2010-02;;114.21;0,00;;;19.44;39.51;1.44;24.876;21.114;220.59
2010-03;;125.01;0,00;;;19.62;50.49;1.62;25.542;27.918;250.2
2010-04;;115.38;0,00;;;17.37;49.05;0.9;28.098;27.162;237.96
2010-05;;117.81;0,00;;;21.15;28.53;0,00;26.442;30.168;224.1
2010-06;;111.69;0,00;;;20.97;50.85;1.26;27.891;28.2689999999999;240.93
2010-07;;110.16;0,00;;;17.64;62.01;2.7;30.348;28.692;251.55
2010-08;;97.8299999999999;0,00;;;21.96;65.34;5.85;30.663;29.367;251.01
2010-09;;111.69;0,00;;;19.62;42.3;7.2;29.16;28.08;238.05
2010-10;;109.35;0,00;;;22.86;0,00;6.93;29.07;28.89;197.1
2010-11;;104.04;0,00;;;21.33;0,00;8.00999999999999;24.93;29.3399999999999;187.65
2010-12;;115.29;0,00;;;23.76;0.629999999999995;7.02000000000001;25.11;30.7200000000001;202.53
2011-01;;110.7;0,00;;;20.52;0,00;8.19;24.75;30.6;194.76
2011-02;;96.75;0,00;;;14.85;0,00;8.73;21.69;27.45;169.47
2011-03;;108.81;0,00;;;23.4;27.81;10.62;21.15;30.78;222.57
2011-04;;102.96;0,00;;;17.46;57.33;9.63;9.63000000000001;29.43;226.44
2011-05;;92.3835454612524;0,00;;;23.4249381;71.96;9.09;1.25999999999999;28.98;227.098483561252
2011-06;;101.566454538748;0,00;;;13.4750619;68.35;9.54000000000001;6.20999999999999;27.63;226.771516438748
2011-07;;101.7;0,00;;;23.85;76.5;8.55;23.22;28.8;262.62
2011-08;;102.24;0,00;;;23.85;72.09;7.91999999999999;23.22;28.83;258.15
2011-09;;95.49;0,00;;;22.23;64.35;7.29000000000001;12.69;27.69;229.74
2011-10;;96.0300000000001;0,00;;;22.32;58.3199999999999;6.20999999999999;19.17;26.82;228.87
2011-11;;87.1199999999999;0,00;;;22.32;7.0200000000001;7.38000000000001;21.15;28.26;173.25
2011-12;;97.02;0,00;;;22.5;-0.20700000000005;8.36999999999999;21.6;26.2728;175.5558
2012-01;;97.47;0,00;;;22.05;0,00;6.93;19.98;30.87;177.3
2012-02;;82.26;0,00;;;21.42;58.95;5.13;18,00;30.51;216.27
2012-03;;44.019;0,00;;;22.563;67.302;3.924;20.448;30.51;188.766
2012-04;;51.291;0,00;;;17.397;69.498;7.146;17.739;25.2;188.271
2012-05;;79.83;0,00;;;22.05;75.15;6.84;16.326;26.37;226.566
2012-06;;90.63;0,00;;;12.51;75.33;5.49;16.101;25.29;225.351
2012-07;;82.5300000000001;0,00;;;19.89;78.9299999999999;4.32;16.002;26.91;228.582
2012-08;;73.5299999999999;0,00;;;17.64;63.45;9.018;11.484;27.63;202.752
2012-09;;81.2700000000001;0,00;;;19.89;60.75;7.34399999999999;14.85;26.55;210.654
2012-10;;80.28;0,00;;;18,00;67.3200000000001;1.548;21.186;28.17;216.504
2012-11;;74.7;0,00;;;20.4;68.5;6.2;14.8;27.585;212.185
2012-12;;77.8499999999999;0,00;;;19.65;76.4899999999999;5.77000000000001;12.7660655309993;29.205;221.731065530999
2013-01;;69.174;0,00;;;18.153;79.0803;4.9968;12.969;29.844;214.2171
2013-02;;62.946;0,00;;;9.567;70.7697;4.1832;13.077;27.666;188.2089
2013-03;;72.765;0,00;;;20.709;77.634;4.698;13.761;29.07;218.637
2013-04;;79.524;0,00;;;19.44;77.859;4.329;12.879;27.846;221.877
2013-05;;79.002;0,00;;;20.556;78.786;4.167;12.4917494887125;28.125;223.127749488712
2013-06;;49.185;0,00;;;19.53;75.654;3.807;12.7172505112875;26.433;187.326250511288
2013-07;;78.777;0,00;;;19.728;74.583;3.618;12.771;27.162;216.639
2013-08;;77.823;0,00;;;19.953;81.099;3.771;12.8961;28.53;224.046
2013-09;;69.48;0,00;;;17.901315;76.8869999999999;3.726;13.0509;28.161;209.313
2013-10;;74.9519999999999;0,00;;;19.745685;78.129;3.276;13.356;28.863;218.322
2013-11;;70.272;0,00;;;19.035;49.212;2.07;13.014;28.575;182.178
2013-12;;61.2990000000001;0,00;;;17.568;81.2790000000001;2.538;13.5140955610824;30.195;206.312095561083
2014-01;;66.942;0,00;;;17.721;78.003;2.907;13.086;30.627;209.286
2014-02;;59.3087994;0,00;;;18.7442766;72.589248;3.686178969;11.6388501943491;28.00709112987;193.974444293219
2014-03;;58.4022006;0,00;;;19.9917234;75.802752;6.294821031;12.8861498056509;30.80790887013;203.969555706781
2014-04;;55.406943;0,00;;;20.7467892;75.4451253;6.04483815051;12.8618712557487;29.18855226204;199.910119168299
2014-05;;60.6399516;0,00;;;21.0744306;5.61456900000002;6.447457899;13.0834805098572;29.61284955039;136.472739159247
2014-06;;60.471072;0,00;;;11.3781339;63.5139612;7.762034691;11.26817071488;31.01847310503;183.87797313636
2014-07;;61.5230334;0,00;;;19.2146463;81.1733445;7.55566925949;12.4664775195141;28.3973331555;209.936168536094
2014-08;;62.1545156999999;0,00;;;21.5731566;80.8837065;7.67881940751001;11.8611887077143;28.46406593916;212.615452854384
2014-09;;59.6213532;0,00;;;20.9032281;38.6706393000001;8.064056484;11.0122520843277;28.06527947526;166.336808643588
2014-10;;59.4391311000001;0,00;;;18.1026153;80.2366542;7.90012410848999;11.056559207958;29.32788912093;206.062973037378
2014-11;;51.5348433;0,00;;;10.282734;74.3131872;8.50428248751001;11.2894422891201;28.70911824714;184.63360752377
2014-12;;60.5531979;0,00;;;23.168619;60.9709797;8.826406002;14.9216701529322;29.47637857518;197.917251330112
2015-01;;55.6138701;0,00;;;23.1085368;66.5293977;9.033862104;13.8459230275707;29.92481080227;198.056400533841
2015-02;;53.7391692;0,00;;;20.3195628;54.1984257;8.626577787;10.9305395227584;23.4820494594;171.296324469158
