Date;Franing B T et Sabria et gherib;Mazarine;Total ( ktep-pci);Year;Month
2010-01;24,57;;24,57;2010;janv
2010-02;24,88;;24,876;2010;fev
2010-03;25,54;;25,542;2010;mars
2010-04;28,10;;28,098;2010;avril
2010-05;26,44;;26,442;2010;mai
2010-06;27,89;;27,891;2010;juin
2010-07;30,35;;30,348;2010;juill
2010-08;30,66;;30,663;2010;aout
2010-09;29,16;;29,16;2010;sept
2010-10;29,07;;29,07;2010;oct
2010-11;24,93;;24,93;2010;nov
2010-12;25,11;;25,11;2010;dec
2011-01;24,75;;24,75;2011;janv
2011-02;21,69;;21,69;2011;fev
2011-03;21,15;;21,15;2011;mars
2011-04;9,63;;9,63;2011;avril
2011-05;1,26;;1,26;2011;mai
2011-06;6,21;;6,21;2011;juin
2011-07;23,22;;23,22;2011;juill
2011-08;23,22;;23,22;2011;aout
2011-09;12,69;;12,69;2011;sept
2011-10;19,17;;19,17;2011;oct
2011-11;21,15;;21,15;2011;nov
2011-12;21,60;;21,6;2011;dec
2012-01;19,98;;19,98;2012;janv
2012-02;18,00;;18;2012;fev
2012-03;20,45;;20,448;2012;mars
2012-04;17,74;;17,739;2012;avril
2012-05;16,33;;16,326;2012;mai
2012-06;16,10;;16,101;2012;juin
2012-07;16,00;;16,002;2012;juill
2012-08;11,48;;11,484;2012;aout
2012-09;14,85;;14,85;2012;sept
2012-10;21,19;;21,186;2012;oct
2012-11;14,80;;14,8;2012;nov
2012-12;12,77;;12,766;2012;dec
2013-01;12,97;;12,969;2013;janv
2013-02;13,08;;13,077;2013;fev
2013-03;13,76;;13,761;2013;mars
2013-04;12,88;;12,879;2013;avril
2013-05;12,49;;12,492;2013;mai
2013-06;12,72;;12,717;2013;juin
2013-07;12,77;;12,771;2013;juill
2013-08;12,90;;12,896;2013;aout
2013-09;13,05;;13,051;2013;sept
2013-10;13,36;;13,356;2013;oct
2013-11;13,01;;13,014;2013;nov
2013-12;13,51;;13,514;2013;dec
2014-01;13,086;;13,086;2014;janv
2014-02;11,639;;11,639;2014;fev
2014-03;12,886;;12,886;2014;mars
2014-04;12,862;;12,862;2014;avril
2014-05;13,083;;13,083;2014;mai
2014-06;11,268;;11,268;2014;juin
2014-07;12,466;;12,466;2014;juill
2014-08;11,861;;11,861;2014;aout
2014-09;11,012;;11,012;2014;sept
2014-10;11,057;;11,057;2014;oct
2014-11;11,289;;11,289;2014;nov
2014-12;14,922;;14,922;2014;dec
2015-01;13,846;;13,846;2015;janv
2015-02;10,931;;10,931;2015;fev
2015-03;11,314;;11,314;2015;mars
2015-04;11,531;;11,531;2015;avril
2015-05;9,922;;9,922;2015;mai
2015-06;4,417;;4,417;2015;juin
2015-07;7,277;;7,277;2015;juill
2015-08;16,166;;16,166;2015;aout
2015-09;16,612;;16,612;2015;sept
2015-10;16,254;;16,254;2015;oct
2015-11;15,837;;15,837;2015;nov
2015-12;17,138;;17,138;2015;dec
2016-01;15,642;0,000;15,642;2016;janv
2016-02;15,453;0,000;15,453;2016;fev
2016-03;15,421;0,000;15,421;2016;mars
2016-04;14,196;0,000;14,196;2016;avril
2016-05;14,041;0,000;14,041;2016;mai
2016-06;13,448;0,000;13,448;2016;juin
2016-07;13,032;0,000;13,032;2016;juill
2016-08;13,023;0,000;13,023;2016;aout
2016-09;12,983;0,000;12,983;2016;sept
2016-10;12,940;0,000;12,940;2016;oct
2016-11;11,991;0,000;11,991;2016;nov
2016-12;12,153;0,000;12,153;2016;dec
2017-01;11,479;0,000;11,479;2017;janv
2017-02;10,643;0,000;10,643;2017;fev
2017-03;11,799;0,000;11,799;2017;mars
2017-04;10,728;0,000;10,728;2017;avril
2017-05;4,923;0,000;4,923;2017;mai
2017-06;0;0,000;0,000;2017;juin
2017-07;0;0,000;0,000;2017;juill
2017-08;1,179;0,000;1,179;2017;aout
2017-09;13,005;0,000;13,005;2017;sept
2017-10;12,285;0,000;12,285;2017;oct
2017-11;13,491;0,000;13,491;2017;nov
2017-12;12,888;0,000;12,888;2017;dec
2018-01;12,89;0,000;12,890;2018;janv
2018-02;7,64;0,000;7,640;2018;fev
2018-03;14,53;0,000;14,530;2018;mars
2018-04;11,45;0,000;11,450;2018;avril
2018-05;11,16;0,000;11,160;2018;mai
2018-06;11,09;0,000;11,090;2018;juin
2018-07;10,5;0,000;10,500;2018;juill
2018-08;9,77;0,000;9,770;2018;aout
2018-09;9,53;0,000;9,530;2018;sept
2018-10;9,28;0,000;9,280;2018;oct
2018-11;8,41;0,000;8,410;2018;nov
2018-12;9,8;0,000;9,800;2018;dec
2019-01;9,24;0,000;9,240;2019;janv
2019-02;7,79;0,000;7,790;2019;févr
2019-03;8,15;0,000;8,150;2019;mars
2019-04;7,84;0,000;7,840;2019;avril
2019-05;7,26;0,000;7,260;2019;mai
2019-06;8,38;0,000;8,380;2019;juin
2019-07;7,23;0,000;7,230;2019;juill
2019-08;10,26;0,000;10,260;2019;aout
2019-09;8,4;0,000;8,400;2019;sept
2019-10;10,14;0,000;10,140;2019;oct
2019-11;9,5;0,000;9,500;2019;nov
2019-12;6,62;0,000;6,620;2019;dec
;;;;;
;;;;;
;;;;;
