Date;Zinia;Maamoura;Total ( ktep-pci);Year;Month
2010-01;0,00;0,00;0;2010;janv
2010-02;0,00;1,44;1,44;2010;fev
2010-03;0,00;1,62;1,62;2010;mars
2010-04;0,00;0,90;0,9;2010;avril
2010-05;0,00;0,00;0;2010;mai
2010-06;0,00;1,26;1,26;2010;juin
2010-07;0,00;2,70;2,7;2010;juill
2010-08;0,00;5,85;5,85;2010;aout
2010-09;0,00;7,20;7,2;2010;sept
2010-10;0,00;6,93;6,93;2010;oct
2010-11;0,00;8,01;8,01;2010;nov
2010-12;0,00;7,02;7,02;2010;dec
2011-01;0,00;8,19;8,19;2011;janv
2011-02;0,00;8,73;8,73;2011;fev
2011-03;0,00;10,62;10,62;2011;mars
2011-04;0,00;9,63;9,63;2011;avril
2011-05;0,00;9,09;9,09;2011;mai
2011-06;0,00;9,54;9,54;2011;juin
2011-07;0,00;8,55;8,55;2011;juill
2011-08;0,00;7,92;7,92;2011;aout
2011-09;0,00;7,29;7,29;2011;sept
2011-10;0,00;6,21;6,21;2011;oct
2011-11;0,00;7,38;7,38;2011;nov
2011-12;0,00;8,37;8,37;2011;dec
2012-01;0,00;6,93;6,93;2012;janv
2012-02;0,00;5,13;5,13;2012;fev
2012-03;0,00;3,92;3,924;2012;mars
2012-04;0,00;7,15;7,146;2012;avril
2012-05;0,00;6,84;6,84;2012;mai
2012-06;0,00;5,49;5,49;2012;juin
2012-07;0,00;4,32;4,32;2012;juill
2012-08;0,00;9,02;9,018;2012;aout
2012-09;0,00;7,34;7,344;2012;sept
2012-10;0,00;1,55;1,548;2012;oct
2012-11;0,00;6,20;6,2;2012;nov
2012-12;0,00;5,77;5,77;2012;dec
2013-01;0,00;5,00;4,9968;2013;janv
2013-02;0,00;4,18;4,1832;2013;fev
2013-03;0,00;4,70;4,698;2013;mars
2013-04;0,00;4,33;4,329;2013;avril
2013-05;0,00;4,17;4,167;2013;mai
2013-06;0,00;3,81;3,807;2013;juin
2013-07;0,00;3,62;3,618;2013;juill
2013-08;0,00;3,77;3,771;2013;aout
2013-09;0,00;3,73;3,726;2013;sept
2013-10;0,00;3,28;3,276;2013;oct
2013-11;0,00;2,07;2,07;2013;nov
2013-12;0,00;2,54;2,538;2013;dec
2014-01;0,00;2,91;2,907;2014;janv
2014-02;0,00;3,69;3,686;2014;fev
2014-03;0,00;6,29;6,295;2014;mars
2014-04;0,00;6,04;6,045;2014;avril
2014-05;0,00;6,45;6,447;2014;mai
2014-06;0,00;7,76;7,762;2014;juin
2014-07;0,00;7,56;7,556;2014;juill
2014-08;0,00;7,68;7,679;2014;aout
2014-09;0,00;8,06;8,064;2014;sept
2014-10;0,00;7,90;7,900;2014;oct
2014-11;0,00;8,50;8,504;2014;nov
2014-12;0,00;8,83;8,826;2014;dec
2015-01;0,00;9,03;9,03;2015;janv
2015-02;0,00;8,63;8,63;2015;fev
2015-03;0,00;10,95;10,95;2015;mars
2015-04;0,00;9,74;9,74;2015;avril
2015-05;0,00;9,30;9,30;2015;mai
2015-06;0,00;8,51;8,51;2015;juin
2015-07;0,00;7,20;7,20;2015;juill
2015-08;0,00;7,61;7,61;2015;aout
2015-09;0,00;6,68;6,68;2015;sept
2015-10;0,00;6,69;6,69;2015;oct
2015-11;0,00;8,78;8,78;2015;nov
2015-12;0,00;9,10;9,10;2015;dec
2016-01;0,00;8,59;8,59;2016;janv
2016-02;0,00;7,31;7,31;2016;fev
2016-03;0,00;6,90;6,90;2016;mars
2016-04;0,00;7,04;7,04;2016;avril
2016-05;0,00;3,56;3,56;2016;mai
2016-06;0,00;2,39;2,39;2016;juin
2016-07;0,00;1,97;1,97;2016;juill
2016-08;0,00;1,89;1,89;2016;aout
2016-09;0,00;1,17;1,17;2016;sept
2016-10;0,00;1,91;1,91;2016;oct
2016-11;0,00;7,87;7,87;2016;nov
2016-12;0,00;11,24;11,24;2016;dec
2017-01;0,00;10,764;10,76;2017;janv
2017-02;0,00;9,486;9,49;2017;fev
2017-03;0,00;9,027;9,03;2017;mars
2017-04;0,00;7,803;7,80;2017;avril
2017-05;0,00;7,317;7,32;2017;mai
2017-06;0,00;6,057;6,06;2017;juin
2017-07;0,00;4,986;4,99;2017;juill
2017-08;0,00;4,815;4,82;2017;aout
2017-09;0,00;4,032;4,03;2017;sept
2017-10;0,00;4,194;4,19;2017;oct
2017-11;0,00;4,266;4,27;2017;nov
2017-12;0,00;3,987;3,99;2017;dec
2018-01;0,00;6,11;6,11;2018;janv
2018-02;0,00;6,89;6,89;2018;fev
2018-03;0,00;7,18;7,18;2018;mars
2018-04;0,00;5,82;5,82;2018;avril
2018-05;0,00;5,19;5,19;2018;mai
2018-06;0,00;4,09;4,09;2018;juin
2018-07;0,00;3,15;3,15;2018;juill
2018-08;0,00;2,45;2,45;2018;aout
2018-09;0,00;2,03;2,03;2018;sept
2018-10;0,00;1,99;1,99;2018;oct
2018-11;0,00;1,73;1,73;2018;nov
2018-12;0,00;1,46;1,46;2018;dec
2019-01;0,00;0,7;0,70;2019;janv
2019-02;0,00;0,7;0,70;2019;févr
2019-03;0,00;0,42;0,42;2019;mars
2019-04;0,00;0,55;0,55;2019;avril
2019-05;0,00;0,95;0,95;2019;mai
2019-06;0,00;0,66;0,66;2019;juin
2019-07;0,00;1,1;1,10;2019;juill
2019-08;0,00;0,8;0,80;2019;aout
2019-09;0,00;0,71;0,71;2019;sept
2019-10;0,00;0,29;0,29;2019;oct
2019-11;0,00;1,19;1,19;2019;nov
2019-12;0,00;2,01;2,01;2019;dec
