Date;Miskar;Hasdrubal;gaz Chergui;Total ( ktep-pci);Year;Month
2010-01;127,62;25,02;19,98;172,62;2010;janv
2010-02;114,21;39,51;19,44;173,16;2010;fev
2010-03;125,01;50,49;19,62;195,12;2010;mars
2010-04;115,38;49,05;17,37;181,8;2010;avril
2010-05;117,81;28,53;21,15;167,49;2010;mai
2010-06;111,69;50,85;20,97;183,51;2010;juin
2010-07;110,16;62,01;17,64;189,81;2010;juill
2010-08;97,83;65,34;21,96;185,13;2010;aout
2010-09;111,69;42,30;19,62;173,61;2010;sept
2010-10;109,35;0,00;22,86;132,21;2010;oct
2010-11;104,04;0,00;21,33;125,37;2010;nov
2010-12;115,29;0,63;23,76;139,68;2010;dec
2011-01;110,70;0,00;20,52;131,22;2011;janv
2011-02;96,75;0,00;14,85;111,6;2011;fev
2011-03;108,81;27,81;23,40;160,02;2011;mars
2011-04;102,96;57,33;17,46;177,75;2011;avril
2011-05;92,38;71,96;23,42;187,7684836;2011;mai
2011-06;101,57;68,35;13,48;183,3915164;2011;juin
2011-07;101,70;76,50;23,85;202,05;2011;juill
2011-08;102,24;72,09;23,85;198,18;2011;aout
2011-09;95,49;64,35;22,23;182,07;2011;sept
2011-10;96,03;58,32;22,32;176,67;2011;oct
2011-11;87,12;7,02;22,32;116,46;2011;nov
2011-12;97,02;-0,21;22,50;119,313;2011;dec
2012-01;97,47;0,00;22,05;119,52;2012;janv
2012-02;82,26;58,95;21,42;162,63;2012;fev
2012-03;44,02;67,30;22,56;133,884;2012;mars
2012-04;51,29;69,50;17,40;138,186;2012;avril
2012-05;79,83;75,15;22,05;177,03;2012;mai
2012-06;90,63;75,33;12,51;178,47;2012;juin
2012-07;82,53;78,93;19,89;181,35;2012;juill
2012-08;73,53;63,45;17,64;154,62;2012;aout
2012-09;81,27;60,75;19,89;161,91;2012;sept
2012-10;80,28;67,32;18,00;165,6;2012;oct
2012-11;74,70;68,50;20,40;163,6;2012;nov
2012-12;77,85;76,49;19,65;173,99;2012;dec
2013-01;69,17;79,08;18,15;166,4073;2013;janv
2013-02;62,95;70,77;9,57;143,2827;2013;fev
2013-03;72,77;77,63;20,71;171,108;2013;mars
2013-04;79,52;77,86;19,44;176,823;2013;avril
2013-05;79,00;78,79;20,56;178,344;2013;mai
2013-06;49,19;75,65;19,53;144,369;2013;juin
2013-07;78,78;74,58;19,73;173,088;2013;juill
2013-08;77,82;81,10;19,95;178,875;2013;aout
2013-09;69,48;76,89;17,90;164,268315;2013;sept
2013-10;74,95;78,13;19,75;172,826685;2013;oct
2013-11;70,27;49,21;19,04;138,519;2013;nov
2013-12;61,30;81,28;17,57;160,146;2013;dec
2014-01;66,94;78,00;17,72;162,67;2014;janv
2014-02;59,31;72,59;18,74;150,64;2014;fev
2014-03;58,40;75,80;19,99;154,20;2014;mars
2014-04;55,41;75,45;20,75;151,60;2014;avril
2014-05;60,64;5,61;21,07;87,33;2014;mai
2014-06;60,47;63,51;11,38;135,36;2014;juin
2014-07;61,52;81,17;19,21;161,91;2014;juill
2014-08;62,15;80,88;21,57;164,61;2014;aout
2014-09;59,62;38,67;20,90;119,20;2014;sept
2014-10;59,44;80,24;18,10;157,78;2014;oct
2014-11;51,53;74,31;10,28;136,13;2014;nov
2014-12;60,55;60,97;23,17;144,69;2014;dec
2015-01;55,6;66,5;23,1;145,25;2015;janv
2015-02;53,7;54,2;20,3;128,26;2015;fev
2015-03;59,7;58,0;6,7;124,42;2015;mars
2015-04;58,2;51,1;11,0;120,31;2015;avril
2015-05;60,6;66,2;23,4;150,21;2015;mai
2015-06;56,6;66,9;22,8;146,35;2015;juin
2015-07;56,8;65,7;23,5;146,00;2015;juill
2015-08;64,8;66,4;22,8;153,96;2015;aout
2015-09;61,5;59,4;21,7;142,61;2015;sept
2015-10;58,5;35,9;22,0;116,40;2015;oct
2015-11;59,7;51,6;21,4;132,68;2015;nov
2015-12;67,4;60,7;21,8;149,91;2015;dec
2016-01;61,8;65,4;12,8;140,04;2016;janv
2016-02;56,6;43,5;0,0;100,11;2016;fev
2016-03;59,9;11,6;0,0;71,47;2016;mars
2016-04;55,1;68,2;9,6;132,83;2016;avril
2016-05;14,9;71,0;0,0;85,91;2016;mai
2016-06;59,5;64,9;0,0;124,43;2016;juin
2016-07;59,7;67,6;0,0;127,32;2016;juill
2016-08;57,5;66,0;0,0;123,52;2016;aout
2016-09;54,9;60,9;2,7;118,46;2016;sept
2016-10;53,3;57,7;21,1;132,11;2016;oct
2016-11;53,3;62,2;20,0;135,51;2016;nov
2016-12;52,4;56,4;8,9;117,67;2016;dec
2017-01;50,0;63,4;0,0;113,39;2017;janv
2017-02;46,7;55,7;0,0;102,44;2017;fev
2017-03;51,1;51,2;0,0;102,26;2017;mars
2017-04;50,391;53,982;0;104,37;2017;avril
2017-05;49,554;59,067;3,582;112,20;2017;mai
2017-06;52,335;56,916;20,151;129,40;2017;juin
2017-07;53,199;58,968;21,735;133,90;2017;juill
2017-08;52,443;55,296;20,736;128,48;2017;aout
2017-09;49,302;54,819;18,72;122,84;2017;sept
2017-10;48,357;38,34;20,295;106,99;2017;oct
2017-11;47,655;48,672;19,449;115,78;2017;nov
2017-12;50,796;49,887;19,683;120,37;2017;dec
2018-01;53,74;52,61;19,4;125,75;2018;janv
2018-02;44,66;46,43;17,18;108,27;2018;fev
2018-03;49,47;43,48;18,76;111,71;2018;mars
2018-04;25,56;44,95;18,17;88,68;2018;avril
2018-05;41,19;44,71;18,66;104,56;2018;mai
2018-06;46,23;41,06;17,67;104,96;2018;juin
2018-07;45,09;42,47;17,87;105,43;2018;juill
2018-08;52,3;44,11;17,31;113,72;2018;aout
2018-09;34,52;43,17;16,69;94,38;2018;sept
2018-10;48,34;39,31;15,17;102,82;2018;oct
2018-11;42,3;39,84;13,59;95,73;2018;nov
2018-12;42,31;42,53;16,16;101,00;2018;dec
2019-01;43,25;41,84;15,51;100,60;2019;janv
2019-02;44,03;34,42;14,08;92,53;2019;févr
2019-03;49,56;40,07;15,8;105,43;2019;mars
2019-04;38,42;37,97;14,96;91,35;2019;avril
2019-05;51,14;38,84;15;104,98;2019;mai
2019-06;47,53;37,13;14,44;99,10;2019;juin
2019-07;49,21;37,31;14,81;101,33;2019;juill
2019-08;47,09;36,51;14,54;98,14;2019;aout
2019-09;51,33;34,15;13,5;98,98;2019;sept
2019-10;51,18;26,84;14,46;92,48;2019;oct
2019-11;48,6;4,47;14,32;67,39;2019;nov
2019-12;50,27;31,11;14,59;95,97;2019;dec
