Date;Gaz Sud;El bibane;nawara;Total ( ktep-pci);Year;Month
2010-01;28,98;;;28,98;2010;janv
2010-02;21,11;;;21,114;2010;fev
2010-03;27,92;;;27,918;2010;mars
2010-04;27,16;;;27,162;2010;avril
2010-05;30,17;;;30,168;2010;mai
2010-06;28,27;;;28,269;2010;juin
2010-07;28,69;;;28,692;2010;juill
2010-08;29,37;;;29,367;2010;aout
2010-09;28,08;;;28,08;2010;sept
2010-10;28,89;;;28,89;2010;oct
2010-11;29,34;;;29,34;2010;nov
2010-12;30,72;;;30,72;2010;dec
2011-01;30,60;;;30,6;2011;janv
2011-02;27,45;;;27,45;2011;fev
2011-03;30,78;;;30,78;2011;mars
2011-04;29,43;;;29,43;2011;avril
2011-05;28,98;;;28,98;2011;mai
2011-06;27,63;;;27,63;2011;juin
2011-07;28,80;;;28,8;2011;juill
2011-08;28,83;;;28,83;2011;aout
2011-09;27,69;;;27,69;2011;sept
2011-10;26,82;;;26,82;2011;oct
2011-11;28,26;;;28,26;2011;nov
2011-12;26,27;;;26,2728;2011;dec
2012-01;30,87;;;30,87;2012;janv
2012-02;30,51;;;30,51;2012;fev
2012-03;30,51;;;30,51;2012;mars
2012-04;25,20;;;25,2;2012;avril
2012-05;26,37;;;26,37;2012;mai
2012-06;25,29;;;25,29;2012;juin
2012-07;26,91;;;26,91;2012;juill
2012-08;27,63;;;27,63;2012;aout
2012-09;26,55;;;26,55;2012;sept
2012-10;28,17;;;28,17;2012;oct
2012-11;27,59;;;27,585;2012;nov
2012-12;29,21;;;29,205;2012;dec
2013-01;29,84;;;29,844;2013;janv
2013-02;27,67;;;27,666;2013;fev
2013-03;29,07;;;29,07;2013;mars
2013-04;27,85;;;27,846;2013;avril
2013-05;28,13;;;28,125;2013;mai
2013-06;26,43;;;26,433;2013;juin
2013-07;27,16;;;27,162;2013;juill
2013-08;28,53;;;28,53;2013;aout
2013-09;28,16;;;28,161;2013;sept
2013-10;28,86;;;28,863;2013;oct
2013-11;28,58;;;28,575;2013;nov
2013-12;30,20;;;30,195;2013;dec
2014-01;30,63;;;30,627;2014;janv
2014-02;28,01;;;28,007;2014;fev
2014-03;30,81;;;30,808;2014;mars
2014-04;29,19;;;29,189;2014;avril
2014-05;29,61;;;29,613;2014;mai
2014-06;31,02;;;31,018;2014;juin
2014-07;28,40;;;28,397;2014;juill
2014-08;28,46;;;28,464;2014;aout
2014-09;28,07;;;28,065;2014;sept
2014-10;29,33;;;29,328;2014;oct
2014-11;28,71;;;28,709;2014;nov
2014-12;29,48;;;29,476;2014;dec
2015-01;29,92;;;29,925;2015;janv
2015-02;23,48;;;23,482;2015;fev
2015-03;29,62;;;29,618;2015;mars
2015-04;28,05;;;28,054;2015;avril
2015-05;25,65;;;25,651;2015;mai
2015-06;25,98;;;25,98;2015;juin
2015-07;26,30;;;26,30;2015;juill
2015-08;27,43;;;27,43;2015;aout
2015-09;26,11;;;26,11;2015;sept
2015-10;25,27;;;25,27;2015;oct
2015-11;25,11;;;25,11;2015;nov
2015-12;28,38;;;28,38;2015;dec
2016-01;28,05;;;28,05;2016;janv
2016-02;25,57;;;25,57;2016;fev
2016-03;27,86;;;27,86;2016;mars
2016-04;26,97;;;26,97;2016;avril
2016-05;28,87;;;28,87;2016;mai
2016-06;27,52;;;27,52;2016;juin
2016-07;27,07;;;27,07;2016;juill
2016-08;28,67;;;28,67;2016;aout
2016-09;27,90;;;27,90;2016;sept
2016-10;27,45;;;27,45;2016;oct
2016-11;27,62;;;27,62;2016;nov
2016-12;30,21;;;30,21;2016;dec
2017-01;30,375;;;30,38;2017;janv
2017-02;21,285;;;21,29;2017;fev
2017-03;28,737;;;28,74;2017;mars
2017-04;28,179;;;28,18;2017;avril
2017-05;26,541;;;26,54;2017;mai
2017-06;14,886;;;14,89;2017;juin
2017-07;11,628;;;11,63;2017;juill
2017-08;5,688;;;5,69;2017;aout
2017-09;24,759;;;24,76;2017;sept
2017-10;26,226;;;26,23;2017;oct
2017-11;29,511;;;29,51;2017;nov
2017-12;30,87;;;30,87;2017;dec
2018-01;30,67;;;30,67;2018;janv
2018-02;27,77;;;27,77;2018;fev
2018-03;29,21;;;29,21;2018;mars
2018-04;29,79;;;29,79;2018;avril
2018-05;28,19;;;28,19;2018;mai
2018-06;27,04;2,007;;29,05;2018;juin
2018-07;25,56;2,61;;28,17;2018;juill
2018-08;25,46;2,727;;28,19;2018;aout
2018-09;25,44;2,601;;28,04;2018;sept
2018-10;18,95;2,223;;21,17;2018;oct
2018-11;21,92;0;;21,92;2018;nov
2018-12;29,92;0;;29,92;2018;dec
2019-01;28,95;0;;28,95;2019;janv
2019-02;20,97;0;;20,97;2019;févr
2019-03;30,69;0;;30,69;2019;mars
2019-04;27,22;0;;27,22;2019;avril
2019-05;26,76;0;;26,76;2019;mai
2019-06;22,32;0;;22,32;2019;juin
2019-07;23,82;0;;23,82;2019;juill
2019-08;24,73;0;;24,73;2019;aout
2019-09;22,08;0;;22,08;2019;sept
2019-10;23,25;0;;23,25;2019;oct
2019-11;21,89;0;;21,89;2019;nov
2019-12;23,54;0;;23,54;2019;dec
