Date;Region Tataouin;Region Sfax;Region Kebili;Region kassrine;Region Nebeul;Region Medenine;region Mahdia;Total;Year;Month
2010-01;165,49;101,46;10,98;2,02;15,26;30,00;4,57;329,78;2010;janv
2010-02;143,76;101,12;5,23;2,02;19,09;21,95;4,08;297,25;2010;fev
2010-03;150,65;114,03;8,42;2,21;21,39;21,56;4,60;322,86;2010;mars
2010-04;147,88;107,15;9,37;1,75;24,26;21,54;3,75;315,70;2010;avril
2010-05;144,90;97,78;7,88;2,73;28,37;21,41;4,96;308,03;2010;mai
2010-06;135,66;105,50;8,19;2,42;36,37;20,44;4,33;312,91;2010;juin
2010-07;133,78;115,00;8,00;2,34;40,51;20,43;4,44;324,50;2010;juill
2010-08;135,30;104,92;7,66;2,43;47,69;19,64;4,34;321,98;2010;aout
2010-09;133,58;101,20;7,31;2,28;42,73;17,34;4,17;308,61;2010;sept
2010-10;140,36;72,76;7,40;2,64;41,53;17,67;4,27;286,63;2010;oct
2010-11;130,60;71,73;6,80;2,45;38,33;17,09;4,09;271,09;2010;nov
2010-12;130,95;67,38;6,86;2,46;36,17;16,16;3,72;263,70;2010;dec
2011-01;131,71;67,98;6,60;1,52;29,35;16,28;2,15;255,59;2011;janv
2011-02;126,24;61,26;5,65;2,23;29,62;14,86;1,88;241,74;2011;fev
2011-03;137,98;93,26;5,72;1,84;30,78;12,23;2,06;283,87;2011;mars
2011-04;127,55;102,39;3,28;2,26;28,79;14,71;2,12;281,10;2011;avril
2011-05;119,52;119,65;4,57;2,69;28,03;15,37;2,24;292,07;2011;mai
2011-06;119,03;112,47;2,76;2,42;24,79;16,00;2,13;279,60;2011;juin
2011-07;123,84;89,13;2,90;2,48;21,88;16,39;2,12;258,74;2011;juill
2011-08;127,97;122,21;5,81;2,47;20,93;14,04;2,11;295,54;2011;aout
2011-09;118,55;110,56;3,64;2,38;19,59;14,02;2,11;270,85;2011;sept
2011-10;121,93;103,20;5,15;2,19;16,93;14,36;2,24;266,00;2011;oct
2011-11;114,56;77,04;5,41;2,34;24,00;12,94;2,19;238,48;2011;nov
2011-12;120,90;75,58;5,47;2,13;23,89;13,19;2,30;243,46;2011;dec
2012-01;131,67;71,50;5,30;2,06;20,15;12,18;2,32;245,18;2012;janv
2012-02;125,63;102,08;4,75;1,13;14,67;10,82;3,17;262,25;2012;fev
2012-03;144,40;96,98;4,98;1,48;7,54;10,41;3,15;268,94;2012;mars
2012-04;131,34;100,16;4,56;1,45;7,14;11,83;3,00;259,48;2012;avril
2012-05;133,32;85,74;4,40;0,39;8,17;10,90;3,17;246,09;2012;mai
2012-06;129,87;106,85;3,97;1,15;6,80;11,22;2,97;262,83;2012;juin
2012-07;124,53;116,20;3,92;2,41;5,27;11,52;3,06;266,91;2012;juill
2012-08;131,64;105,52;3,94;1,48;5,59;11,24;3,10;262,51;2012;aout
2012-09;133,31;98,70;3,79;0,51;13,83;10,43;2,98;263,55;2012;sept
2012-10;137,12;101,84;3,83;1,81;17,12;10,59;3,12;275,43;2012;oct
2012-11;127,22;107,03;3,69;2,16;15,32;12,22;3,05;270,69;2012;nov
2012-12;134,33;114,46;3,55;2,03;13,94;11,05;3,19;282,55;2012;dec
2013-01;131,63;112,59;3,33;1,76;11,67;10,42;3,59;274,99;2013;janv
2013-02;102,03;94,77;3,26;1,69;10,97;9,01;4,10;225,83;2013;fev
2013-03;122,96;110,64;3,56;2,03;11,61;9,52;4,39;264,70;2013;mars
2013-04;122,03;105,79;3,22;1,98;10,39;9,07;3,99;256,47;2013;avril
2013-05;116,68;103,31;3,44;2,00;12,61;8,68;4,14;250,86;2013;mai
2013-06;108,44;93,48;3,73;1,88;9,13;7,78;3,99;228,43;2013;juin
2013-07;111,04;89,07;3,49;1,93;9,33;2,25;3,88;220,98;2013;juill
2013-08;113,32;106,66;3,86;1,83;10,51;2,26;3,74;242,17;2013;aout
2013-09;106,75;98,16;3,96;1,68;9,57;2,24;3,54;225,89;2013;sept
2013-10;110,47;97,66;3,80;1,94;9,17;3,28;3,47;229,80;2013;oct
2013-11;107,50;80,09;3,88;1,83;4,90;2,92;3,18;204,28;2013;nov
2013-12;109,07;87,62;4,05;2,14;5,06;13,73;3,23;224,89;2013;dec
2014-01;115,48;86,31;4,08;1,74;6,30;10,02;3,25;227,17;2014;janv
2014-02;106,98;82,62;3,75;1,73;6,04;9,79;3,08;213,98;2014;fev
2014-03;117,10;85,18;4,04;1,92;9,79;9,26;3,21;230,49;2014;mars
2014-04;106,40;80,26;4,08;2,06;9,62;9,12;2,93;214,46;2014;avril
2014-05;111,81;55,69;4,22;2,03;8,37;8,87;3,09;194,08;2014;mai
2014-06;103,20;80,63;3,57;2,01;7,82;7,65;3,18;208,06;2014;juin
2014-07;103,43;92,84;3,66;2,04;8,47;8,46;3,51;222,41;2014;juill
2014-08;101,43;92,31;3,60;2,16;8,63;7,78;3,83;219,74;2014;aout
2014-09;97,12;68,68;3,48;1,87;7,38;8,70;3,42;190,65;2014;sept
2014-10;98,15;86,89;3,66;1,75;7,83;9,03;3,61;210,93;2014;oct
2014-11;95,24;83,07;4,15;1,95;7,87;7,82;3,45;203,55;2014;nov
2014-12;99,00;81,14;6,41;1,79;8,17;7,65;3,40;207,55;2014;dec
2015-01;97,49;81,26;17,85;1,77;8,47;7,00;3,34;217,19;2015;janv
2015-02;83,62;71,43;20,89;1,66;8,10;5,85;2,81;194,36;2015;fev
2015-03;91,69;78,58;18,75;1,73;9,42;6,17;2,96;209,30;2015;mars
2015-04;87,44;78,33;16,97;1,80;11,67;6,20;2,93;205,35;2015;avril
2015-05;87,57;83,78;13,71;1,68;11,97;6,27;3,00;207,99;2015;mai
2015-06;79,82;74,83;9,39;1,67;11,30;6,05;2,97;186,02;2015;juin
2015-07;76,69;76,66;11,40;1,72;10,92;6,74;3,00;187,14;2015;juill
2015-08;79,07;76,14;8,40;1,65;11,13;13,62;3,18;193,19;2015;aout
2015-09;74,39;72,90;7,23;1,66;10,80;12,25;2,84;182,07;2015;sept
2015-10;74,08;59,40;5,72;1,83;11,65;12,81;3,04;168,53;2015;oct
2015-11;72,35;66,34;7,65;1,53;12,09;11,57;2,90;174,42;2015;nov
2015-12;77,54;71,67;7,23;1,74;12,37;11,53;2,91;184,98;2015;dec
2016-01;80,541;78,872;11,8;1,625;12,859;5,702;4,339;195,71;2016;janv
2016-02;72,399;65,907;12,5;1,662;12,661;5,390;3,725;174,21;2016;fev
2016-03;77,097;58,072;13,8;1,774;12,221;5,814;2,992;171,75;2016;mars
2016-04;73,932;80,423;14,3;1,652;12,949;5,596;2,871;191,72;2016;avril
2016-05;77,629;79,791;14,5;1,645;8,982;4,877;2,948;190,36;2016;mai
2016-06;71,383;81,716;12,8;1,564;7,665;4,581;2,797;182,49;2016;juin
2016-07;68,855;87,553;14,4;1,344;5,957;4,936;2,800;185,83;2016;juill
2016-08;71,210;84,605;14,1;1,521;5,581;5,200;2,636;184,89;2016;aout
2016-09;71,579;75,375;13,1;1,607;3,114;4,873;2,477;172,10;2016;sept
2016-10;74,426;69,816;13,2;1,824;3,064;4,970;2,646;169,95;2016;oct
2016-11;69,551;73,214;12,2;1,588;8,160;3,401;2,512;170,59;2016;nov
2016-12;72,273;75,494;12,0;1,427;11,207;3,594;2,581;178,58;2016;dec
2017-01;74,073;81,732;13,3;1,291;10,698;4,167;2,619;187,92;2017;janv
2017-02;62,802;70,022;10,4;1,332;10,687;3,329;2,357;160,95;2017;fev
2017-03;70,565;69,724;11,0;1,786;10,082;4,216;2,374;169,71;2017;mars
2017-04;72,692;70,183;10,2;1,541;8,868;3,847;2,448;169,82;2017;avril
2017-05;71,021;71,097;4,1;1,34;8,648;3,501;2,656;162,41;2017;mai
2017-06;39,297;65,162;0,0;1,341;7,536;3,294;2,547;119,18;2017;juin
2017-07;31,384;60,732;0,0;1,215;6,764;3,585;2,492;106,17;2017;juill
2017-08;15,859;65,071;0,055;1,285;5,783;3,387;3,031;94,47;2017;aout
2017-09;67,278;69,4;7,559;1,201;5,214;3,198;2,82;156,67;2017;sept
2017-10;74,287;71,366;8,936;1,399;4,259;3,879;2,757;166,88;2017;oct
2017-11;75,048;67,635;14,612;1,09;4,761;2,908;2,581;168,64;2017;nov
2017-12;74,377;69,951;13,116;1,193;4,4;2,466;2,87;168,37;2017;dec
2018-01;72,701;69,352;15,194;1,290;2,708;2,400;2,681;166,33;2018;janv
2018-02;63,436;57,136;10,602;1,195;2,721;2,869;2,381;140,34;2018;fev
2018-03;69,311;67,202;14,710;1,423;3,063;2,755;2,599;161,06;2018;mars
