Date;Cherouq;Bir  Ben Tartar;Dorra;Echouech;Sanhar;Ch.Essaida;Jbel Grouz;M.L.D;Ouedzar;El borma;Adam;Anakid Est;Jinene;Total;Year;Month
2010-01;32,2;0,57;0;0;0,26;4,14;1,46;8,84;31,12;37,28;49,62;0;0;165,49;2010;janv
2010-02;28,02;0,53;0;0,04;0,57;3,67;1,3;7,87;27,61;32,8;41,35;0;0;143,76;2010;fev
2010-03;29,68;0,68;0;0,47;0,48;3,58;1,43;7,99;29,71;35,42;41,21;0;0;150,65;2010;mars
2010-04;27,1;0;0;0,49;0,69;3,61;2,81;9,3;27,56;35,5;40,82;0;0;147,88;2010;avril
2010-05;27,13;1,18;0;0,31;0,09;5,17;5,78;8,09;27,65;34,23;35,27;0;0;144,90;2010;mai
2010-06;23,87;0,51;0;0,28;0,38;5,17;5,07;7,58;24,4;35,45;32,95;0;0;135,66;2010;juin
2010-07;22,45;0,47;0;0,29;0,38;6,45;4,64;7,61;24,44;35,7;31,35;0;0;133,78;2010;juill
2010-08;28,44;0,14;0;0,52;0,38;6,12;3,93;5,41;23,15;36,49;30,72;0;0;135,30;2010;aout
2010-09;28,42;0,35;0;0,43;0,35;5,94;3,14;4,53;21,94;36,97;31,51;0;0;133,58;2010;sept
2010-10;28,43;0,44;0;0,41;0,1;6,51;2,88;4,43;24,11;35,02;38,03;0;0;140,36;2010;oct
2010-11;25,85;0,38;0;0,35;0,18;5,56;2,95;5,14;23,12;31,17;35,9;0;0;130,60;2010;nov
2010-12;26,98;0,36;0;0,44;0,33;3,37;3,31;4,94;23,24;32,08;35,9;0;0;130,95;2010;dec
2011-01;27,84;0,35;0;0,34;0,34;3,23;3,19;4,73;23,93;31,83;35,93;0;0;131,71;2011;janv
2011-02;34,14;0,31;0;0,39;0,33;3,56;2,82;5,19;20,72;27,06;31,72;0;0;126,24;2011;fev
2011-03;38,01;0,32;0;0,43;0,35;3,79;3,07;6,41;20,48;30,45;34,67;0;0;137,98;2011;mars
2011-04;35,79;0,17;0;0,43;0,32;3,32;2,95;6,05;16,41;29,02;33,09;0;0;127,55;2011;avril
2011-05;25,98;0,16;0;0,51;0,28;3,29;3;6,81;17,43;29,7;32,36;0;0;119,52;2011;mai
2011-06;20,83;6,88;0;0,31;0,31;2,88;2,83;6,84;16,57;31,37;30,21;0;0;119,03;2011;juin
2011-07;27,14;6,66;0;0,5;0,32;2,51;2,85;6,98;17,28;30,08;29,52;0;0;123,84;2011;juill
2011-08;25,98;6,28;7,64;0,43;0,31;3,03;2,77;6,85;17,17;29,43;28,08;0;0;127,97;2011;aout
2011-09;21,84;5,91;6,6;0,37;0,3;2,96;2,69;7,91;17,08;26,27;26,62;0;0;118,55;2011;sept
2011-10;19,44;6,23;4,75;0,39;0,3;4,19;2,71;9,32;18,41;29,72;26,47;0;0;121,93;2011;oct
2011-11;19,19;8,62;2,7;0,38;0,3;5;2,5;8,5;17,41;28,87;21,09;0;0;114,56;2011;nov
2011-12;23,9;9,52;1,49;0,39;0,31;5,48;1,41;9,05;17,2;29,76;22,39;0;0;120,90;2011;dec
2012-01;28,01;8,83;1,27;0,34;0,32;5,33;2,12;9,07;19,36;28,85;28,17;0;0;131,67;2012;janv
2012-02;27,78;7,86;1,09;0,42;0,3;4,36;2,44;9,86;17,55;28,11;25,86;0;0;125,63;2012;fev
2012-03;42,23;8,24;2,3;0,4;0,32;4,42;3,05;9,65;18,43;29,14;26,22;0;0;144,40;2012;mars
2012-04;33,92;8,37;5,91;0,37;0,29;3,06;1,19;11,16;18,44;26,94;21,69;0;0;131,34;2012;avril
2012-05;30,38;8,25;4;0,38;0,22;2,35;1,56;10,46;19,08;29,84;25,76;0;1,04;133,32;2012;mai
2012-06;29,45;7,41;3,84;0,35;0,24;2,64;1,62;9,82;17,16;26,91;28,91;0;1,52;129,87;2012;juin
