Date;Barka;Maamoura;Béni khalled;Oudna;Total;Year;Month
2010-01;0;3,19;0;12,07;15,26;2010;janv
2010-02;0;8,11;0;10,98;19,09;2010;fev
2010-03;0;10,18;0,36;10,85;21,39;2010;mars
2010-04;0;12,52;0,64;11,1;24,26;2010;avril
2010-05;4,21;13,69;0,24;10,23;28,37;2010;mai
2010-06;16,55;9,37;0,22;10,23;36,37;2010;juin
2010-07;17,56;12,38;0,12;10,45;40,51;2010;juill
2010-08;27,5;10,24;0,1;9,85;47,69;2010;aout
2010-09;23,69;9,17;0,27;9,6;42,73;2010;sept
2010-10;22,9;8,61;0,24;9,78;41,53;2010;oct
2010-11;21,24;8;0,22;8,87;38,33;2010;nov
2010-12;19,05;8,05;0,22;8,85;36,17;2010;dec
2011-01;14;6,62;0,22;8,51;29,35;2011;janv
2011-02;15,17;6,77;0,21;7,47;29,62;2011;fev
2011-03;15,82;7,1;0,23;7,63;30,78;2011;mars
2011-04;13,65;6,64;0,22;8,28;28,79;2011;avril
2011-05;13,01;6,57;0,23;8,22;28,03;2011;mai
2011-06;10,4;6,94;0;7,45;24,79;2011;juin
2011-07;6,72;7,28;0,02;7,86;21,88;2011;juill
2011-08;6,28;7,11;0,2;7,34;20,93;2011;aout
2011-09;5,91;6,7;0,35;6,63;19,59;2011;sept
2011-10;5,14;5,41;0;6,38;16,93;2011;oct
2011-11;11,61;6,13;0,18;6,08;24;2011;nov
2011-12;11,21;6,22;0,1;6,36;23,89;2011;dec
2012-01;7,54;6,15;0,27;6,19;20,15;2012;janv
2012-02;3,51;5,45;0,22;5,49;14,67;2012;fev
2012-03;0,8;4,84;0,16;1,74;7,54;2012;mars
2012-04;2,32;4,58;0,24;0;7,14;2012;avril
2012-05;3,39;4,56;0,22;0;8,17;2012;mai
2012-06;2,03;4,58;0,19;0;6,8;2012;juin
2012-07;0,5;4,66;0,11;0;5,27;2012;juill
2012-08;1,06;4,5;0,03;0;5,59;2012;aout
2012-09;8,88;4,67;0,28;0;13,83;2012;sept
2012-10;12,21;4,69;0,22;0;17,12;2012;oct
2012-11;11,39;3,75;0,18;0;15,32;2012;nov
2012-12;9,46;4,31;0,17;0;13,94;2012;dec
2013-01;7,189;4,304;0,174;0;11,667;2013;janv
2013-02;6,868;3,95;0,156;0;10,974;2013;fev
2013-03;6,985;4,352;0,274;0;11,611;2013;mars
2013-04;6,082;4,146;0,166;0;10,394;2013;avril
2013-05;7,174;5,089;0,347;0;12,61;2013;mai
2013-06;5,239;3,775;0,113;0;9,127;2013;juin
2013-07;5,301;3,89;0,136;0;9,327;2013;juill
2013-08;6,53;3,753;0,226;0;10,509;2013;aout
2013-09;5,757;3,605;0,208;0;9,57;2013;sept
2013-10;5,753;3,09;0,331;0;9,174;2013;oct
2013-11;1,645;3,259;0;0;4,904;2013;nov
2013-12;2,269;3,057;0;0;5,326;2013;dec
2014-01;2,74;3,33;0,23;0,00;6,30;2014;janv
2014-02;2,71;3,15;0,18;0,00;6,04;2014;fev
2014-03;6,32;3,29;0,18;0,00;9,79;2014;mars
2014-04;6,45;2,99;0,18;0,00;9,62;2014;avril
2014-05;3,86;4,33;0,18;0,00;8,37;2014;mai
2014-06;3,44;4,20;0,18;0,00;7,82;2014;juin
2014-07;4,40;3,87;0,19;0,00;8,47;2014;juill
2014-08;4,67;3,79;0,17;0,00;8,63;2014;aout
2014-09;5,21;2,03;0,15;0,00;7,38;2014;sept
2014-10;5,29;2,51;0,03;0,00;7,83;2014;oct
2014-11;5,66;2,17;0,03;0,00;7,87;2014;nov
2014-12;6,31;1,86;0,00;0,00;8,17;2014;dec
2015-01;6,4;1,9;0,2;0,0;8,47;2015;janv
2015-02;5,6;2,4;0,1;0,0;8,10;2015;fev
2015-03;5,7;3,7;0,0;0,0;9,42;2015;mars
2015-04;7,8;3,7;0,2;0,0;11,67;2015;avril
2015-05;7,9;3,9;0,2;0,0;11,97;2015;mai
2015-06;7,4;3,9;0,0;0,0;11,30;2015;juin
2015-07;7,4;3,5;0,0;0,0;10,92;2015;juill
2015-08;7,1;3,8;0,2;0,0;11,13;2015;aout
2015-09;7,3;3,3;0,2;0,0;10,80;2015;sept
2015-10;7,4;4,1;0,2;0,0;11,65;2015;oct
2015-11;6,8;5,3;0,0;0,0;12,09;2015;nov
2015-12;6,6;5,8;0,0;0,0;12,37;2015;dec
2016-01;6,53;6,09;0,24;0,00;12,86;2016;janv
2016-02;7,11;5,43;0,12;0,00;12,66;2016;fev
2016-03;6,39;5,64;0,19;0,00;12,22;2016;mars
2016-04;7,28;5,55;0,12;0,00;12,95;2016;avril
2016-05;7,89;1,09;0,00;0,00;8,98;2016;mai
2016-06;6,87;0,79;0,00;0,00;7,67;2016;juin
2016-07;5,17;0,70;0,10;0,00;5,96;2016;juill
2016-08;4,75;0,64;0,19;0,00;5,58;2016;aout
2016-09;2,65;0,29;0,17;0,00;3,11;2016;sept
2016-10;1,70;1,21;0,16;0,00;3,06;2016;oct
2016-11;3,74;4,28;0,14;0,00;8,16;2016;nov
2016-12;6,22;4,86;0,13;0,00;11,21;2016;dec
2017-01;5,58;5,00;0,12;0,00;10,70;2017;janv
2017-02;5,46;5,12;0,11;0,00;10,69;2017;fev
2017-03;4,20;5,80;0,08;0,00;10,08;2017;mars
2017-04;3,02;5,73;0,12;0,00;8,87;2017;avril
2017-05;2,67;5,86;0,12;0,00;8,65;2017;mai
2017-06;1,84;5,61;0,09;0,00;7,54;2017;juin
2017-07;1,84;4,84;0,09;0,00;6,76;2017;juill
2017-08;0,94;4,73;0,12;0,00;5,78;2017;aout
2017-09;0,86;4,26;0,09;0,00;5,21;2017;sept
2017-10;0,29;3,87;0,10;0,00;4,26;2017;oct
2017-11;0,40;4,27;0,09;0,00;4,76;2017;nov
2017-12;0,21;4,14;0,05;0,00;4,40;2017;dec
2018-01;0,38;2,23;0,09;0,00;2,71;2018;janv
2018-02;0,24;2,41;0,08;0,00;2,72;2018;fev
2018-03;0,17;2,80;0,09;0,00;3,06;2018;mars
2018-04;0,13;2,79;0,09;0,00;3,01;2018;avril
2018-05;0,14;2,42;0,09;0,00;2,65;2018;mai
2018-06;0,31;2,40;0,08;0,00;2,79;2018;juin
2018-07;0,33;2,22;0,02;0,00;2,57;2018;juill
2018-08;0,25;2,03;0,08;0,00;2,35;2018;aout
2018-09;0,30;2,08;0,08;0,00;2,46;2018;sept
2018-10;0,04;1,67;0,08;0,00;1,79;2018;oct
2018-11;0,10;2,12;0,08;0,00;2,30;2018;nov
2018-12;0,55;2,28;0,08;0,00;2,92;2018;dec
2019-01;0,54;2,24;0,14;0,00;2,92;2019;janv
2019-02;0,38;1,76;0,07;0,00;2,21;2019;févr
2019-03;0,00;1,02;0,01;0,00;1,03;2019;mars
2019-04;0,00;1,14;0,07;0,00;1,21;2019;avril
2019-05;0,28;2,32;0,08;0,00;2,67;2019;mai
2019-06;0,42;1,37;0,06;0,00;1,85;2019;juin
2019-07;0,48;2,47;0,07;0,00;3,03;2019;juill
2019-08;0,41;1,36;0,07;0,00;1,84;2019;aout
2019-09;0,00;1,81;0,08;0,00;1,88;2019;sept
2019-10;0,00;1,23;0,07;0,00;1,31;2019;oct
2019-11;0,00;2,13;0,07;0,00;2,20;2019;nov
2019-12;1,36;2,33;0,07;0,00;3,76;2019;dec
;;;;;;;
