Date;Sabria;D Sondes;Gherib;Franig/Bag/Tarfa;Total;Year;Month
2010-01;1,95;;;9,03;10,98;2010;janv
2010-02;1,59;;;3,64;5,23;2010;fev
2010-03;1,69;;;6,73;8,42;2010;mars
2010-04;1,77;;;7,6;9,37;2010;avril
2010-05;1,44;;;6,44;7,88;2010;mai
2010-06;1,51;;;6,68;8,19;2010;juin
2010-07;1,54;;;6,46;8;2010;juill
2010-08;1,54;;;6,12;7,66;2010;aout
2010-09;1,51;;;5,8;7,31;2010;sept
2010-10;1,49;;;5,91;7,4;2010;oct
2010-11;1,31;;;5,49;6,8;2010;nov
2010-12;1,33;;;5,53;6,86;2010;dec
2011-01;1,31;;;5,29;6,6;2011;janv
2011-02;1,02;;;4,63;5,65;2011;fev
2011-03;1,3;;;4,42;5,72;2011;mars
2011-04;1,24;;;2,04;3,28;2011;avril
2011-05;1,24;;;3,33;4,57;2011;mai
2011-06;1,22;;;1,54;2,76;2011;juin
2011-07;1,27;;;1,63;2,9;2011;juill
2011-08;1,24;;;4,57;5,81;2011;aout
2011-09;1,2;;;2,44;3,64;2011;sept
2011-10;1,26;;;3,89;5,15;2011;oct
2011-11;1,18;;;4,23;5,41;2011;nov
2011-12;1,26;;;4,21;5,47;2011;dec
2012-01;1,24;;;4,06;5,3;2012;janv
2012-02;1,18;;;3,57;4,75;2012;fev
2012-03;1,31;;;3,67;4,98;2012;mars
2012-04;1,31;;;3,25;4,56;2012;avril
2012-05;1,33;;;3,07;4,4;2012;mai
2012-06;1,25;;;2,72;3,97;2012;juin
2012-07;1,26;;;2,66;3,92;2012;juill
2012-08;1,23;;;2,71;3,94;2012;aout
2012-09;1,2;;;2,59;3,79;2012;sept
2012-10;1,25;;;2,58;3,83;2012;oct
2012-11;1,2;;;2,49;3,69;2012;nov
2012-12;1,26;;;2,29;3,55;2012;dec
2013-01;1,077;;;2,254;3,331;2013;janv
2013-02;1,128;;;2,13;3,258;2013;fev
2013-03;1,226;;;2,336;3,562;2013;mars
2013-04;1,174;;;2,045;3,219;2013;avril
