Enonce-de-projet,La-nature-d-entreprise,Qualite-des-interventions,Cout,Parties-contributrices
تهيئة و صيانة المكتبة  العمومية بالشابة,مكتبة عمومية,صيانة و تعهد,547000, معطل بسبب إشكال عقاري
صيانة المكتبة العمومية بالسواسي,مكتبة عمومية,صيانة و تعهد,400000, معطل بسبب إشكال عقاري
مشروع صيانة و تعهد دار الثقافة قصور الساف مع هدم و إعادة بناء قاعة العروض,دار ثقافة  صنف 1,صيانة و تعهد,0, معطل بسبب إشكال عقاري
تهيئة شاملة و صيانة دار الثقافة رجيش,دار ثقافة صنف 2,صيانة و تعهد,500000, معطل بسبب إشكال عقاري
تهيئة شاملة و صيانة المكتبة العمومية رجيش,مكتبة عمومية,صيانة و تعهد,0, في طور الدراسة الفنية
تهيئة شاملة و صيانة دار الثقافة بومرداس,دار ثقافة صنف 2,صيانة و تعهد,650000, معطل بسبب إشكال عقاري
صيانة دار الثقافة الجم,دار ثقافة صنف 2,صيانة و تعهد,570000, في طور الدراسة الفنية
صيانة الشبكة الكهربائية و تركيب كاميرا المراقبة بدار الثقافة ابن الهاني,دار ثقافة  صنف 1,صيانة و تعهد,130000,في طور الفرز
تعهد و صيانة المكتبة العمومية سيدي علوان ,مكتبة عمومية,صيانة و تعهد,150000, معطل بسبب إشكال عقاري
صيانة المكتبة العمومية بالجم,مكتبة عمومية,صيانة و تعهد,300000, معطل بسبب إشكال عقاري
تهيئة  و صيانة المكتبة العمومية بشربان,مكتبة عمومية,صيانة و تعهد,250000, معطل بسبب إشكال عقاري
تعهد و صيانة المكتبة العمومية بهبيرة,مكتبة عمومية,صيانة و تعهد,32000, معطل بسبب إشكال عقاري
تعهد و صيانة المكتبة العمومية للأطفال  بقصور الساف ,مكتبة عمومية,صيانة و تعهد,37000, في طور الدراسة الفنية
اختبار فني لبناية دار الثقافة أولاد الشامخ,دار ثقافة صنف 2,صيانة و تعهد,0,في طور الفرز
تعهد و صيانة المكتبة العموميةبكركر,مكتبة عمومية,صيانة و تعهد,0,
