Nom,Montant ,Parties_ participantes
Bibliothéque régional ,9377200,Ministere -Conseil régional
Bibliothéque public menzel temim _ section enfant ,8056300,Ministere -Conseil régional
Bibliothéque public Hamammet ,28095900,Ministere -Conseil régional
Maison de culture Nabeul,13090,Ministere -Conseil régional
Maison de culture Tazerka,14829400,Ministere -Conseil régional
Maison de culture Menzel Temim ,19278,Ministere -Conseil régional
Maison de culture Hawaria ,8234800,Ministere -Conseil régional
Bibliothéque public Grombalia ,12560450,Ministere -Conseil régional
Bibliothéque public Menzel Bouzelfa ,45612700,Ministere -Conseil régional
Bibliotheque public OM Thewil,9055900,Ministere -Conseil régional
