Date;Redevance perçue en nature, en ktep;Redevance rétrocédée et perçue en espèce, en ktep;Redevance Totale, en ktep
2005;653.92;520.94;1174.86
2006;897.75;252.9;1150.65
2007;844.9;149;993.9
2008;899.53;202.1;1101.63
2009;717.31;212.5;929.81
2010;705.81;469.01;1174.82
2011;671.16;288.28;959.44
2012;736.66;187.71;924.37
2013;476.99;81.65;558.64
2014;253.99;45.06;299.05
2015;260.34;56.18;316.52
2016;472.56;357.44;830
2017;658.28;173.86;832.14
2018;631.57;116.67;748.24
2019;410.09;34.69;444.78
2020;418.9935636;110.81265224148;529.80621584148
2021;865.3202388;113.11159653864;978.43183533864
2022;722.6537418;334.40377597956;1057.05751777956
2023;694.907304123853;308.211961762764;1003.11926588662
