Societe;Agence;Nom de la station;Proprietaire de la station;lon;lat;joindre des photos;Type de la station;Type de mobilier;Existence de bancs;Existence eclairage;Existence poubelle;Existence acces PMR;Type TNRP;Commune;Delegation;Gouvernorat;Code-Station
SNTRI;;El faouar;;8.67497;33.355401666667;media\1584444075737.jpg;Station_Bus;autre;no;no;no;no;;;Faouar;Kebili;6356SB000
SNTRI;;Zafrana douz;;8.9223183333333;33.444023333333;media\1584442736359.jpg;Arret_Bus;autre;no;no;no;no;;;Douz Sud;Kebili;6355AB001
SNTRI;;Guidma douz;;8.8181716666667;33.430941666667;media\1584443269697.jpg;Arret_Bus;autre;no;no;no;no;;;Douz Sud;Kebili;6355AB000
SNTRI;;Douze;Station-sntri;9.0225916666667;33.458141666667;media\1584442006732.jpg;Station_Bus;autre;no;no;no;no;;;Douz Nord;Kebili;6354SB000
SNTRI;;Steftimi;Station-sntri;8.7581616666667;33.79623;media\1584434507064.jpg;Station_Bus;autre;no;no;no;no;;;Souk El Ahed;Kebili;6353SB001
SNTRI;;Souklahad;Station-sntri;8.851225;33.778293333333;media\1584435693253.jpg;Station_Bus;autre;no;no;no;no;;;Souk El Ahed;Kebili;6353SB000
TNRP;Kebili;Station de transport rurale a kebili nord;Commune  de kebili;8.965702056885;33.708543844168;E:\portail open data transport\référentiel des arrets\PHOTOS\/131//mdc_photo_mdc_4de6c4_mdc_180f0c_20200924_092111_1601626116988.jpg. E:\portail open data transport\référentiel des arrets\PHOTOS\/131//mdc_photo_mdc_c89724_mdc_8c7717_20200924_092232_1601626116988.jpg;Station_TNRP;Batiment;yes;yes;yes;yes;;Kebili;kebili Nord ;Kebili;6352ST002
TNRP;Kebili;Station de louage a kebili;ATTT Kebili;8.979825;33.725853333333;E:\portail open data transport\référentiel des arrets\PHOTOS\mdc_photo_mdc_01037d_20200924_091052_160094062Station_TNRP591.jpg. E:\portail open data transport\référentiel des arrets\PHOTOS\mdc_photo_mdc_0Station_TNRPe9c2_20200924_090Station_TNRP1Station_TNRP_160094062Station_TNRP591.jpg. E:\portail open data transport\référentiel des arrets\PHOTOS\mdc_photo_mdc_5259f9_20200924_090754_160094062Station_TNRP592.jpg. E:\portail open data transport\référentiel des arrets\PHOTOS\722/mdc_photo_mdc_a57afa_20200924_090947_160094062Station_TNRP592.jpg. E:\portail open data transport\référentiel des arrets\PHOTOS\722/mdc_photo_mdc_274c40_20200924_090Station_TNRP33_160094062Station_TNRP592.jpg. E:\portail open data transport\référentiel des arrets\PHOTOS\722/mdc_photo_mdc_c417f4_20200924_090902_160094062Station_TNRP592.jpg;Station_TNRP;Batiment;yes;yes;yes;yes;TNRP_Louage;Kebili;kebili Nord ;Kebili;6352ST001
TNRP;Kebili;Station de taxi a kebili ;Route de commune de kebili ;8.969926666667;33.705771666667;E:\portail open data transport\référentiel des arrets\PHOTOS\mdc_photo_mdc_bStation_TNRP06bb_20200924_095234_1600966207141.jpg. E:\portail open data transport\référentiel des arrets\PHOTOS\mdc_photo_mdc_6703b9_20200924_095231_1600966207142.jpg. E:\portail open data transport\référentiel des arrets\PHOTOS\mdc_photo_mdc_155405_20200924_095244_1600966207142.jpg;Station_TNRP;Autre;no;yes;yes;no;;Kebili;Kebili Nord;Kebili;6352ST000
TNRP;Kebili;Station bus kebili;ATTT a kebili;8.979891639974;33.725877764268;E:\portail open data transport\référentiel des arrets\PHOTOS\mdc_photo_mdc_1e4916_20200924_091159_1600953518813.jpg. E:\portail open data transport\référentiel des arrets\PHOTOS\mdc_photo_mdc_8145ef_20200924_091228_1600953518814.jpg. E:\portail open data transport\référentiel des arrets\PHOTOS\mdc_photo_mdc_6afa23_20200924_091231_1600953518814.jpg. E:\portail open data transport\référentiel des arrets\PHOTOS\725/mdc_photo_mdc_7a84cb_20200924_091239_1600953518814.jpg. E:\portail open data transport\référentiel des arrets\PHOTOS\725/mdc_photo_mdc_98d031_20200924_091244_1600953518814.jpg. E:\portail open data transport\référentiel des arrets\PHOTOS\725/mdc_photo_mdc_5b7b38_20200924_091318_1600953518814.jpg. E:\portail open data transport\référentiel des arrets\PHOTOS\725/mdc_photo_mdc_9234ad_20200924_091308_1600953518814.jpg. E:\portail open data transport\référentiel des arrets\PHOTOS\725/mdc_photo_mdc_037e16_20200924_091310_1600953518814.jpg. E:\portail open data transport\référentiel des arrets\PHOTOS\725/mdc_photo_mdc_288308_20200924_091326_1600953518814.jpg;Station_Bus;Batiment;yes;yes;yes;yes;;Kebili;kebili Nord ;Kebili;6352SB001
SNTRI;;Limagueze;Station-sntri;9.0805916666667;33.766663333333;media\1584437642280.jpg;Station_Bus;autre;no;no;no;no;;;kebili Nord ;Kebili;6352SB000
SNTRI;;Kebili;Station-sntri;8.9798216666667;33.726096666667;media\1584438331399.jpg;Gare_Routière;autre;yes;yes;yes;yes;;;kebili Nord ;Kebili;6352GR000
SNTRI;;Ain ben ahmed;Station-sntri;9.29810047149658;33.7533988952637;;Autre;autre;no;no;no;no;;;kebili Nord ;Kebili;6352AA000
TNRP;Kebili;Station de transport rurale a kebili sud;Commune de kebili;8.967536687851;33.701135765071;E:\portail open data transport\référentiel des arrets\PHOTOS\/132//mdc_photo_mdc_511e3e_20200924_092748_1601626583627.jpg. E:\portail open data transport\référentiel des arrets\PHOTOS\/132//mdc_photo_mdc_bde093_20200924_092835_1601626583627.jpg. E:\portail open data transport\référentiel des arrets\PHOTOS\/132//mdc_photo_mdc_0c2078_20200924_093011_1601626583627.jpg. E:\portail open data transport\référentiel des arrets\PHOTOS\/132//mdc_photo_mdc_607a5d_20200924_092935_1601626583627.jpg. E:\portail open data transport\référentiel des arrets\PHOTOS\/132//mdc_photo_mdc_02c2ce_20200924_092949_1601626583627.jpg. E:\portail open data transport\référentiel des arrets\PHOTOS\/132//mdc_photo_mdc_96f603_20200924_093022_1601626583627.jpg;Station_TNRP;Batiment;yes;yes;yes;yes;;Kebili;Kebili Sud;Kebili;6351ST000
SNTRI;;Jemna;Station-Sntri;9.0135683333333;33.57004;media\1584441235968.jpg;Arret_Bus;autre;no;no;no;no;;;Kebili Sud;Kebili;6351AB000
SNTRI;;Hazoua;Station-sntri;7.58949;33.734066666667;media\1584423931771.jpg;Station_Bus;autre;no;no;no;no;;;Hazoua;Tozeur;6255SB000
SNTRI;;Nafta;;7.8882566666667;33.87251;media\1584425813677.jpg;Station_Bus;autre;no;no;no;no;;;Nefta;Tozeur;6254SB000
SNTRI;;Tamaghza;Station-sntri;7.9362233333333;34.387123333333;media\1584374147528.jpg;Station_Bus;autre;no;no;no;no;;;Tamaghza;Tozeur;6253SB000
SNTRI;;Krize;Station-sntri;8.2473016666667;34.008633333333;media\1584431051501.jpg;Station_Bus;autre;no;no;no;no;;;Degueche;Tozeur;6252SB002
SNTRI;;Hamet el jerid;Station-sntri;8.1708683333333;33.99737;media\1584378451289.jpg;Station_Bus;autre;no;no;no;no;;;Degueche;Tozeur;6252SB001
SNTRI;;Degueche;Station-sntri;8.2186883333333;33.985833333333;media\1584430657921.jpg;Station_Bus;autre;no;no;no;no;;;Degueche;Tozeur;6252SB000
SNCFT;UAGL;Le Kriz;Société Nationale des Chemins de Fer Tunisiens;8.24303992;34.03312354;;Pleine ligne;;;;;;;;Degueche;Tozeur;6252PL000
SNCFT;UAGL;Degueche;Société Nationale des Chemins de Fer Tunisiens;8.21327222;33.98685649;;Marchandise et UAGL;;;;;;;;Degueche;Tozeur;6252MU000
TNRP;Rural;Rural;Tozeur;8.1308173;33.923420783333;E:\portail open data transport\référentiel des arrets\PHOTOS\mdc_photo_mdc_f23903_1600331075663_1600331150859.jpg;Station_TNRP;Abri;no;no;no;no;TNRP_Rural;Tozeur;Tozeur;Tozeur;6251ST001
TNRP;Tozeur;Louage;Tozeur;8.130527683333;33.9228913;E:\portail open data transport\référentiel des arrets\PHOTOS\mdc_photo_mdc_0c458f_1600332979880_1600332995585.jpg. E:\portail open data transport\référentiel des arrets\PHOTOS\mdc_photo_mdc_4f69e6_1600332990345_1600332995585.jpg;Station_TNRP;Batiment;no;no;yes;yes;TNRP_Louage;Tozeur;Tozeur;Tozeur;6251ST000
SNCFT;UAGL;Tozeur;Société Nationale des Chemins de Fer Tunisiens;8.13578075;33.92655473;;Marchandise et UAGL;;yes;yes;yes;yes;;;Tozeur;Tozeur;6251MU000
