gov_name_f,gov_id,"musees,sites et monuments",Visites
Tunis,11,Dar ben abdalah,
Tunis,11,Musée de Carthage,34683
Tunis,11,Musée Romain,663
Tunis,11,Torbet el Bey,
Tunis,11,Musée de Bardo,39501
Tunis,11,Stade Romain,1674
Tunis,11,Thermes d'Antonin,31407
Tunis,11,Tophet Salombo,6786
Tunis,11,Villas Romains,1729
Tunis,11,Musée Chrétien ,
Ariana,12,,
Ben Arous,13,Oudhna,6081
Manubah,14,,
Nabeul,15,Musée de Kairkouane,5160
Nabeul,15,Musée de Nabeul,1108
Nabeul,15,Borj Kelibia,10700
Nabeul,15,site Niapolis,252
Nabeul,15,Haouaria,2281
Nabeul,15,Pupput Hammet,296
Nabeul,15,Borj Hammamet,5667
Zaghouan,16,Tuburbo Majus,1654
Bizerte,17,Utique,2019
Béja,21,site Dougga,11329
Jendouba,22,Bulla Régia,2646
Jendouba,22,Chemtou,258
Le Kef,23,ATP Kef,533
Siliana,24,Makthar,485
Sousse,31,Musée de Sousse,11376
Sousse,31,Musée enfidha,
Sousse,31,Ribat sousse,7621
Sousse,31,Mosquée Sousse,1660
Sousse,31,les catacombes ,
Monastir,32,ATP Monastir,270
Monastir,32,Musée de Moknine,
Monastir,32,Ribat Monastir,7244
Monastir,32,Musée skanes,5242
Monastir,32,Lamta,163
Mahdia,33,Musée el jem,2852
Mahdia,33,Palais el Jem,60054
Mahdia,33,Musée el Mehdia,1188
Mahdia,33,Borj el mahdia,2905
Mahdia,33,Musée Salacta,103
Sfax,34,ATP,908
Sfax,34, kasba Sfax,760
Sfax,34,Musée  de sfax,2
Kairouan,41,sidi amor abeda,
Kairouan,41,Raqqada,97
Kairouan,41,Abou zoumaa el Balaoui,589
Kairouan,41,les Bassins Aghlabites,15311
Kairouan,41,Barouta,
Kairouan,41,Sidi Abid,
Kairouan,41,Mosquée Okba ,3309
Kassérine,42,Sbeitla,4184
Sidi Bou Zid,43,,
Gabès,51,ATP Gabes,
Médenine,52,ATP DJERBA,1285
Médenine,52,Musée de Zarzis,76
Médenine,52,Gightis,338
Médenine,52,Borj ghazi mustaf,6176
Médenine,52,,
Tataouine,53,,
Gafsa,61,Musée de Gafsa,59
Gafsa,61,les Escorgotières,4
Tozeur,62,,
Kebili,63,ATP Douz,440
