1;2;3;4;5;6;7;8;9;10;11;12;13;14
Tunis;;;;;;;;;;;;;
District-Tunis;;1;;;;;;;;;;;
Nord-Est;;3;;;165;145;310;;;;;;
;8;"Centre Elmrij";1976;;0;60;60;"foréstiére/ désertique";;;;;
Nord-Ouest;;7;;;207;580;787;;;;;;
Sousse;12;"Centre El salloume";1999;73859001;30;100;130;Littoral;;;;;
Sfax;16;"Centre Erramela(karekna)";1986;74481148;80;0;80;Littoral;;;;;
;18;"Centre El cheaanbi";2008;;36;50;86;"foréstiére/ désertique";;;;;
Tataouine;21;"Centre El douirat";1996;;;;0;;;;;;
Kébili;22;"Centre Douz";1990;75473420;30;200;230;désertique;;;;;
Gouvernorat;NB;Etablissement;"Année de Création";Téléphone;"Capacité (Bâtiments)";"Capacité (Sous les tentes)";"Capacité (Total)";"Nature du Site";;;;;
Manouba;1;"Centre El hbibia";1989;;;;;;;;;;
Bizerte;3;"Centre Chat mami";;72447235;30;45;75;"foréstiére/ littoral";;;;;
;4;"Centre Errimal";;72440819;95;0;95;"foréstiére/ littoral";;;;;
;7;"Centre Beni Mtir";;78649200;100;0;100;"foréstiére/ désertique";;;;;
;11;"Centre Ain bousaadia";1989;;32;100;132;"foréstiére/ désertique";;;;;
Mahdia;15;"Centre El douirat";2011;73643815;80;0;80;Littoral;;;;;
Kasserine;17;"Centre Ain selsla";1963;;60;70;130;"foréstiére/ désertique";;;;;
Médnine;20;"Centre Marsa el kssiba";1987;75719841;64;200;264;Littoral;;;;;
Tozeur;;;;;;;0;;;;;;
"Ben Arous";;;;;;;;;;;;;
Zaghouan;;;;;;;0;;;;;;
Jendouba;6;"Centre Ain Soltane";1976;78607588;60;190;250;"foréstiére/ désertique";;;;;
Siliana;10;"Centre El kesra";1989;;0;30;30;"foréstiére/ désertique";;;;;
;14;"Centre El fadhline";1978;;;;0;;;;;;
Kairouan;;;;;;;0;;;;;;
Gabès;19;"Centre El zaraat";1994;75300777;0;120;120;Littoral;;;;;
Gafsa;;;;;;;0;;;;;;
Total;22;;;;797;1625;2422;;;;;;
"Source: La direction de planification et d'évaluation (décembre 2017)";;;;;;;;;;;;;
Ariana;;;;;;;;;;;;;
Nabeul;2;"Centre Erraja";1976;72237225;40;100;140;"foréstiére/ littoral";;;;;
Béja;5;"Centre Zouaraa";;78456053;0;80;80;"foréstiére/ désertique";;;;;
"Le Kef";9;"Centre Sakiyet Sidi youssef";;;15;120;135;"foréstiére/ désertique";;;;;
Monastir;13;"Centre El bkalta";2010;73418148;45;160;205;Littoral;;;;;
Centre-Est;;5;;;235;260;495;;;;;;
"Sidi Bouzid";;;;;;;0;;;;;;
Centre-Ouest;;2;;;96;120;216;;;;;;
Sud-Est;;3;;;64;320;384;;;;;;
Sud-Ouest;;1;;;30;200;230;;;;;;
