Gouvernorat;Existant;"En Cours d'Execution ou d'Etude"
Manouba;3;_
Bizerte;3;_
Siliana;9;1
Mahdia;16;1
"Sidi Bouzid";15;1
Tataouine;2;2
Sud-Ouest;30;1
"Ben Arous";5;_
Zaghouan;12;1
Béja;3;1
Nord-Ouest;23;6
Sfax;7;1
Centre-Ouest;33;2
Sud-Est;32;5
Total;199;20
Ariana;0;2
Nabeul;7;1
Jendouba;6;3
Sousse;20;_
Centre-Est;50;2
Kairouan;4;_
Gabès;24;2
Gafsa;11;1
"Source: La direction de planification et d'évaluation (décembre 2017)";;
Tunis;1;_
District-Tunis;9;2
Nord-Est;22;2
"Le Kef";5;1
Monastir;7;_
Kasserine;14;1
Médnine;6;1
Tozeur;8;_
Kébili;11;_
