Gouvernorat;NB;Terrain;Localisation;"Date de Creation";Superficie;Capacite
Nabeul;4;"Citroce Hammamet";"Biir Bouraguba";1992;"170 Hk";"trou+9 trous pour les dbutants 36"
Jandouba;8;Tabarka;"Zone Touristique";1992;"110 Hk";"18 trous"
Nabeul;3;"Yassemine Hammamet";"Biir Bouraguba";1990;"80 Hk";"27  trous"
Monastir;7;"Palme linix Monastir";"Zone Touristique";1994;"80  Hk";"trou+9 trous pour les dbutants 18"
"Source: La direction de planification et d'evaluation (Janvier 2019)";;;;;;
Ariana;2;"Golf Carthage";"Chotrana 2";1993-1927;"29 Hk";"18 trous"
Monastir;6;"Flamengo Monastir";Monastir;1988;"80 Hk";"27 trous"
"Sous Total";;10;;;;
Tunis;1;"Terrain de Golf Gammarth";"Zone touristique";2008;"130 Hk";"36 trous"
Sousse;5;"Golf el Kantaoui";"El Kantaoui";1980;"132 Hk";"36 trous"
Mednine;9;Djerba;"Zone Touristique";1995;"101 Hk";"trou+9 trous pour les dbutants 18"
Tozeur;10;"Golf Oasis Tozeur";"Zone Touristique";2006;"150 Hk";"18 trous"
