Pays ;Nom;Nom de l'agent;Adresse ;TEL;FAX
Allemagne ;CTN Germany;;BERLINER STRASSE 31 - 35, D-65760 ESCHBORN (TAUNUS);00496196773060;004961967730622
;;;;;
;;;;;
;;;;;
Belgique ;Corsica Linea Bruxelles;Galerie AGORA;Rue marche aux herbes, 105, Grasmarkt, B10 bruxelles 1000 Brussel;0032 (0)25490880;0032 (0)25134137
;;;;;
;;Armando FARINA;cederlaan 14 B 2630 Artselaar;003232315650;003232313520
;;;;;
Espagne ;;Viajes Montesol;C/berlin, 16 08014 Barcelona;0034934910460;0034934091470
;;;;;
;;;;;
France;Corsica Linea Marseille ;;34 rue de ruffi 13003 Marseille ;0033491563010;0033491563586
;;;;;
;;;;;
Grande Bretagne ;Souther Ferries Travel LTD;;22 sussex Street london SW1V 4RW;00448448157785;00448448157795
;;;;;
;;;;;
Italie;Tirrenia / CIN Genes;;Piazzale de Traghetti IQBAL Masih 5 (NERO) - 16126 Genova;00390102698234;00390102698255
;;;;00390102698262;00390102698230
;Tirrenia / CIN Napoli;;Stazione maritima moloangioni;00390817201111;00390817207297
;;;;;
Suisse ;Avimare;;47, oerlikoner strasse, 8057 Zurich;0041443158075;0041443158078
;;;;;
;Air marin ;;9, rue de berne, P.O Box 1761 Geneve;0041229061800;0041227380943
;;;;;
