Date,nom_ar,nom_fr,unite,valeur
2025-06-19 10:00:00,سرعة الرياح,Vitesse du vent,m/s,3.79
2025-06-19 10:00:00,Pression atmosphérique,Pression atmosphérique,hPa,986.1
2025-06-19 10:00:00,Point de Rosée,Point de Rosée,°C,16.3
2025-06-19 10:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,1.41
2025-06-19 10:00:00,Humidité relative,Humidité relative,%,64.2
2025-06-19 10:00:00,درجة الحرارة,Température,°C,23.5
2025-06-19 10:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,7.0
2025-06-19 10:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,316.0
2025-06-19 10:00:00,اتجاه الرياح,Direction du vent,Deg,276.4
2025-06-19 08:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,621.0
2025-06-19 08:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,7.0
2025-06-19 08:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,1.41
2025-06-19 08:00:00,Pression atmosphérique,Pression atmosphérique,hPa,986.3
2025-06-19 08:00:00,Point de Rosée,Point de Rosée,°C,16.3
2025-06-19 08:00:00,Humidité relative,Humidité relative,%,68.1
2025-06-19 08:00:00,درجة الحرارة,Température,°C,22.5
2025-06-19 08:00:00,اتجاه الرياح,Direction du vent,Deg,292.8
2025-06-19 08:00:00,سرعة الرياح,Vitesse du vent,m/s,2.97
2025-06-19 06:00:00,Point de Rosée,Point de Rosée,°C,15.7
2025-06-19 06:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,7.0
2025-06-19 06:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,1.41
2025-06-19 06:00:00,سرعة الرياح,Vitesse du vent,m/s,0.95
2025-06-19 06:00:00,اتجاه الرياح,Direction du vent,Deg,259.4
2025-06-19 06:00:00,Pression atmosphérique,Pression atmosphérique,hPa,985.9
2025-06-19 06:00:00,درجة الحرارة,Température,°C,19.4
2025-06-19 06:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,73.0
2025-06-19 06:00:00,Humidité relative,Humidité relative,%,79.1
2025-06-19 05:00:00,اتجاه الرياح,Direction du vent,Deg,228.7
2025-06-19 05:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,1.0
2025-06-19 05:00:00,Pression atmosphérique,Pression atmosphérique,hPa,985.5
2025-06-19 05:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,1.41
2025-06-19 05:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,7.0
2025-06-19 05:00:00,سرعة الرياح,Vitesse du vent,m/s,2.04
2025-06-19 05:00:00,Point de Rosée,Point de Rosée,°C,15.5
2025-06-19 05:00:00,درجة الحرارة,Température,°C,19.2
2025-06-19 05:00:00,Humidité relative,Humidité relative,%,79.3
2025-06-19 04:00:00,سرعة الرياح,Vitesse du vent,m/s,0.57
2025-06-19 04:00:00,Point de Rosée,Point de Rosée,°C,14.9
2025-06-19 04:00:00,اتجاه الرياح,Direction du vent,Deg,219.7
2025-06-19 04:00:00,Humidité relative,Humidité relative,%,80.2
2025-06-19 04:00:00,درجة الحرارة,Température,°C,18.4
2025-06-19 04:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,7.0
2025-06-19 04:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,1.41
2025-06-19 04:00:00,Pression atmosphérique,Pression atmosphérique,hPa,985.5
2025-06-19 04:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,1.0
2025-06-19 03:00:00,سرعة الرياح,Vitesse du vent,m/s,0.93
2025-06-19 03:00:00,اتجاه الرياح,Direction du vent,Deg,207.7
2025-06-19 03:00:00,درجة الحرارة,Température,°C,16.9
2025-06-19 03:00:00,Humidité relative,Humidité relative,%,86.5
2025-06-19 03:00:00,Point de Rosée,Point de Rosée,°C,14.6
2025-06-19 03:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-06-19 03:00:00,Pression atmosphérique,Pression atmosphérique,hPa,985.7
2025-06-19 03:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,1.41
2025-06-19 03:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,7.0
2025-06-19 02:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,1.41
2025-06-19 02:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,7.0
2025-06-19 02:00:00,Humidité relative,Humidité relative,%,86.2
2025-06-19 02:00:00,درجة الحرارة,Température,°C,17.5
2025-06-19 02:00:00,اتجاه الرياح,Direction du vent,Deg,112.2
2025-06-19 02:00:00,سرعة الرياح,Vitesse du vent,m/s,0.87
2025-06-19 02:00:00,Pression atmosphérique,Pression atmosphérique,hPa,986.1
2025-06-19 02:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-06-19 02:00:00,Point de Rosée,Point de Rosée,°C,15.1
2025-06-19 01:00:00,Pression atmosphérique,Pression atmosphérique,hPa,986.6
2025-06-19 01:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,7.0
2025-06-19 01:00:00,اتجاه الرياح,Direction du vent,Deg,79.8
2025-06-19 01:00:00,Point de Rosée,Point de Rosée,°C,15.6
2025-06-19 01:00:00,درجة الحرارة,Température,°C,18.8
2025-06-19 01:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,1.41
2025-06-19 01:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-06-19 01:00:00,Humidité relative,Humidité relative,%,81.9
2025-06-19 01:00:00,سرعة الرياح,Vitesse du vent,m/s,0.84
2025-06-19 00:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-06-19 00:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,7.41
2025-06-19 00:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,1.41
2025-06-19 00:00:00,Pression atmosphérique,Pression atmosphérique,hPa,986.9
2025-06-19 00:00:00,اتجاه الرياح,Direction du vent,Deg,275.2
2025-06-19 00:00:00,درجة الحرارة,Température,°C,19.9
2025-06-19 00:00:00,سرعة الرياح,Vitesse du vent,m/s,0.41
2025-06-19 00:00:00,Humidité relative,Humidité relative,%,80.7
2025-06-19 00:00:00,Point de Rosée,Point de Rosée,°C,16.5
2025-06-18 22:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,7.41
2025-06-18 22:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,1.41
2025-06-18 22:00:00,Pression atmosphérique,Pression atmosphérique,hPa,987.1
2025-06-18 22:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-06-18 22:00:00,Point de Rosée,Point de Rosée,°C,15.0
2025-06-18 22:00:00,Humidité relative,Humidité relative,%,68.6
2025-06-18 22:00:00,درجة الحرارة,Température,°C,21.0
2025-06-18 22:00:00,اتجاه الرياح,Direction du vent,Deg,162.3
2025-06-18 22:00:00,سرعة الرياح,Vitesse du vent,m/s,1.9
2025-06-18 20:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,7.41
2025-06-18 20:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,1.41
2025-06-18 20:00:00,Pression atmosphérique,Pression atmosphérique,hPa,986.2
2025-06-18 20:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-06-18 20:00:00,Point de Rosée,Point de Rosée,°C,15.4
2025-06-18 20:00:00,Humidité relative,Humidité relative,%,62.3
2025-06-18 20:00:00,درجة الحرارة,Température,°C,23.0
2025-06-18 20:00:00,اتجاه الرياح,Direction du vent,Deg,327.5
2025-06-18 20:00:00,سرعة الرياح,Vitesse du vent,m/s,2.38
2025-06-18 18:00:00,Point de Rosée,Point de Rosée,°C,14.7
2025-06-18 18:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,7.41
2025-06-18 18:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,1.41
